bin_center,ratio,ratio_err,variable
0.465,0.960433,0.054321,z
0.475,0.747781,0.034114,z
0.485,0.784216,0.033078,z
0.495,0.667049,0.032111,z
0.505,0.666625,0.031621,z
0.515,0.643515,0.030638,z
0.525,0.702737,0.032144,z
0.535,0.729229,0.033411,z
0.545,0.773525,0.034133,z
0.555,0.763256,0.034859,z
0.565,0.765905,0.034932,z
0.575,0.731613,0.035498,z
0.585,0.717338,0.035748,z
0.595,0.787896,0.03815,z
0.605,0.712017,0.036489,z
0.615,0.66239,0.037242,z
0.625,0.478224,0.03724,z
0.635,0.313692,0.047588,z
0.45,0.614059,0.187735,$\theta_{pq}$
0.55,1.124063,0.178827,$\theta_{pq}$
0.65,0.958092,0.143203,$\theta_{pq}$
0.75,1.0019,0.119018,$\theta_{pq}$
0.85,0.856884,0.107686,$\theta_{pq}$
0.95,0.932321,0.092905,$\theta_{pq}$
1.05,0.683154,0.076989,$\theta_{pq}$
1.15,0.794195,0.073157,$\theta_{pq}$
1.25,0.84926,0.067572,$\theta_{pq}$
1.35,0.744097,0.062941,$\theta_{pq}$
1.45,0.806336,0.060789,$\theta_{pq}$
1.55,0.743015,0.056188,$\theta_{pq}$
1.65,0.729696,0.053741,$\theta_{pq}$
1.75,0.685751,0.050882,$\theta_{pq}$
1.85,0.681182,0.048981,$\theta_{pq}$
1.95,0.636137,0.045924,$\theta_{pq}$
2.05,0.683697,0.045608,$\theta_{pq}$
2.15,0.677771,0.044936,$\theta_{pq}$
2.25,0.715483,0.043667,$\theta_{pq}$
2.35,0.696627,0.042664,$\theta_{pq}$
2.45,0.607748,0.039852,$\theta_{pq}$
2.55,0.581132,0.038507,$\theta_{pq}$
2.65,0.705235,0.041236,$\theta_{pq}$
2.75,0.625939,0.039295,$\theta_{pq}$
2.85,0.682557,0.04027,$\theta_{pq}$
2.95,0.709047,0.04015,$\theta_{pq}$
3.05,0.650636,0.039727,$\theta_{pq}$
3.15,0.699068,0.040994,$\theta_{pq}$
3.25,0.801044,0.043725,$\theta_{pq}$
3.35,0.708803,0.043786,$\theta_{pq}$
3.45,0.566416,0.042516,$\theta_{pq}$
3.55,0.718597,0.047959,$\theta_{pq}$
3.65,0.779818,0.052612,$\theta_{pq}$
3.75,0.884558,0.059457,$\theta_{pq}$
3.85,0.810317,0.063525,$\theta_{pq}$
3.95,0.716693,0.068424,$\theta_{pq}$
4.05,0.804443,0.081363,$\theta_{pq}$
4.15,0.909033,0.103645,$\theta_{pq}$
4.25,0.996612,0.126758,$\theta_{pq}$
4.35,0.851969,0.157683,$\theta_{pq}$
4.45,0.763413,0.207344,$\theta_{pq}$
0.025,0.786946,0.177485,$p_T$
0.035,1.181821,0.149689,$p_T$
0.045,0.923614,0.104341,$p_T$
0.055,0.894098,0.08474,$p_T$
0.065,0.837427,0.070789,$p_T$
0.075,0.75036,0.05746,$p_T$
0.085,0.766129,0.053365,$p_T$
0.095,0.746497,0.048077,$p_T$
0.105,0.744549,0.044777,$p_T$
0.115,0.683765,0.041365,$p_T$
0.125,0.719425,0.039095,$p_T$
0.135,0.647503,0.036223,$p_T$
0.145,0.693545,0.035349,$p_T$
0.155,0.691355,0.03425,$p_T$
0.165,0.678249,0.033651,$p_T$
0.175,0.604011,0.031921,$p_T$
0.185,0.693231,0.032977,$p_T$
0.195,0.643751,0.033212,$p_T$
0.205,0.699727,0.034152,$p_T$
0.215,0.704312,0.036656,$p_T$
0.225,0.684273,0.037686,$p_T$
0.235,0.768439,0.042979,$p_T$
0.245,0.826888,0.047453,$p_T$
0.255,0.731652,0.050616,$p_T$
0.265,0.860112,0.061112,$p_T$
0.275,0.897794,0.07105,$p_T$
0.285,0.857987,0.08229,$p_T$
0.295,0.930246,0.105389,$p_T$
0.305,0.853589,0.11934,$p_T$
0.315,0.706938,0.14544,$p_T$
0.325,0.893767,0.235357,$p_T$
1.7453,1.095769,0.174205,$\phi_{pq}$
1.8451,1.210498,0.130977,$\phi_{pq}$
1.9448,0.872224,0.094038,$\phi_{pq}$
2.0445,0.909914,0.076975,$\phi_{pq}$
2.1443,0.72097,0.060982,$\phi_{pq}$
2.244,0.683416,0.051643,$\phi_{pq}$
2.3437,0.680317,0.047671,$\phi_{pq}$
2.4435,0.695454,0.044458,$\phi_{pq}$
2.5432,0.718271,0.042152,$\phi_{pq}$
2.6429,0.66041,0.039268,$\phi_{pq}$
2.7427,0.694024,0.037868,$\phi_{pq}$
2.8424,0.742573,0.039048,$\phi_{pq}$
2.9421,0.745496,0.037894,$\phi_{pq}$
3.0419,0.645078,0.035959,$\phi_{pq}$
3.1416,0.649648,0.035873,$\phi_{pq}$
3.2413,0.714684,0.037057,$\phi_{pq}$
3.3411,0.69098,0.0371,$\phi_{pq}$
3.4408,0.682691,0.036072,$\phi_{pq}$
3.5405,0.650486,0.035347,$\phi_{pq}$
3.6403,0.707694,0.036736,$\phi_{pq}$
3.74,0.69437,0.03671,$\phi_{pq}$
3.8397,0.678416,0.038492,$\phi_{pq}$
3.9395,0.722284,0.041047,$\phi_{pq}$
4.0392,0.713624,0.044777,$\phi_{pq}$
4.1389,0.760613,0.051192,$\phi_{pq}$
4.2387,0.743905,0.060857,$\phi_{pq}$
4.3384,0.952862,0.081885,$\phi_{pq}$
4.4381,0.838753,0.101074,$\phi_{pq}$
4.5379,0.712372,0.136597,$\phi_{pq}$
4.6376,0.960174,0.232514,$\phi_{pq}$
