bin_center,ratio,ratio_err,variable
0.335,1.10424,0.054909,z
0.345,0.73395,0.032014,z
0.355,0.691666,0.031002,z
0.365,0.707987,0.030948,z
0.375,0.701656,0.030718,z
0.385,0.657363,0.03055,z
0.395,0.645062,0.031407,z
0.405,0.688041,0.03203,z
0.415,0.651515,0.031377,z
0.425,0.557649,0.030481,z
0.435,0.560874,0.031892,z
0.445,0.474442,0.03107,z
0.455,0.300115,0.035413,z
0.45,0.959242,0.213252,$\theta_{pq}$
0.55,0.909332,0.163125,$\theta_{pq}$
0.65,0.966076,0.149359,$\theta_{pq}$
0.75,0.687105,0.124986,$\theta_{pq}$
0.85,0.802993,0.10894,$\theta_{pq}$
0.95,0.627052,0.100975,$\theta_{pq}$
1.05,0.815548,0.08848,$\theta_{pq}$
1.15,0.675926,0.077244,$\theta_{pq}$
1.25,0.640819,0.07235,$\theta_{pq}$
1.35,0.720792,0.068147,$\theta_{pq}$
1.45,0.648025,0.065443,$\theta_{pq}$
1.55,0.578526,0.057687,$\theta_{pq}$
1.65,0.665106,0.059366,$\theta_{pq}$
1.75,0.778483,0.057116,$\theta_{pq}$
1.85,0.650261,0.054568,$\theta_{pq}$
1.95,0.715939,0.055515,$\theta_{pq}$
2.05,0.703811,0.051846,$\theta_{pq}$
2.15,0.60201,0.049592,$\theta_{pq}$
2.25,0.627425,0.049269,$\theta_{pq}$
2.35,0.639552,0.049957,$\theta_{pq}$
2.45,0.662362,0.047991,$\theta_{pq}$
2.55,0.694158,0.048477,$\theta_{pq}$
2.65,0.699836,0.046102,$\theta_{pq}$
2.75,0.725331,0.04674,$\theta_{pq}$
2.85,0.645063,0.044645,$\theta_{pq}$
2.95,0.606586,0.044497,$\theta_{pq}$
3.05,0.609364,0.04466,$\theta_{pq}$
3.15,0.655469,0.045745,$\theta_{pq}$
3.25,0.643428,0.047015,$\theta_{pq}$
3.35,0.597387,0.046519,$\theta_{pq}$
3.45,0.635445,0.048764,$\theta_{pq}$
3.55,0.719843,0.051962,$\theta_{pq}$
3.65,0.66863,0.054641,$\theta_{pq}$
3.75,0.649167,0.058563,$\theta_{pq}$
3.85,0.644307,0.065216,$\theta_{pq}$
3.95,0.71955,0.070865,$\theta_{pq}$
4.05,0.66602,0.079518,$\theta_{pq}$
4.15,0.662786,0.091021,$\theta_{pq}$
4.25,0.84734,0.112703,$\theta_{pq}$
4.35,0.78944,0.13759,$\theta_{pq}$
4.45,0.821479,0.148822,$\theta_{pq}$
4.55,0.671427,0.195968,$\theta_{pq}$
4.65,0.523139,0.202863,$\theta_{pq}$
4.75,0.44447,0.198685,$\theta_{pq}$
5.15,0.408455,0.232503,$\theta_{pq}$
0.015,0.858369,0.188268,$p_T$
0.025,0.956735,0.118012,$p_T$
0.035,0.82444,0.089085,$p_T$
0.045,0.774281,0.066953,$p_T$
0.055,0.724715,0.054985,$p_T$
0.065,0.605214,0.045841,$p_T$
0.075,0.68636,0.041712,$p_T$
0.085,0.710083,0.03921,$p_T$
0.095,0.693393,0.037038,$p_T$
0.105,0.677301,0.034673,$p_T$
0.115,0.672112,0.033562,$p_T$
0.125,0.667219,0.032292,$p_T$
0.135,0.66505,0.031898,$p_T$
0.145,0.633521,0.031891,$p_T$
0.155,0.612115,0.032812,$p_T$
0.165,0.697045,0.037001,$p_T$
0.175,0.63923,0.040603,$p_T$
0.185,0.665667,0.045068,$p_T$
0.195,0.646492,0.052285,$p_T$
0.205,0.59354,0.062566,$p_T$
0.215,0.601192,0.071002,$p_T$
0.225,0.686488,0.094629,$p_T$
0.235,0.419693,0.10454,$p_T$
0.245,0.316993,0.127843,$p_T$
0.255,0.322396,0.154439,$p_T$
0.265,0.300389,0.161526,$p_T$
0.275,0.792242,0.211785,$p_T$
0.285,0.508857,0.214711,$p_T$
0.295,0.296465,0.241185,$p_T$
1.6456,1.444739,0.247081,$\phi_{pq}$
1.7453,0.991448,0.174938,$\phi_{pq}$
1.8451,1.087574,0.130727,$\phi_{pq}$
1.9448,0.963893,0.104121,$\phi_{pq}$
2.0445,0.807738,0.086498,$\phi_{pq}$
2.1443,0.715591,0.069458,$\phi_{pq}$
2.244,0.536798,0.059177,$\phi_{pq}$
2.3437,0.679942,0.054082,$\phi_{pq}$
2.4435,0.702859,0.049773,$\phi_{pq}$
2.5432,0.706189,0.046763,$\phi_{pq}$
2.6429,0.652065,0.044404,$\phi_{pq}$
2.7427,0.621871,0.041688,$\phi_{pq}$
2.8424,0.587385,0.040174,$\phi_{pq}$
2.9421,0.708652,0.04213,$\phi_{pq}$
3.0419,0.608141,0.039989,$\phi_{pq}$
3.1416,0.577886,0.0399,$\phi_{pq}$
3.2413,0.591123,0.038964,$\phi_{pq}$
3.3411,0.606298,0.040217,$\phi_{pq}$
3.4408,0.606285,0.039119,$\phi_{pq}$
3.5405,0.641203,0.040319,$\phi_{pq}$
3.6403,0.613589,0.040049,$\phi_{pq}$
3.74,0.627955,0.041435,$\phi_{pq}$
3.8397,0.689809,0.043512,$\phi_{pq}$
3.9395,0.592971,0.043656,$\phi_{pq}$
4.0392,0.709989,0.050271,$\phi_{pq}$
4.1389,0.796059,0.058178,$\phi_{pq}$
4.2387,0.826735,0.069769,$\phi_{pq}$
4.3384,0.840371,0.08537,$\phi_{pq}$
4.4381,0.841787,0.107565,$\phi_{pq}$
4.5379,1.100759,0.141935,$\phi_{pq}$
4.6376,1.095225,0.186048,$\phi_{pq}$
