bin_center,ratio,ratio_err,variable,pt_bin_center
0.605,1.04866,0.081735,z,0.08
0.615,0.899971,0.046062,z,0.08
0.625,0.828615,0.037329,z,0.08
0.635,0.799919,0.03242,z,0.08
0.645,0.80087,0.030539,z,0.08
0.655,0.734038,0.028663,z,0.08
0.665,0.749569,0.029245,z,0.08
0.675,0.690567,0.028057,z,0.08
0.685,0.735129,0.028413,z,0.08
0.695,0.748452,0.02949,z,0.08
0.705,0.763531,0.030202,z,0.08
0.715,0.800739,0.030244,z,0.08
0.725,0.779408,0.030846,z,0.08
0.735,0.734383,0.031444,z,0.08
0.745,0.764465,0.032217,z,0.08
0.755,0.80932,0.032644,z,0.08
0.765,0.805303,0.034341,z,0.08
0.775,0.842937,0.035782,z,0.08
0.785,0.869504,0.037203,z,0.08
0.795,0.877514,0.038443,z,0.08
0.805,0.875232,0.040598,z,0.08
0.815,0.963818,0.042604,z,0.08
0.825,0.929511,0.050465,z,0.08
0.835,1.066823,0.062371,z,0.08
0.845,1.062862,0.074302,z,0.08
0.855,1.349663,0.109662,z,0.08
0.865,0.954176,0.1269,z,0.08
0.875,1.010138,0.193949,z,0.08
0.05,0.781183,0.100913,$\theta_{pq}$,0.08
0.15,0.767047,0.05985,$\theta_{pq}$,0.08
0.25,0.798437,0.04597,$\theta_{pq}$,0.08
0.35,0.856688,0.040485,$\theta_{pq}$,0.08
0.45,0.810206,0.03545,$\theta_{pq}$,0.08
0.55,0.745758,0.03194,$\theta_{pq}$,0.08
0.65,0.773857,0.029964,$\theta_{pq}$,0.08
0.75,0.798218,0.028831,$\theta_{pq}$,0.08
0.85,0.807729,0.027034,$\theta_{pq}$,0.08
0.95,0.822981,0.027245,$\theta_{pq}$,0.08
1.05,0.735152,0.024944,$\theta_{pq}$,0.08
1.15,0.750777,0.025206,$\theta_{pq}$,0.08
1.25,0.838,0.025509,$\theta_{pq}$,0.08
1.35,0.84321,0.025714,$\theta_{pq}$,0.08
1.45,0.863695,0.025975,$\theta_{pq}$,0.08
1.55,0.809128,0.02575,$\theta_{pq}$,0.08
1.65,0.790208,0.028322,$\theta_{pq}$,0.08
1.75,0.768991,0.032831,$\theta_{pq}$,0.08
1.85,0.87178,0.042383,$\theta_{pq}$,0.08
1.95,0.922508,0.06155,$\theta_{pq}$,0.08
2.05,0.898886,0.111368,$\theta_{pq}$,0.08
0.005,0.764621,0.089639,$p_T$,0.08
0.015,0.784651,0.052279,$p_T$,0.08
0.025,0.837056,0.041703,$p_T$,0.08
0.035,0.788903,0.035263,$p_T$,0.08
0.045,0.76856,0.030988,$p_T$,0.08
0.055,0.74739,0.02862,$p_T$,0.08
0.065,0.820627,0.027249,$p_T$,0.08
0.075,0.797903,0.026104,$p_T$,0.08
0.085,0.773598,0.024192,$p_T$,0.08
0.095,0.757427,0.023912,$p_T$,0.08
0.105,0.777759,0.024022,$p_T$,0.08
0.115,0.844622,0.024231,$p_T$,0.08
0.125,0.832554,0.024153,$p_T$,0.08
0.135,0.832081,0.024301,$p_T$,0.08
0.145,0.809745,0.024411,$p_T$,0.08
0.155,0.875153,0.025396,$p_T$,0.08
0.0499,0.863962,0.053373,$\phi_{pq}$,0.08
0.1496,0.804447,0.051616,$\phi_{pq}$,0.08
0.2493,0.805711,0.051093,$\phi_{pq}$,0.08
0.3491,0.817967,0.049697,$\phi_{pq}$,0.08
0.4488,0.788488,0.050874,$\phi_{pq}$,0.08
0.5485,0.796124,0.049006,$\phi_{pq}$,0.08
