bin_center,ratio,ratio_err,variable
0.815,1.296669,0.128298,z
0.825,1.211002,0.098257,z
0.835,1.163142,0.082672,z
0.845,1.150056,0.078863,z
0.855,1.200454,0.075321,z
0.865,1.333995,0.07961,z
0.875,1.502734,0.085043,z
0.885,1.853914,0.098257,z
0.895,2.056876,0.110774,z
0.905,2.65546,0.133502,z
0.915,3.861046,0.164645,z
0.925,6.129577,0.228237,z
0.955,1.497768,0.229673,z
0.15,1.871836,0.234105,$\theta_{pq}$
0.25,1.897729,0.187104,$\theta_{pq}$
0.35,2.224659,0.168985,$\theta_{pq}$
0.45,2.309205,0.149369,$\theta_{pq}$
0.55,2.211791,0.132223,$\theta_{pq}$
0.65,1.892407,0.122408,$\theta_{pq}$
0.75,2.098951,0.117386,$\theta_{pq}$
0.85,2.183713,0.11314,$\theta_{pq}$
0.95,2.120575,0.105743,$\theta_{pq}$
1.05,2.136095,0.105931,$\theta_{pq}$
1.15,2.229466,0.105004,$\theta_{pq}$
1.25,2.03937,0.097775,$\theta_{pq}$
1.35,2.152218,0.097251,$\theta_{pq}$
1.45,1.769983,0.111845,$\theta_{pq}$
1.55,1.186967,0.23143,$\theta_{pq}$
0.015,1.753649,0.242876,$p_T$
0.025,1.879376,0.200628,$p_T$
0.035,2.052309,0.177931,$p_T$
0.045,2.10902,0.157536,$p_T$
0.055,2.234808,0.142116,$p_T$
0.065,2.221056,0.133039,$p_T$
0.075,1.760953,0.11881,$p_T$
0.085,2.021122,0.118444,$p_T$
0.095,2.086998,0.111832,$p_T$
0.105,2.197736,0.112242,$p_T$
0.115,2.021075,0.106539,$p_T$
0.125,2.321945,0.110159,$p_T$
0.135,1.915972,0.098968,$p_T$
0.145,2.22771,0.104958,$p_T$
0.155,2.10875,0.104843,$p_T$
0.0499,2.517782,0.247276,$\phi_{pq}$
0.1496,2.082049,0.23947,$\phi_{pq}$
0.2493,2.138826,0.226408,$\phi_{pq}$
0.3491,1.814578,0.232883,$\phi_{pq}$
0.4488,2.091865,0.245313,$\phi_{pq}$
0.5485,2.397834,0.240952,$\phi_{pq}$
0.6483,2.078126,0.228019,$\phi_{pq}$
0.748,2.194745,0.226414,$\phi_{pq}$
0.8477,2.080026,0.225831,$\phi_{pq}$
0.9475,1.938344,0.2257,$\phi_{pq}$
1.0472,1.802373,0.21269,$\phi_{pq}$
1.1469,2.175905,0.22138,$\phi_{pq}$
1.2467,2.458683,0.239892,$\phi_{pq}$
1.3464,1.61585,0.221145,$\phi_{pq}$
1.4461,2.057393,0.231808,$\phi_{pq}$
1.5459,1.625705,0.215598,$\phi_{pq}$
1.6456,1.774692,0.228772,$\phi_{pq}$
1.7453,1.800173,0.233188,$\phi_{pq}$
1.9448,1.328999,0.225718,$\phi_{pq}$
2.0445,1.770068,0.246563,$\phi_{pq}$
4.4381,1.941078,0.238039,$\phi_{pq}$
4.5379,2.03636,0.249659,$\phi_{pq}$
4.8371,2.332843,0.249072,$\phi_{pq}$
4.9368,2.27423,0.242782,$\phi_{pq}$
5.0365,2.344294,0.244335,$\phi_{pq}$
5.1363,2.08157,0.223118,$\phi_{pq}$
5.236,1.7646,0.226256,$\phi_{pq}$
5.3357,1.6515,0.217469,$\phi_{pq}$
5.4355,2.414065,0.242942,$\phi_{pq}$
5.5352,2.186981,0.236421,$\phi_{pq}$
5.6349,2.350431,0.234145,$\phi_{pq}$
5.7347,1.967991,0.224384,$\phi_{pq}$
5.8344,2.303532,0.24185,$\phi_{pq}$
5.9341,2.196671,0.242264,$\phi_{pq}$
6.0339,2.259581,0.243013,$\phi_{pq}$
6.1336,2.252404,0.241803,$\phi_{pq}$
6.2333,2.389994,0.245268,$\phi_{pq}$
