bin_center,ratio,ratio_err,variable,pt_bin_center
0.455,0.941094,0.046348,z,0.08
0.465,0.826058,0.027401,z,0.08
0.475,0.810014,0.02127,z,0.08
0.485,0.761857,0.017566,z,0.08
0.495,0.669328,0.016214,z,0.08
0.505,0.70055,0.017029,z,0.08
0.515,0.653935,0.016947,z,0.08
0.525,0.638718,0.016962,z,0.08
0.535,0.611055,0.017571,z,0.08
0.545,0.66833,0.019494,z,0.08
0.555,0.725565,0.020932,z,0.08
0.565,0.723185,0.021999,z,0.08
0.575,0.769296,0.023387,z,0.08
0.585,0.737921,0.024641,z,0.08
0.595,0.723332,0.025231,z,0.08
0.605,0.690118,0.025415,z,0.08
0.615,0.722522,0.028037,z,0.08
0.625,0.701616,0.031407,z,0.08
0.635,0.622817,0.035162,z,0.08
0.645,0.557728,0.043096,z,0.08
0.655,0.362409,0.055319,z,0.08
0.05,0.775641,0.177641,$\theta_{pq}$,0.08
0.15,0.759792,0.100233,$\theta_{pq}$,0.08
0.25,0.951062,0.08179,$\theta_{pq}$,0.08
0.35,0.855269,0.065985,$\theta_{pq}$,0.08
0.45,0.795453,0.054555,$\theta_{pq}$,0.08
0.55,0.814484,0.05038,$\theta_{pq}$,0.08
0.65,0.801582,0.044371,$\theta_{pq}$,0.08
0.75,0.820041,0.041042,$\theta_{pq}$,0.08
0.85,0.832538,0.035949,$\theta_{pq}$,0.08
0.95,0.79834,0.032728,$\theta_{pq}$,0.08
1.05,0.763101,0.029691,$\theta_{pq}$,0.08
1.15,0.701522,0.026396,$\theta_{pq}$,0.08
1.25,0.743736,0.025388,$\theta_{pq}$,0.08
1.35,0.677739,0.023357,$\theta_{pq}$,0.08
1.45,0.716689,0.022361,$\theta_{pq}$,0.08
1.55,0.728757,0.021685,$\theta_{pq}$,0.08
1.65,0.68296,0.019885,$\theta_{pq}$,0.08
1.75,0.722165,0.019674,$\theta_{pq}$,0.08
1.85,0.695015,0.018461,$\theta_{pq}$,0.08
1.95,0.706998,0.018092,$\theta_{pq}$,0.08
2.05,0.713662,0.017937,$\theta_{pq}$,0.08
2.15,0.648347,0.017335,$\theta_{pq}$,0.08
2.25,0.65088,0.018389,$\theta_{pq}$,0.08
2.35,0.668611,0.020482,$\theta_{pq}$,0.08
2.45,0.624729,0.022294,$\theta_{pq}$,0.08
2.55,0.735786,0.028754,$\theta_{pq}$,0.08
2.65,0.766585,0.038544,$\theta_{pq}$,0.08
2.75,0.891153,0.069982,$\theta_{pq}$,0.08
0.005,0.851259,0.119696,$p_T$,0.08
0.015,0.907644,0.066764,$p_T$,0.08
0.025,0.780192,0.047866,$p_T$,0.08
0.035,0.856688,0.041931,$p_T$,0.08
0.045,0.758195,0.033305,$p_T$,0.08
0.055,0.844073,0.029961,$p_T$,0.08
0.065,0.806623,0.025329,$p_T$,0.08
0.075,0.712354,0.021475,$p_T$,0.08
0.085,0.713764,0.019678,$p_T$,0.08
0.095,0.725802,0.018203,$p_T$,0.08
0.105,0.69144,0.016613,$p_T$,0.08
0.115,0.710536,0.015905,$p_T$,0.08
0.125,0.702788,0.014707,$p_T$,0.08
0.135,0.690012,0.014163,$p_T$,0.08
0.145,0.664817,0.013437,$p_T$,0.08
0.155,0.676271,0.013169,$p_T$,0.08
0.8477,1.007788,0.224362,$\phi_{pq}$,0.08
0.9475,1.376021,0.227858,$\phi_{pq}$,0.08
1.0472,1.098823,0.159235,$\phi_{pq}$,0.08
1.1469,0.979547,0.141559,$\phi_{pq}$,0.08
1.2467,1.029215,0.114485,$\phi_{pq}$,0.08
1.3464,0.879854,0.091909,$\phi_{pq}$,0.08
1.4461,0.943267,0.083091,$\phi_{pq}$,0.08   
1.5459,0.758966,0.062236,$\phi_{pq}$,0.08  
1.6456,0.832103,0.057861,$\phi_{pq}$,0.08        
1.7453,0.849073,0.050012,$\phi_{pq}$,0.08    
1.8451,0.812558,0.043219,$\phi_{pq}$,0.08    
1.9448,0.725742,0.03918,$\phi_{pq}$,0.08 
2.0445,0.752268,0.036564,$\phi_{pq}$,0.08     
2.1443,0.797557,0.032561,$\phi_{pq}$,0.08
2.244,0.683949,0.029211,$\phi_{pq}$,0.08
2.3437,0.67988,0.027777,$\phi_{pq}$,0.08
2.4435,0.690757,0.02655,$\phi_{pq}$,0.08
2.5432,0.727635,0.026524,$\phi_{pq}$,0.08
2.6429,0.643553,0.024195,$\phi_{pq}$,0.08
2.7427,0.636531,0.023133,$\phi_{pq}$,0.08
2.8424,0.655254,0.022232,$\phi_{pq}$,0.08
2.9421,0.672898,0.022732,$\phi_{pq}$,0.08
3.0419,0.624246,0.021524,$\phi_{pq}$,0.08
3.1416,0.677552,0.021957,$\phi_{pq}$,0.08
3.2413,0.641473,0.021164,$\phi_{pq}$,0.08
3.3411,0.665533,0.021802,$\phi_{pq}$,0.08
3.4408,0.687208,0.022841,$\phi_{pq}$,0.08
3.5405,0.648783,0.022079,$\phi_{pq}$,0.08
3.6403,0.6573,0.02345,$\phi_{pq}$,0.08
3.74,0.707528,0.024932,$\phi_{pq}$,0.08
3.8397,0.691526,0.025547,$\phi_{pq}$,0.08
3.9395,0.666948,0.026894,$\phi_{pq}$,0.08
4.0392,0.683347,0.028744,$\phi_{pq}$,0.08
4.1389,0.701333,0.03055,$\phi_{pq}$,0.08
4.2387,0.806198,0.036464,$\phi_{pq}$,0.08
4.3384,0.717681,0.036227,$\phi_{pq}$,0.08
4.4381,0.75519,0.04234,$\phi_{pq}$,0.08
4.5379,0.75949,0.046239,$\phi_{pq}$,0.08
4.6376,0.919956,0.058485,$\phi_{pq}$,0.08
4.7373,1.028328,0.072917,$\phi_{pq}$,0.08
4.8371,0.968901,0.079609,$\phi_{pq}$,0.08
4.9368,1.117642,0.110401,$\phi_{pq}$,0.08
5.0365,1.074157,0.118847,$\phi_{pq}$,0.08
5.1363,1.275054,0.163442,$\phi_{pq}$,0.08
5.236,1.336451,0.203618,$\phi_{pq}$,0.08
5.4355,1.079792,0.233075,$\phi_{pq}$,0.08
0.455,0.882164,0.033246,z,0.24
0.465,0.730256,0.021117,z,0.24
0.475,0.726556,0.017933,z,0.24
0.485,0.684029,0.016094,z,0.24
0.495,0.672048,0.015192,z,0.24
0.505,0.662952,0.014966,z,0.24
0.515,0.634092,0.014524,z,0.24
0.525,0.666242,0.014643,z,0.24
0.535,0.682463,0.015047,z,0.24
0.545,0.692649,0.015321,z,0.24
0.555,0.664765,0.015296,z,0.24  
0.565,0.711279,0.015954,z,0.24
0.575,0.697473,0.015557,z,0.24
0.585,0.691681,0.016154,z,0.24
0.595,0.672672,0.016459,z,0.24
0.605,0.678265,0.01676,z,0.24
0.615,0.637861,0.018265,z,0.24
0.625,0.602274,0.020929,z,0.24
0.635,0.582238,0.026413,z,0.24
0.645,0.53708,0.034156,z,0.24
0.655,0.311963,0.049893,z,0.24
2.05,0.755205,0.229063,$\theta_{pq}$,0.24
2.15,0.608448,0.046534,$\theta_{pq}$,0.24
2.25,0.692609,0.033273,$\theta_{pq}$,0.24
2.35,0.70069,0.026055,$\theta_{pq}$,0.24
2.45,0.657015,0.021078,$\theta_{pq}$,0.24
2.55,0.651619,0.018531,$\theta_{pq}$,0.24
2.65,0.633872,0.01666,$\theta_{pq}$,0.24
2.75,0.681485,0.016153,$\theta_{pq}$,0.24
2.85,0.647854,0.015081,$\theta_{pq}$,0.24
2.95,0.656201,0.015329,$\theta_{pq}$,0.24
3.05,0.656688,0.01554,$\theta_{pq}$,0.24
3.15,0.661351,0.015746,$\theta_{pq}$,0.24
3.25,0.660672,0.015711,$\theta_{pq}$,0.24
3.35,0.693716,0.016884,$\theta_{pq}$,0.24   
3.45,0.676619,0.016928,$\theta_{pq}$,0.24
3.55,0.684961,0.017457,$\theta_{pq}$,0.24
3.65,0.6487,0.017638,$\theta_{pq}$,0.24
3.75,0.677961,0.018392,$\theta_{pq}$,0.24
3.85,0.722877,0.019638,$\theta_{pq}$,0.24
3.95,0.695215,0.020304,$\theta_{pq}$,0.24
4.05,0.713723,0.021893,$\theta_{pq}$,0.24
4.15,0.711968,0.023513,$\theta_{pq}$,0.24        
4.25,0.698842,0.025135,$\theta_{pq}$,0.24
4.35,0.774997,0.030132,$\theta_{pq}$,0.24
4.45,0.711616,0.033764,$\theta_{pq}$,0.24
4.55,0.758819,0.039821,$\theta_{pq}$,0.24
4.65,0.789114,0.046443,$\theta_{pq}$,0.24
4.75,0.936024,0.060207,$\theta_{pq}$,0.24
4.85,0.880939,0.07191,$\theta_{pq}$,0.24
4.95,1.073424,0.100111,$\theta_{pq}$,0.24
5.05,1.084986,0.136378,$\theta_{pq}$,0.24
5.15,1.310608,0.186513,$\theta_{pq}$,0.24
0.165,0.683998,0.012858,$p_T$,0.24
0.175,0.649658,0.012566,$p_T$,0.24
0.185,0.675364,0.012625,$p_T$,0.24
0.195,0.6717,0.012862,$p_T$,0.24
0.205,0.653743,0.012845,$p_T$,0.24
0.215,0.633266,0.013156,$p_T$,0.24
0.225,0.693902,0.01393,$p_T$,0.24
0.235,0.700825,0.014861,$p_T$,0.24
0.245,0.70151,0.01539,$p_T$,0.24
0.255,0.686704,0.016224,$p_T$,0.24
0.265,0.672959,0.017622,$p_T$,0.24
0.275,0.69481,0.018987,$p_T$,0.24
0.285,0.730306,0.021279,$p_T$,0.24
0.295,0.74984,0.023728,$p_T$,0.24
0.305,0.798443,0.027428,$p_T$,0.24
0.315,0.773728,0.03024,$p_T$,0.24
1.3464,1.227011,0.186498,$\phi_{pq}$,0.24
1.4461,1.130267,0.111731,$\phi_{pq}$,0.24
1.5459,0.985486,0.079444,$\phi_{pq}$,0.24
1.6456,0.706987,0.054621,$\phi_{pq}$,0.24    
1.7453,0.760151,0.043794,$\phi_{pq}$,0.24
1.8451,0.824829,0.037098,$\phi_{pq}$,0.24   
1.9448,0.759273,0.031417,$\phi_{pq}$,0.24
2.0445,0.687865,0.02653,$\phi_{pq}$,0.24
2.1443,0.670604,0.023529,$\phi_{pq}$,0.24
2.244,0.623549,0.021912,$\phi_{pq}$,0.24
2.3437,0.633418,0.020872,$\phi_{pq}$,0.24
2.4435,0.63991,0.019761,$\phi_{pq}$,0.24
2.5432,0.613516,0.019271,$\phi_{pq}$,0.24
2.6429,0.663199,0.019273,$\phi_{pq}$,0.24
2.7427,0.617207,0.018927,$\phi_{pq}$,0.24
