run_num,run_type,filename,charge,hEff,pEff,hDead,pDead
24104,data,/Volumes/T7//ROOTfiles/LD2/-3p632gev7p87deg/coin_replay_production_24104_-1.root,31.598,0.9987,0.9526,1,1
24158,data,/Volumes/T7//ROOTfiles/LD2/-3p632gev7p87deg/coin_replay_production_24158_-1.root,25.895,0.9983,0.9606,1,1
24159,data,/Volumes/T7//ROOTfiles/LD2/-3p632gev7p87deg/coin_replay_production_24159_-1.root,24.694,0.9987,0.9597,1,1
24160,data,/Volumes/T7//ROOTfiles/LD2/-3p632gev7p87deg/coin_replay_production_24160_-1.root,25.584,0.9986,0.9567,1,1
24161,data,/Volumes/T7//ROOTfiles/LD2/-3p632gev7p87deg/coin_replay_production_24161_-1.root,23.822,0.9987,0.9577,1,1
24116,dummy,/Volumes/T7//ROOTfiles/dummy/-3p632gev7p87deg/coin_replay_production_24116_-1.root,58.3,0.9984,0.9623,0.99301,0.999703
24117,dummy,/Volumes/T7//ROOTfiles/dummy/-3p632gev7p87deg/coin_replay_production_24117_-1.root,58.54,0.9985,0.9643,0.995840,0.999823
24171,dummy,/Volumes/T7//ROOTfiles/dummy/-3p632gev7p87deg/coin_replay_production_24171_-1.root,49.804,0.9986,0.9626,0.999822,0.999822
24172,dummy,/Volumes/T7//ROOTfiles/dummy/-3p632gev7p87deg/coin_replay_production_24172_-1.root,60.868,0.9987,0.9627,0.99572,0.999818
,sim,/Volumes/T7//ROOTfiles/SIMC/LD2/rsidis_LD2_3p632_7p87.root/,,,,,
