run_num,run_type,filename,charge,hEff,pEff,hDead,pDead
24091,data,/Volumes/T7/ROOTfiles/LH2/-3p632gev7p87deg/coin_replay_production_24091_-1.root,29.635,0.9983,0.9524,0.940222,0.997773
24092,data,/Volumes/T7/ROOTfiles/LH2/-3p632gev7p87deg/coin_replay_production_24092_-1.root,54.682,0.9985,0.9515,0.995209,0.999821
24093,data,/Volumes/T7/ROOTfiles/LH2/-3p632gev7p87deg/coin_replay_production_24093_-1.root,52.453,0.9985,0.9503,0.99518,0.99982
24094,data,/Volumes/T7/ROOTfiles/LH2/-3p632gev7p87deg/coin_replay_production_24094_-1.root,49.218,0.9987,0.95,0.995221,0.999822
24130,data,/Volumes/T7/ROOTfiles/LH2/-3p632gev7p87deg/coin_replay_production_24130_-1.root,58.815,0.9983,0.9597,0.995182,0.99982
24131,data,/Volumes/T7/ROOTfiles/LH2/-3p632gev7p87deg/coin_replay_production_24131_-1.root,52.229,0.9987,0.9596,0.99514,0.999819
24150,data,/Volumes/T7/ROOTfiles/LH2/-3p632gev7p87deg/coin_replay_production_24150_-1.root,55.358,0.9985,0.9601,0.995097,0.999817
24151,data,/Volumes/T7/ROOTfiles/LH2/-3p632gev7p87deg/coin_replay_production_24151_-1.root,56.559,0.9987,0.9589,0.995123,0.999818
24153,data,/Volumes/T7/ROOTfiles/LH2/-3p632gev7p87deg/coin_replay_production_24153_-1.root,54.039,0.9982,0.9604,0.99516,0.999819
24155,data,/Volumes/T7/ROOTfiles/LH2/-3p632gev7p87deg/coin_replay_production_24155_-1.root,51.032,0.9989,0.9574,0.995133,0.999818
24116,dummy,/Volumes/T7/ROOTfiles/dummy/-3p632gev7p87deg/coin_replay_production_24116_-1.root,58.3,0.9984,0.9623,0.99301,0.999703
24117,dummy,/Volumes/T7/ROOTfiles/dummy/-3p632gev7p87deg/coin_replay_production_24117_-1.root,58.54,0.9985,0.9643,0.995840,0.999823
24171,dummy,/Volumes/T7/ROOTfiles/dummy/-3p632gev7p87deg/coin_replay_production_24171_-1.root,49.804,0.9986,0.9626,0.999822,0.999822
24172,dummy,/Volumes/T7/ROOTfiles/dummy/-3p632gev7p87deg/coin_replay_production_24172_-1.root,60.868,0.9987,0.9627,0.99572,0.999818
,sim,/Volumes/T7/ROOTfiles/SIMC/LH2/lh2_3p632gev_7p87deg.root/,,,,,
