run,target,speed,current,channel,sample_idx,begin,duration,eventCount,updateCount,integration,max,mean,min,rms,stdev,BCM2_current,BCM2_charge,ps3,ps4,EL_CLEAN
25396,LH2,50,10,hcL2_Fan_Freq_R,0,2025-08-29T12:28:00,900,411,410,45939.37888394034,57.5,51.0438,40.5,51.0814,1.96162,10.111,9465.081,-1.0,1.0,1352834.0
25397,LH2,50,20,hcL2_Fan_Freq_R,0,2025-08-29T12:48:00,420,199,198,21499.99970995736,56.0,51.1905,44.5,51.2206,1.75729,20.256,6426.36,-1.0,2.0,913542.0
25399,LH2,50,35,hcL2_Fan_Freq_R,0,2025-08-29T12:57:00,240,116,115,12503.749624127078,60.5,52.099,46.5,52.1389,2.04119,35.531,8049.556,-1.0,3.0,1138226.0
25400,LH2,50,45,hcL2_Fan_Freq_R,0,2025-08-29T13:02:00,360,169,168,18740.85069690893,58.0,52.0579,42.5,52.1025,2.15509,45.726,12347.293,-1.0,5.0,1741367.0
25401,LH2,50,60,hcL2_Fan_Freq_R,0,2025-08-29T13:08:00,240,112,111,12460.751521462202,56.028,51.9198,47.5,51.9518,1.82189,60.005,12407.219,-1.0,5.0,1749721.0
25402,LH2,43,60,hcL2_Fan_Freq_R,0,2025-08-29T13:15:00,300,141,140,12683.888005299512,46.5,42.2796,34.0,42.3126,1.6692,59.967,14320.556,-1.0,5.0,2002743.0
25403,LH2,43,45,hcL2_Fan_Freq_R,0,2025-08-29T13:20:00,300,141,140,12639.365188421521,47.5,42.1312,31.5,42.1777,1.98061,45.075,10442.592,-1.0,5.0,1466936.0
25404,LH2,43,35,hcL2_Fan_Freq_R,0,2025-08-29T13:25:00,420,200,199,17337.78152965462,46.5,41.2804,35.5,41.3261,1.94333,34.919,11001.793,-1.0,5.0,1548934.0
25405,LH2,43,20,hcL2_Fan_Freq_R,0,2025-08-29T13:32:00,360,169,168,14553.401364913154,44.0,40.4261,36.0,40.4522,1.45255,19.76,5227.6,-1.0,3.0,740760.0
25406,LH2,43,10,hcL2_Fan_Freq_R,0,2025-08-29T13:38:00,360,162,161,14533.4823078964,47.0,40.3708,34.0,40.4089,1.75538,9.707,3143.124,-1.0,1.0,448801.0
25407,LH2,35,10,hcL2_Fan_Freq_R,0,2025-08-29T13:46:00,420,191,190,14797.782571169646,39.5,35.2328,31.0,35.2619,1.43211,9.728,3486.873,-1.0,1.0,498148.0
25408,LH2,35,20,hcL2_Fan_Freq_R,0,2025-08-29T13:53:00,360,168,167,12941.843266125012,39.5,35.9496,28.0,35.9793,1.46231,17.095,3258.292,-1.0,2.0,461402.0
25409,LH2,35,35,hcL2_Fan_Freq_R,0,2025-08-29T13:59:00,300,127,126,10817.075921522784,41.5,36.0569,31.5,36.0922,1.59539,34.952,7524.825,-1.0,3.0,1056875.0
25410,LH2,35,45,hcL2_Fan_Freq_R,0,2025-08-29T14:06:00,300,134,133,10659.694430342293,40.0,35.5323,27.5,35.568,1.59266,44.975,11402.192,-1.0,5.0,1594566.0
25411,LH2,35,60,hcL2_Fan_Freq_R,0,2025-08-29T14:12:00,300,131,130,10647.427766548777,39.0,35.4914,31.5,35.5192,1.4039,59.933,15911.489,-1.0,5.0,2204773.0
25412,LH2,30,60,hcL2_Fan_Freq_R,0,2025-08-29T14:18:00,300,143,142,8243.466698381271,33.5,27.4782,21.0,27.632,2.91128,59.901,16272.169,-1.0,5.0,2211891.0
25413,LH2,30,45,hcL2_Fan_Freq_R,0,2025-08-29T14:24:00,360,161,160,10330.338732708502,36.0,28.6954,22.0,28.8371,2.85545,44.959,13136.261,-1.0,5.0,1819920.0
25414,LH2,30,35,hcL2_Fan_Freq_R,0,2025-08-29T14:54:00,300,144,143,10886.25592791152,41.0,36.2875,32.5,36.3305,1.76675,35.034,9920.067,-1.0,3.0,1396102.0
25415,LH2,30,20,hcL2_Fan_Freq_R,0,2025-08-29T15:00:00,360,167,166,12050.164355389452,38.0,33.4727,28.0,33.5362,2.06246,19.766,5893.378,-1.0,2.0,835432.0
25416,LH2,30,10,hcL2_Fan_Freq_R,0,2025-08-29T15:06:00,300,144,143,9978.54111528008,38.5,33.2618,23.5,33.3559,2.50341,9.723,2424.514,-1.0,1.0,346760.0
25417,LH2,25,10,hcL2_Fan_Freq_R,0,2025-08-29T15:12:00,360,160,159,8850.495220777035,29.0,24.5847,18.0,24.6554,1.86512,9.752,2790.899,-1.0,1.0,399454.0
25418,LH2,25,20,hcL2_Fan_Freq_R,0,2025-08-29T15:19:00,300,137,136,7807.801070987542,30.5,26.026,23.5,26.0644,1.41435,19.722,5110.749,-1.0,2.0,722378.0
25420,LH2,25,35,hcL2_Fan_Freq_R,0,2025-08-29T15:25:00,420,176,175,10283.062032006364,29.5,24.4835,16.0,24.5354,1.5955,31.831,7703.393,-1.0,3.0,1075354.0
25421,LH2,25,45,hcL2_Fan_Freq_R,0,2025-08-29T15:32:00,300,130,129,7405.026321998286,27.5,24.6834,21.0,24.7082,1.1067,44.947,12732.863,-1.0,5.0,1755948.0
25422,LH2,25,60,hcL2_Fan_Freq_R,0,2025-08-29T15:38:00,300,131,130,6742.123451534628,25.5,22.4737,18.0,22.5153,1.36734,59.933,15831.131,-1.0,5.0,2107785.0
