run,target,normyield,channel,sample_idx,begin,duration,eventCount,updateCount,integration,max,mean,min,rms,stdev
23839,LH2,N/A,hcL2_Fan_Freq_R,999,2025-07-16T05:51:00,3240,1508,1506,135592.6694,49,41.84960157,32,41.8986043,2.025806244
23840,LH2,N/A,hcL2_Fan_Freq_R,999,2025-07-16T06:46:00,2100,961,959,86181.18851,49,41.03873783,31,41.10896931,2.401948102
23842,LH2,N/A,hcL2_Fan_Freq_R,999,2025-07-16T08:37:00,1920,870,868,72670.85955,43,37.84940067,28.5,37.88161075,1.561826542
23844,LH2,N/A,hcL2_Fan_Freq_R,999,2025-07-16T09:46:00,1860,847,845,73138.24513,46,39.32643054,18.5,39.39010805,2.238855415
23845,LH2,N/A,hcL2_Fan_Freq_R,0,2025-07-16T10:18:00,1800,834,833,70398.41995,46.5,39.1102,30,39.1716,2.19238
23846,LH2,N/A,hcL2_Fan_Freq_R,999,2025-07-16T10:49:00,1920,866,864,71064.43441,44,37.01289778,29,37.06446314,1.954437552
23847,LH2,N/A,hcL2_Fan_Freq_R,0,2025-07-16T11:22:00,1800,811,810,68827.08066,43.5,38.2373,30.5,38.2736,1.66793
23848,LH2,N/A,hcL2_Fan_Freq_R,999,2025-07-16T11:53:00,1860,851,849,75056.35699,47,40.36789007,32.5,40.41640485,1.97970504
23849,LH2,N/A,hcL2_Fan_Freq_R,999,2025-07-16T13:27:00,1980,887,885,77828.90962,45.5,39.32345378,31,39.36677429,1.846320812
23850,LH2,N/A,hcL2_Fan_Freq_R,0,2025-07-16T14:01:00,1800,833,832,74458.40846,49,41.3658,32.5,41.4133,1.98229
23851,LH2,N/A,hcL2_Fan_Freq_R,0,2025-07-16T14:33:00,1800,825,824,73330.8504,46.5,40.7394,36.5,40.7733,1.66385
23856,LH2,N/A,hcL2_Fan_Freq_R,0,2025-07-16T16:46:00,1740,784,783,64156.64659,42,36.8716,28.014,36.9109,1.70221
23859,LH2,N/A,hcL2_Fan_Freq_R,999,2025-07-16T18:49:00,1860,846,844,66767.91603,42.5,35.93046142,26,36.01595356,2.480091296
23860,LH2,N/A,hcL2_Fan_Freq_R,999,2025-07-16T19:38:00,1980,913,911,81878.23505,49,41.35361674,34.5,41.40503492,2.062837695
23861,LH2,nan,hcL2_Fan_Freq_R,999,2025-07-17T00:08:00,2160,991,989,85955.29292,47.5,39.79415855,31.5,39.84692698,2.050008583
23867,LH2,14.719,hcL2_Fan_Freq_R,999,2025-07-17T05:40:00,1860,853,851,71552.75841,44.5,38.46925237,30.5,38.50514604,1.662195562
23868,LH2,14.1063,hcL2_Fan_Freq_R,999,2025-07-17T06:12:00,1980,931,929,80882.05498,47,40.85103798,29.5,40.92430222,2.447694588
23876,LH2,22.4394,hcL2_Fan_Freq_R,999,2025-07-17T22:59:00,2520,1163,1161,96595.85103,46.5,38.4128238,30.5,38.51470683,2.799573156
23880,LH2,27.4554,hcL2_Fan_Freq_R,999,2025-07-18T01:31:00,1860,842,840,70840.54514,48.5,38.45724038,26,38.70772969,4.396475891
23881,LH2,22.0067,hcL2_Fan_Freq_R,0,2025-07-18T02:06:00,1800,835,834,76293.50373,49.5,42.3853,34.5,42.433,2.01158
23882,LH2,23.256,hcL2_Fan_Freq_R,999,2025-07-18T02:38:00,1920,890,888,76012.16428,48,39.72442859,28,39.87004921,3.404496559
23883,LH2,21.7142,hcL2_Fan_Freq_R,0,2025-07-18T03:12:00,1800,816,815,68708.09077,47,38.1712,28.5,38.2195,1.92122
23884,LH2,22.2802,hcL2_Fan_Freq_R,0,2025-07-18T03:43:00,1800,816,815,65675.25546,43,36.4863,28.5,36.533,1.84803
23885,LH2,24.4024,hcL2_Fan_Freq_R,0,2025-07-18T04:16:00,1800,825,824,67118.18503,46.5,37.2879,28,37.418,3.11753
23892,LH2,21.1665,hcL2_Fan_Freq_R,999,2025-07-18T08:58:00,2100,982,980,84691.1339,47,40.34727449,32.5,40.4098667,2.248281084
23893,LH2,19.7857,hcL2_Fan_Freq_R,999,2025-07-18T09:33:00,2040,954,952,85458.82891,48,41.89599346,33.5,41.94480615,2.022991688
23894,LH2,20.5345,hcL2_Fan_Freq_R,999,2025-07-18T10:08:00,2040,957,955,86825.95303,51,42.57383074,33,42.65359216,2.607270607
23895,LH2,21.9678,hcL2_Fan_Freq_R,999,2025-07-18T10:43:00,2400,1098,1096,90605.19559,44.5223,37.76317548,28.5,37.81571796,1.992762679
