Ebeam     Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    8.5650   1.2000   8.6000   0.0167   0.2311  0.24706E+03  0.24706E+03  0.00000E+00  0.50129E+03  0.34283E+03  0.00000E+00  0.15846E+03  0.42025E+00
    8.5650   1.2100   8.6000   0.0169   0.2330  0.24703E+03  0.24703E+03  0.00000E+00  0.49559E+03  0.33713E+03  0.00000E+00  0.15846E+03  0.42033E+00
    8.5650   1.2200   8.6000   0.0170   0.2350  0.24700E+03  0.24700E+03  0.00000E+00  0.49004E+03  0.33157E+03  0.00000E+00  0.15847E+03  0.42041E+00
    8.5650   1.2300   8.6000   0.0172   0.2369  0.24697E+03  0.24697E+03  0.00000E+00  0.48460E+03  0.32613E+03  0.00000E+00  0.15847E+03  0.42050E+00
    8.5650   1.2400   8.6000   0.0174   0.2388  0.24695E+03  0.24695E+03  0.00000E+00  0.47929E+03  0.32082E+03  0.00000E+00  0.15847E+03  0.42058E+00
    8.5650   1.2500   8.6000   0.0175   0.2408  0.24694E+03  0.24694E+03  0.00000E+00  0.47411E+03  0.31563E+03  0.00000E+00  0.15848E+03  0.42066E+00
    8.5650   1.2600   8.6000   0.0177   0.2427  0.24693E+03  0.24693E+03  0.00000E+00  0.46905E+03  0.31057E+03  0.00000E+00  0.15849E+03  0.42074E+00
    8.5650   1.2700   8.6000   0.0179   0.2446  0.24692E+03  0.24692E+03  0.00000E+00  0.46411E+03  0.30561E+03  0.00000E+00  0.15850E+03  0.42083E+00
    8.5650   1.2800   8.6000   0.0180   0.2465  0.24692E+03  0.24692E+03  0.00000E+00  0.45928E+03  0.30077E+03  0.00000E+00  0.15851E+03  0.42091E+00
    8.5650   1.2900   8.6000   0.0182   0.2485  0.24692E+03  0.24692E+03  0.00000E+00  0.45456E+03  0.29604E+03  0.00000E+00  0.15852E+03  0.42099E+00
    8.5650   1.3000   8.6000   0.0184   0.2504  0.24693E+03  0.24693E+03  0.00000E+00  0.44992E+03  0.29141E+03  0.00000E+00  0.15851E+03  0.42108E+00
    8.5650   1.3100   8.6000   0.0185   0.2523  0.24694E+03  0.24694E+03  0.00000E+00  0.44539E+03  0.28688E+03  0.00000E+00  0.15851E+03  0.42116E+00
    8.5650   1.3200   8.6000   0.0187   0.2542  0.24695E+03  0.24695E+03  0.00000E+00  0.44098E+03  0.28246E+03  0.00000E+00  0.15852E+03  0.42124E+00
    8.5650   1.3300   8.6000   0.0189   0.2562  0.24697E+03  0.24697E+03  0.00000E+00  0.43666E+03  0.27813E+03  0.00000E+00  0.15854E+03  0.42133E+00
    8.5650   1.3400   8.6000   0.0190   0.2581  0.24700E+03  0.24700E+03  0.00000E+00  0.43244E+03  0.27389E+03  0.00000E+00  0.15855E+03  0.42141E+00
    8.5650   1.3500   8.6000   0.0192   0.2600  0.24702E+03  0.24702E+03  0.00000E+00  0.42831E+03  0.26974E+03  0.00000E+00  0.15857E+03  0.42149E+00
    8.5650   1.3600   8.6000   0.0194   0.2619  0.24705E+03  0.24705E+03  0.00000E+00  0.42426E+03  0.26568E+03  0.00000E+00  0.15858E+03  0.42158E+00
    8.5650   1.3700   8.6000   0.0195   0.2639  0.24709E+03  0.24709E+03  0.00000E+00  0.42031E+03  0.26171E+03  0.00000E+00  0.15860E+03  0.42166E+00
    8.5650   1.3800   8.6000   0.0197   0.2658  0.24713E+03  0.24713E+03  0.00000E+00  0.41647E+03  0.25782E+03  0.00000E+00  0.15865E+03  0.42175E+00
    8.5650   1.3900   8.6000   0.0199   0.2677  0.24717E+03  0.24717E+03  0.00000E+00  0.41268E+03  0.25401E+03  0.00000E+00  0.15867E+03  0.42183E+00
    8.5650   1.4000   8.6000   0.0201   0.2696  0.24722E+03  0.24722E+03  0.00000E+00  0.40897E+03  0.25028E+03  0.00000E+00  0.15869E+03  0.42191E+00
    8.5650   1.4100   8.6000   0.0202   0.2716  0.24727E+03  0.24727E+03  0.00000E+00  0.40534E+03  0.24662E+03  0.00000E+00  0.15872E+03  0.42200E+00
    8.5650   1.4200   8.6000   0.0204   0.2735  0.24732E+03  0.24732E+03  0.00000E+00  0.40142E+03  0.24268E+03  0.00000E+00  0.15874E+03  0.42208E+00
    8.5650   1.4300   8.6000   0.0206   0.2754  0.24738E+03  0.24738E+03  0.00000E+00  0.39830E+03  0.23954E+03  0.00000E+00  0.15876E+03  0.42217E+00
    8.5650   1.4400   8.6000   0.0207   0.2773  0.24744E+03  0.24744E+03  0.00000E+00  0.39489E+03  0.23610E+03  0.00000E+00  0.15879E+03  0.42225E+00
    8.5650   1.4500   8.6000   0.0209   0.2793  0.24750E+03  0.24750E+03  0.00000E+00  0.39157E+03  0.23273E+03  0.00000E+00  0.15884E+03  0.42234E+00
    8.5650   1.4600   8.6000   0.0211   0.2812  0.24757E+03  0.24757E+03  0.00000E+00  0.38824E+03  0.22943E+03  0.00000E+00  0.15881E+03  0.42243E+00
    8.5650   1.4700   8.6000   0.0213   0.2831  0.24764E+03  0.24764E+03  0.00000E+00  0.38505E+03  0.22619E+03  0.00000E+00  0.15886E+03  0.42251E+00
    8.5650   1.4800   8.6000   0.0214   0.2851  0.24772E+03  0.24772E+03  0.00000E+00  0.38191E+03  0.22302E+03  0.00000E+00  0.15890E+03  0.42260E+00
    8.5650   1.4900   8.6000   0.0216   0.2870  0.24780E+03  0.24780E+03  0.00000E+00  0.37884E+03  0.21991E+03  0.00000E+00  0.15893E+03  0.42268E+00
    8.5650   1.5000   8.6000   0.0218   0.2889  0.24788E+03  0.24788E+03  0.00000E+00  0.37581E+03  0.21686E+03  0.00000E+00  0.15895E+03  0.42277E+00
    8.5650   1.5100   8.6000   0.0220   0.2908  0.24797E+03  0.24797E+03  0.00000E+00  0.37285E+03  0.21386E+03  0.00000E+00  0.15899E+03  0.42286E+00
    8.5650   1.5200   8.6000   0.0221   0.2928  0.24806E+03  0.24806E+03  0.00000E+00  0.36998E+03  0.21093E+03  0.00000E+00  0.15905E+03  0.42294E+00
    8.5650   1.5300   8.6000   0.0223   0.2947  0.24815E+03  0.24815E+03  0.00000E+00  0.36713E+03  0.20805E+03  0.00000E+00  0.15908E+03  0.42303E+00
    8.5650   1.5400   8.6000   0.0225   0.2966  0.24825E+03  0.24825E+03  0.00000E+00  0.36434E+03  0.20522E+03  0.00000E+00  0.15912E+03  0.42312E+00
    8.5650   1.5500   8.6000   0.0227   0.2985  0.24835E+03  0.24835E+03  0.00000E+00  0.36160E+03  0.20245E+03  0.00000E+00  0.15915E+03  0.42320E+00
    8.5650   1.5600   8.6000   0.0229   0.3005  0.24845E+03  0.24845E+03  0.00000E+00  0.35892E+03  0.19973E+03  0.00000E+00  0.15919E+03  0.42329E+00
    8.5650   1.5700   8.6000   0.0230   0.3024  0.24856E+03  0.24856E+03  0.00000E+00  0.35628E+03  0.19706E+03  0.00000E+00  0.15922E+03  0.42338E+00
    8.5650   1.5800   8.6000   0.0232   0.3043  0.24867E+03  0.24867E+03  0.00000E+00  0.35317E+03  0.19391E+03  0.00000E+00  0.15926E+03  0.42346E+00
    8.5650   1.5900   8.6000   0.0234   0.3062  0.24878E+03  0.24878E+03  0.00000E+00  0.35117E+03  0.19187E+03  0.00000E+00  0.15931E+03  0.42355E+00
    8.5650   1.6000   8.6000   0.0236   0.3082  0.24889E+03  0.24889E+03  0.00000E+00  0.34868E+03  0.18934E+03  0.00000E+00  0.15934E+03  0.42364E+00
    8.5650   1.6100   8.6000   0.0238   0.3101  0.24901E+03  0.24901E+03  0.00000E+00  0.34624E+03  0.18686E+03  0.00000E+00  0.15938E+03  0.42373E+00
    8.5650   1.6200   8.6000   0.0239   0.3120  0.24914E+03  0.24914E+03  0.00000E+00  0.34385E+03  0.18442E+03  0.00000E+00  0.15942E+03  0.42382E+00
    8.5650   1.6300   8.6000   0.0241   0.3139  0.24926E+03  0.24926E+03  0.00000E+00  0.34150E+03  0.18203E+03  0.00000E+00  0.15947E+03  0.42390E+00
    8.5650   1.6400   8.6000   0.0243   0.3159  0.24939E+03  0.24939E+03  0.00000E+00  0.33919E+03  0.17968E+03  0.00000E+00  0.15951E+03  0.42399E+00
    8.5650   1.6500   8.6000   0.0245   0.3178  0.24952E+03  0.24952E+03  0.00000E+00  0.33693E+03  0.17737E+03  0.00000E+00  0.15956E+03  0.42408E+00
    8.5650   1.6600   8.6000   0.0247   0.3197  0.24966E+03  0.24966E+03  0.00000E+00  0.33471E+03  0.17510E+03  0.00000E+00  0.15960E+03  0.42417E+00
    8.5650   1.6700   8.6000   0.0249   0.3216  0.24980E+03  0.24980E+03  0.00000E+00  0.33253E+03  0.17287E+03  0.00000E+00  0.15966E+03  0.42426E+00
    8.5650   1.6800   8.6000   0.0250   0.3236  0.24994E+03  0.24994E+03  0.00000E+00  0.33039E+03  0.17068E+03  0.00000E+00  0.15971E+03  0.42435E+00
    8.5650   1.6900   8.6000   0.0252   0.3255  0.25008E+03  0.25008E+03  0.00000E+00  0.32828E+03  0.16853E+03  0.00000E+00  0.15975E+03  0.42444E+00
    8.5650   1.7000   8.6000   0.0254   0.3274  0.25023E+03  0.25023E+03  0.00000E+00  0.32605E+03  0.16641E+03  0.00000E+00  0.15964E+03  0.42453E+00
    8.5650   1.7100   8.6000   0.0256   0.3294  0.25038E+03  0.25038E+03  0.00000E+00  0.32402E+03  0.16434E+03  0.00000E+00  0.15969E+03  0.42462E+00
    8.5650   1.7200   8.6000   0.0258   0.3313  0.25053E+03  0.25053E+03  0.00000E+00  0.32203E+03  0.16229E+03  0.00000E+00  0.15974E+03  0.42471E+00
    8.5650   1.7300   8.6000   0.0260   0.3332  0.25069E+03  0.25069E+03  0.00000E+00  0.32007E+03  0.16028E+03  0.00000E+00  0.15979E+03  0.42480E+00
    8.5650   1.7400   8.6000   0.0262   0.3351  0.25085E+03  0.25085E+03  0.00000E+00  0.31814E+03  0.15831E+03  0.00000E+00  0.15984E+03  0.42489E+00
    8.5650   1.7500   8.6000   0.0264   0.3371  0.25101E+03  0.25101E+03  0.00000E+00  0.31625E+03  0.15636E+03  0.00000E+00  0.15989E+03  0.42498E+00
    8.5650   1.7600   8.6000   0.0265   0.3390  0.25117E+03  0.25117E+03  0.00000E+00  0.31448E+03  0.15445E+03  0.00000E+00  0.16003E+03  0.42507E+00
    8.5650   1.7700   8.6000   0.0267   0.3409  0.25134E+03  0.25134E+03  0.00000E+00  0.31274E+03  0.15258E+03  0.00000E+00  0.16016E+03  0.42516E+00
    8.5650   1.7800   8.6000   0.0269   0.3428  0.25151E+03  0.25151E+03  0.00000E+00  0.31095E+03  0.15073E+03  0.00000E+00  0.16022E+03  0.42525E+00
