run,date,start_time,ebeam,current,target,hms_p,hms_th,shms_p,shms_th,ps1,ps2,ps3,ps4,ps5,ps6,run_type,counts,normyields
24187,07/25,10:03,8.565,50,LH2,-1.531,29.05,6.538,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,1359,18.02
24188,07/25,10:37,8.565,50,LH2,-1.531,29.05,6.538,7.87,-1,-1,-1,-1,0,-1,PI+SIDIS,1410,17.84
24189,07/25,11:09,8.565,50,LH2,-1.531,29.05,6.538,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,1236,16.94
24190,07/25,11:55,8.565,50,LH2,-1.531,29.05,6.538,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,1349,16.65
24191,07/25,12:25,8.565,50,LH2,-1.531,29.05,6.538,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,1191,16.90
24192,07/25,13:02,8.565,50,LH2,-1.531,29.05,6.538,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,1379,17.39
24193,07/25,13:34,8.565,50,LH2,-1.531,29.05,6.538,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,1223,17.33
24194,07/25,14:08,8.565,50,LH2,-1.531,29.05,6.538,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,1308,16.79
24195,07/25,14:40,8.565,50,LH2,-1.531,29.05,6.538,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,1404,17.31
24196,07/25,15:17,8.565,33,LH2,-1.531,29.05,6.538,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,840,17.00
24197,07/25,15:52,8.565,17,LH2,-1.531,29.05,6.538,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,519,16.63
24198,07/25,16:25,8.565,17,LH2,-1.531,29.05,6.538,7.87,-1,-1,-1,0,-1,-1,HMSDIS,-111,-111.00
24199,07/25,16:45,8.565,17,LH2,-1.531,29.05,6.538,7.87,-1,2,-1,-1,-1,-1,SHMSDIS,-111,-111.00
24200,07/25,17:11,8.565,50,LD2,-1.531,29.05,6.538,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,364,28.63
24201,07/25,17:23,8.565,50,LD2,-1.531,29.05,6.538,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,1574,29.83
24203,07/25,18:17,8.565,50,LD2,-1.531,29.05,6.538,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,2308,29.51
24204,07/25,18:52,8.565,25,LD2,-1.531,29.05,6.538,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,1040,28.84
24205,07/25,19:23,8.565,25,LD2,-1.531,29.05,6.538,7.87,-1,-1,-1,1,-1,-1,HMSDIS,-111,-111.00
24206,07/25,19:43,8.565,40,Dummy,-1.531,29.05,6.538,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,475,7.40
24207,07/25,20:20,8.565,50,Carbon,-1.531,29.05,6.538,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,1133,15.47
24208,07/25,20:53,8.565,50,Carbon,-1.531,29.05,6.538,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,1228,16.27
24209,07/25,21:24,8.565,50,Carbon,-1.531,29.05,6.538,7.87,-1,-1,-1,2,-1,-1,HMSDIS,-111,-111.00
24210,07/25,21:43,8.565,50,Copper,-1.531,29.05,6.538,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,668,8.45
24211,07/25,22:14,8.565,50,Copper,-1.531,29.05,6.538,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,637,7.69
24212,07/25,22:45,8.565,50,Copper,-1.531,29.05,6.538,7.87,-1,-1,-1,2,-1,-1,HMSDIS,-111,-111.00
24213,07/25,23:24,8.565,35,LD2,-1.531,29.05,4.868,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,2631,47.49
24214,07/25,23:55,8.565,36,LD2,-1.531,29.05,4.868,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,2233,49.82
24215,07/26,0:26,8.565,35,LD2,-1.531,29.05,4.868,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,2878,49.43
24216,07/26,0:56,8.565,36,LD2,-1.531,29.05,4.868,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,2952,46.90
24217,07/26,1:26,8.565,36,LD2,-1.531,29.05,4.868,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,2867,49.75
24218,07/26,1:56,8.565,36,LD2,-1.531,29.05,4.868,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,2710,48.65
24219,07/26,2:27,8.565,25,LD2,-1.531,29.05,4.868,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,2153,50.96
24220,07/26,3:00,8.565,12,LD2,-1.531,29.05,4.868,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,1078,53.85
24221,07/26,3:30,8.565,12,LD2,-1.531,29.05,4.868,7.87,-1,-1,-1,0,-1,-1,HMSDIS,-111,-111.00
24222,07/26,3:55,8.565,50,LH2,-1.531,29.05,4.868,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,2221,27.08
24223,07/26,4:36,8.565,50,LH2,-1.531,29.05,4.868,7.87,-1,-1,-1,-1,0,-1,PI+SIDIS,1255,32.46
24224,07/26,5:02,8.565,50,LH2,-1.531,29.05,4.868,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,2329,28.53
24225,07/26,5:32,8.565,50,LH2,-1.531,29.05,4.868,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,872,29.20
24226,07/26,6:19,8.565,50,LH2,-1.531,29.05,4.868,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,2427,28.52
24227,07/26,6:59,8.565,50,LH2,-1.531,29.05,4.868,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,2896,27.87
24228,07/26,7:40,8.565,50,LH2,-1.531,29.05,4.868,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,2169,27.77
24229,07/26,8:14,8.565,33,LH2,-1.531,29.05,4.868,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,1641,28.84
24230,07/26,8:46,8.565,17,LH2,-1.531,29.05,4.868,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,971,31.31
24231,07/26,9:23,8.565,17,LH2,-1.531,29.05,4.868,7.87,-1,-1,-1,0,-1,-1,HMSDIS,-111,-111.00
24232,07/26,9:47,8.565,40,Dummy,-1.531,29.05,4.868,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,1036,14.77
24233,07/26,10:14,8.565,40,Dummy,-1.531,29.05,4.868,7.87,-1,-1,-1,-1,-1,0,PI+SIDIS,988,14.72
