run,date,start_time,ebeam,current,target,hms_p,hms_th,shms_p,shms_th,ps1,ps2,ps3,ps4,ps5,ps6,run_type,counts,normyields,bcm4c charge,bcm4c current,H_eff,P_eff,Hcomp.deadtime,Pcomp.deadtime
23834,07/15,23:26,8.565,5,C-hole,2.28,42,-7.07,12.47,0,-1,0,-1,-1,-1,HEEP,-111,-111.00,,,,,,
23835,07/15,23:58,8.565,5,C-hole,2.28,42,-7.07,12.47,0,-1,0,-1,-1,-1,HEEP,-111,-111.00,,,,,,
23837,07/16,0:43,8.565,5,C-hole,2.28,42,-7.07,12.47,0,-1,0,-1,-1,-1,HEEP,-111,-111.00,,,,,,
23838,07/16,0:51,8.565,5,C-hole,2.28,42,-7.07,12.47,0,-1,0,-1,-1,-1,HEEP,-111,-111.00,,,,,,
23839,07/16,5:51,8.565,5,LH2,2.28,42,-7.07,12.47,-1,-1,-1,-1,0,-1,PI-SIDIS,-111,-111.00,,,,,,
23840,07/16,6:46,8.565,5,LH2,2.28,42,-7.07,12.47,-1,-1,-1,-1,0,-1,PI-SIDIS,-111,-111.00,,,,,,
23842,07/16,8:37,8.565,35,LH2,2.28,42,-7.07,12.47,-1,-1,-1,-1,0,-1,P-SIDIS,-111,-111.00,,,,,,
23844,07/16,9:46,8.565,30,LH2,2.28,42,-7.07,12.47,-1,-1,-1,-1,0,-1,PI-SIDIS,-111,-111.00,,,,,,
23845,07/16,10:18,8.565,30,LH2,2.28,42,-7.07,12.47,-1,-1,-1,-1,0,-1,PI-SIDIS,-111,-111.00,,,,,,
23846,07/16,10:49,8.565,40,LH2,2.28,42,-7.07,12.47,-1,-1,-1,-1,0,-1,PI-SIDIS,-111,-111.00,,,,,,
23847,07/16,11:22,8.565,40,LH2,2.28,42,-7.07,12.47,-1,-1,-1,-1,0,-1,PI-SIDIS,-111,-111.00,,,,,,
23848,07/16,11:54,8.565,40,LH2,2.28,42,-7.07,12.47,-1,-1,-1,-1,0,-1,PI-SIDIS,-111,-111.00,,,,,,
23849,07/16,13:28,8.565,40,LH2,3.75,30,-5.67,19.34,-1,-1,-1,-1,0,-1,PI-SIDIS,-111,-111.00,,,,,,
23850,07/16,14:01,8.565,40,LH2,3.75,30,-5.67,19.34,-1,-1,-1,-1,0,-1,PI-SIDIS,-111,-111.00,,,,,,
23851,07/16,14:33,8.565,40,LH2,3.75,30,-5.67,19.34,-1,-1,-1,-1,0,-1,PI-SIDIS,-111,-111.00,,,,,,
23852,07/16,15:06,8.565,40,LH2,3.75,30,-5.67,19.34,-1,-1,-1,-1,0,-1,PI-SIDIS,-111,-111.00,,,,,,
23853,07/16,16:12,8.565,-111,LH2,-4.5,14,-4.5,14,-1,-1,-1,5,-1,-1,HMSDIS,-111,-111.00,,,,,,
23855,07/16,16:31,8.565,-111,LH2,-4.5,14,-4.5,14,-1,-1,-1,4,-1,-1,HMSDIS,-111,-111.00,,,,,,
23856,07/16,16:46,8.565,-111,LH2,-4.5,14,-4.5,14,7,-1,-1,-1,-1,-1,SHMSDIS,-111,-111.00,,,,,,
23857,07/16,17:25,8.565,-111,LH2,-4.5,14,-4.5,14,-1,-1,5,-1,-1,-1,HMSDIS,-111,-111.00,,,,,,
23858,07/16,18:12,8.565,-111,LH2,-4.5,14,-4.5,14,-1,-1,5,-1,-1,-1,HMSDIS,-111,-111.00,,,,,,
23859,07/16,18:48,8.565,35,LH2,-4.5,14,-4.5,14,-1,-1,-1,4,-1,-1,HMSDIS,-111,-111.00,,,,,,
23860,07/16,19:38,8.565,30,LH2,-4.5,14,-4.5,14,-1,-1,-1,4,-1,-1,HMSDIS,-111,-111.00,,,,,,
23861,07/17,0:05,8.565,45,LH2,-1.53,29.05,-3.63,11.08,-1,-1,-1,-1,-1,0,PI-SIDIS,-111,-111.00,,,,,,
23862,07/17,1:58,8.565,25,LD2,-1.53,29.05,-3.63,11.08,-1,-1,-1,-1,-1,0,PI-SIDIS,1249,30.83,,,,,,
23864,07/17,3:15,8.565,40,Carbon,-1.53,29.05,-3.63,11.08,-1,-1,-1,-1,-1,0,PI-SIDIS,1067,16.82,,,,,,
23865,07/17,4:13,8.565,40,Copper,-1.53,29.05,-3.63,11.08,-1,-1,-1,-1,-1,0,PI-SIDIS,620,9.77,,,,,,
23866,07/17,4:52,8.565,40,Dummy,-1.53,29.05,-3.63,11.08,-1,-1,-1,-1,-1,0,PI-SIDIS,497,8.70,,,,,,
23867,07/17,5:41,8.565,45,LH2,-1.53,29.05,-3.63,11.08,-1,-1,-1,-1,-1,0,PI-SIDIS,907,13.52,,,,,,
23868,07/17,6:12,8.565,45,LH2,-1.53,29.05,-3.63,11.08,-1,-1,-1,-1,-1,0,PI-SIDIS,1023,13.38,,,,,,
