run,mean,std_dev,amplitude,nevents
23861,9.16000,1.94024,55.05235,1284
23862,9.08041,1.85789,61.77253,1389
23864,9.06476,1.92797,53.43231,1239
23865,9.44136,1.87582,32.94170,744
23866,9.27045,1.86191,22.20199,496
23867,9.26242,1.84724,45.08770,1005
23868,9.20093,1.78897,51.99985,1119
23876,9.20154,1.84322,39.10666,873
23878,9.14611,1.96446,28.01951,664
23879,9.16970,1.98426,21.23373,510
23880,8.97374,2.27280,18.44359,507
23881,9.26293,2.09740,21.44672,538
23882,9.32723,1.96323,26.49432,624
23883,9.11370,1.89079,26.49837,607
23884,9.25450,1.97636,26.94890,640
23885,9.33362,1.87259,12.21257,276
23886,8.86776,1.86867,27.77083,627
23887,9.12891,2.00729,28.31215,685
23888,9.23630,2.02367,22.77885,553
23889,9.30486,2.01551,22.93390,556
23890,9.19646,2.10470,13.33035,335
23891,9.12792,1.94854,9.48754,222
23892,9.06584,1.95526,45.54983,1068
23893,9.30688,2.02465,39.31174,951
23894,9.16072,1.95544,40.15109,947
23895,9.20438,1.99187,41.19643,989
23896,9.18697,1.90978,22.81409,525
23897,9.11291,2.09553,33.74217,848
23898,8.97500,2.07548,43.35753,1084
23899,9.14132,1.99411,43.20727,1035
23900,9.17500,1.88991,55.89485,1269
23901,9.11391,2.05950,8.05019,199
23902,9.06928,2.00679,29.49219,713
23903,9.00080,2.15290,3.88786,101
23904,9.17291,1.93574,44.46335,1039
23905,9.13176,1.95521,41.45166,973
23906,9.12125,1.89512,40.08431,919
23907,9.29141,1.85315,43.35478,967
23908,9.35280,1.94213,17.66300,412
23942,9.19519,1.74724,18.70869,395
23943,9.62211,1.79921,5.92844,128
23944,9.18130,1.88349,42.14610,963
23945,9.24878,2.07173,26.36772,655
23946,9.34046,1.94235,42.65128,1000
23947,9.31276,1.90402,41.55228,952
23948,9.20313,2.01163,36.80648,888
23949,9.29413,1.79400,4.95169,112
23950,9.23750,1.98204,47.93189,1137
23951,9.26264,1.86199,56.22699,1268
23952,9.32089,1.80235,46.14018,1007
23953,9.20699,1.83110,45.07103,997
23954,9.13519,1.71973,20.03974,418
23955,9.14228,1.86110,28.13708,629
23956,9.55121,2.09618,6.80454,171
23957,9.65698,1.79512,4.04473,87
23960,9.37499,2.05610,10.85486,270
23961,9.33515,2.07230,3.61109,90
23962,8.92301,2.09669,1.31665,33
23964,9.38600,1.80243,19.67618,429
23965,9.28150,1.90805,16.27225,374
23966,9.30237,1.88900,19.92723,455
23967,9.63748,1.97093,8.99848,211
23969,9.20286,1.92454,16.37907,377
23970,9.03002,1.70317,17.30084,358
23972,9.02847,1.82375,9.96179,217
23973,9.38535,1.66867,3.19492,66
23974,9.28987,1.86277,9.27239,209
23975,8.98366,1.62192,3.59239,70
23977,9.39516,1.85838,29.73738,667
23979,9.14028,1.83052,21.56794,482
23980,9.24285,2.07447,14.46673,362
23981,9.01945,1.93209,25.71577,597
23982,9.04368,1.70112,10.49648,218
23983,9.15844,1.99365,33.22215,794
23984,9.18613,2.02035,18.46836,449
23985,9.04660,1.83550,33.05687,738
23986,9.24511,1.83645,32.78607,723
23987,9.44613,1.85110,28.68701,639
23988,9.16953,1.78335,30.40319,654
23989,9.37187,1.78537,43.47569,936
23990,9.34137,1.74050,23.60219,498
23991,9.15819,1.93729,10.10983,235
23992,9.32014,1.98615,41.69081,994
23993,9.31845,1.92092,50.86093,1171
23994,9.27760,1.85524,60.84149,1363
23995,9.17111,1.85559,39.49056,882
23996,9.37292,1.91796,34.92796,808
23998,9.29971,1.96784,21.27989,500
23999,9.35814,1.84049,24.90688,553
24001,9.30684,1.85942,43.64909,979
24002,9.08316,1.81249,45.83638,1001
24003,9.30354,1.93934,42.15554,979
24004,9.15695,1.76195,24.73558,526
24005,9.00514,1.97068,29.61056,702
24006,9.28217,2.03977,28.63639,695
24007,9.22141,1.86182,30.83828,690
24008,9.08982,2.07618,7.22333,180
24009,9.24907,2.02937,39.81928,974
24010,9.12219,1.97470,35.92077,853
24011,9.30959,1.86700,39.89518,902
24012,9.20723,1.98284,36.24983,863
24013,9.02192,1.77427,43.65180,938
24014,9.21992,1.94676,37.56780,878
24015,9.31575,1.81348,28.96939,633
24016,9.52462,1.59407,15.71109,300
24019,9.21516,1.98392,45.75509,1085
24020,9.02110,1.84274,45.11442,1002
24021,9.10102,1.92527,46.61849,1082
24022,9.13401,1.98490,46.56717,1109
24023,9.33311,2.05012,6.94005,171
24024,8.95653,1.78726,33.84018,735
24026,9.09993,1.92525,22.25615,516
24032,9.23674,1.78911,27.59574,593
24039,9.45847,1.91793,4.31932,98
24040,9.38466,1.80058,28.59282,622
24041,9.27866,1.86759,37.88223,850
24042,9.38914,1.88076,35.14372,795
24043,9.06657,1.91116,20.63343,475
24047,9.24148,1.98217,28.43152,672
24048,9.25094,1.97945,28.02943,667
24049,9.08425,2.03350,31.21551,762
24050,9.11583,1.82654,35.29174,777
24051,9.23468,1.87726,27.86906,633
24054,9.09686,1.78197,40.93490,885
24055,9.11901,1.90154,37.90027,867
24056,9.25004,1.94884,39.96974,938
24057,9.36450,1.89405,35.17579,797
24058,9.24741,1.80689,24.22993,528
24059,9.28009,1.91398,12.60683,289
24060,9.32520,1.98591,39.87130,954
24061,9.09277,1.91552,50.93757,1176
24062,9.11901,1.86392,50.14235,1119
24063,9.25217,1.85210,44.90339,1001
24064,9.03525,1.81745,32.92976,719
24065,9.28014,1.89522,20.98680,478
24066,9.29567,1.99166,19.22034,457
24067,9.06662,1.84089,36.20535,804
24068,9.02877,1.84099,37.24627,832
24069,9.08458,1.91634,47.28017,1088
24070,9.37163,1.77202,22.67984,488
24071,9.22064,2.01620,33.57651,811
24072,9.23872,2.02699,29.64967,725
24073,9.23242,1.95557,30.44426,713
24074,9.23026,1.87661,32.14029,724
24075,9.07549,2.03841,26.34701,648
24076,9.15323,1.86798,30.11478,680
24079,9.13986,1.95586,29.14417,686
24080,9.10181,2.00379,32.61362,789
24081,9.07358,1.85766,40.47034,908
24082,9.32236,1.89102,37.69250,855
24084,9.09623,1.86097,23.93310,540
24085,9.19676,1.92284,24.23562,559
24086,9.34575,1.93598,24.52709,567
24087,9.16556,1.81744,54.47238,1201
24089,9.19688,1.97833,41.63819,990
24091,9.03090,2.21901,29.46090,794
24092,9.09297,1.89376,53.57142,1224
24093,9.22187,1.93379,53.15472,1233
24094,9.10276,1.92682,49.03525,1136
24095,9.29984,1.94914,26.91877,631
24096,9.07577,1.94176,16.75298,391
24097,9.40193,1.79160,4.82876,105
24098,8.99884,1.85282,52.74369,1180
24099,9.08956,2.07692,51.07288,1274
24100,9.18763,1.99241,45.51869,1089
24101,9.10255,2.09919,49.80816,1255
24103,9.35855,1.99435,34.69667,832
24104,9.07642,2.02665,69.44118,1694
24110,9.13344,1.93363,47.45555,1109
24111,9.22296,2.12648,41.93113,1066
