run,mean,std_dev,amplitude,nevents
23861,9.39999,1.98724,15.17438,366
23862,9.25957,1.91843,16.75835,401
23864,9.14645,1.89523,15.48702,360
23865,9.71968,1.88559,9.13380,210
23866,9.44288,2.15729,5.56715,145
23867,9.38511,1.87763,12.96534,300
23868,9.25046,1.75450,14.07364,314
23876,9.37569,1.77341,10.12691,224
23878,9.33384,1.68561,8.50042,179
23879,9.60209,2.15064,6.47112,169
23880,9.59636,2.16328,5.47238,143
23881,9.81305,2.14036,5.68175,146
23882,9.67381,2.09838,6.56906,169
23883,9.17471,1.74758,8.03256,174
23884,9.25133,2.00415,7.79949,194
23885,9.25948,2.11023,2.99731,78
23886,9.18119,1.97801,7.18724,172
23887,9.78037,2.08478,8.17336,205
23888,9.66842,2.11858,6.39200,164
23889,9.33250,1.87531,6.83870,160
23890,10.03960,2.19621,3.81137,101
23891,9.33431,2.18290,2.48582,65
23892,9.29104,2.02242,12.78345,315
23893,9.40400,2.22216,10.66201,284
23894,9.39899,2.21606,10.98015,295
23895,9.45906,2.09583,11.23782,284
23896,9.54435,1.72561,7.02382,152
23897,9.65354,2.26362,9.44756,259
23898,9.43095,2.27290,11.23637,307
23899,9.69033,1.99829,12.89729,313
23900,9.70194,1.98883,16.21909,390
23901,9.66482,2.30526,2.22866,61
23902,9.14429,2.00032,8.26016,206
23903,9.53301,1.81514,1.39178,31
23904,9.40197,2.02783,12.13665,301
23905,9.50711,2.07774,10.20425,257
23906,8.80151,1.96874,9.88239,242
23907,9.67947,1.93844,10.49484,249
23908,9.61865,2.28208,2.83595,80
23942,9.27655,1.70289,4.91507,105
23943,10.47107,2.06574,1.07841,26
23944,9.38035,2.05843,9.54946,241
23945,9.44746,2.02497,6.09831,151
23946,9.37712,1.88248,10.45803,240
23947,9.55498,1.98636,8.90369,221
23948,9.40593,2.01823,9.41376,229
23949,9.58931,2.26355,0.81962,23
23950,9.23178,2.12699,11.32814,290
23951,9.45204,1.94524,13.78224,331
23952,9.66820,1.70764,12.75828,266
23953,9.31877,1.97696,10.98777,266
23954,8.99531,1.40891,6.36995,113
23955,9.17259,1.73537,7.82937,172
23956,9.57110,1.87149,2.03724,47
23957,10.14867,1.28295,1.86228,29
23960,8.73567,1.82663,3.61690,88
23961,9.15248,1.95261,1.25444,30
23962,9.21637,1.95140,0.65054,15
23964,9.43077,2.12255,4.77147,123
23965,9.56047,2.09595,4.12936,106
23966,9.51883,2.02750,5.44095,137
23967,10.13563,1.84153,2.96362,67
23969,9.64897,1.81766,4.95853,110
23970,9.16563,1.57769,5.30305,110
23972,9.37483,1.83556,2.48469,55
23973,9.61840,1.36083,1.00144,17
23974,10.49827,1.89644,2.58530,60
23975,9.28307,1.98781,0.88387,21
23977,9.46231,1.90334,7.87681,187
23979,9.31533,1.82718,5.07511,116
23980,9.54041,2.08879,3.78342,97
23981,9.43408,2.07139,6.20026,154
23982,9.73874,1.90808,2.28523,52
23983,9.75004,1.92881,8.85486,213
23984,9.62939,2.15710,4.25661,112
23985,9.72792,2.22614,7.42157,198
23986,9.32916,1.82753,8.72025,197
23987,9.83893,2.02192,6.46744,159
23988,9.03526,1.70275,8.42067,179
23989,9.80449,1.91219,10.92083,250
23990,9.46910,1.78946,5.46678,121
23991,9.24148,1.88952,2.33674,54
23992,9.56474,2.21180,9.90464,264
23993,9.49481,1.84688,15.58797,352
23994,9.39946,1.90874,14.66701,341
23995,9.50734,2.12509,9.75952,249
23996,9.83895,1.94899,8.41633,198
23998,9.29110,2.01433,5.25734,130
23999,9.48282,1.81917,6.83590,150
24001,9.61529,2.04337,10.60477,262
24002,9.26727,1.83466,11.59334,262
24003,9.62702,2.02553,10.17629,249
24004,9.45560,1.84443,6.55092,149
24005,8.96036,1.79670,8.42449,192
24006,9.65308,2.02504,7.57550,184
24007,9.23969,1.71047,8.41757,180
24008,9.62954,2.19203,1.56506,41
24009,9.46248,2.00984,9.46001,238
24010,9.34785,1.99817,9.13688,228
24011,9.62626,1.90548,10.06869,236
24012,9.48504,1.96900,9.45457,227
24013,9.17470,2.04612,10.60246,260
24014,9.33631,1.97646,10.78995,260
24015,9.50271,1.83354,7.30669,164
24016,9.74218,1.58468,3.88782,75
24019,9.28616,2.02514,10.88632,269
24020,9.16979,1.73984,12.97052,277
24021,9.21868,1.95399,12.46961,294
24022,9.26989,2.10295,11.75642,301
24023,9.19206,1.60859,1.99231,41
24024,9.09303,1.74806,9.41242,204
24026,9.25509,1.98062,5.06201,123
24032,9.48981,1.79370,7.17173,161
24039,9.41598,1.68646,1.64054,33
24040,9.55422,1.78858,7.38533,165
24041,9.26814,1.89039,9.60586,228
24042,9.53457,1.90374,9.35089,216
24043,9.06548,1.78522,5.31305,121
24047,9.31222,2.24111,7.43165,199
24048,9.26265,2.06039,7.08549,176
24049,9.51926,1.97646,8.63330,211
24050,9.41254,1.96465,8.25049,196
24051,9.56649,1.97878,7.18413,172
24054,9.29182,1.67129,12.41085,258
24055,9.43743,1.98797,10.63119,256
24056,9.38377,2.01350,11.12721,280
24057,9.55932,1.93033,9.63856,224
24058,9.43058,2.13282,5.67794,147
24059,9.54598,1.77140,3.60275,77
24060,9.84659,1.86118,11.44051,260
24061,9.22368,2.23562,11.29611,305
24062,9.45947,1.79928,12.97893,288
24063,9.44638,2.11046,10.12582,260
24064,9.29326,1.97639,7.52285,182
24065,9.06712,2.08575,5.69768,145
24066,9.67924,2.09188,4.72279,120
24067,9.41826,1.97812,8.98211,215
24068,9.39839,1.90514,9.77042,233
24069,9.22136,1.68383,13.81410,292
24070,9.75498,2.08707,4.86388,123
24071,9.46969,2.30305,8.12413,225
24072,9.34474,2.13500,7.77848,203
24073,9.18667,1.99837,8.69891,219
24074,9.43009,1.93474,8.70292,204
24075,9.54360,1.90804,6.95916,164
24076,9.04552,1.98896,7.67369,188
24079,9.44226,1.80911,8.53296,190
24080,9.20378,1.93867,8.78815,213
24081,9.54594,1.95206,10.81610,259
24082,9.49086,1.74541,11.08860,243
24084,9.28261,2.01339,5.85147,144
24085,9.13196,1.93284,6.48365,154
24086,9.51490,2.18627,6.01281,158
24087,9.47836,2.03961,13.52926,334
24089,8.99199,1.91225,12.53048,298
24091,9.60565,2.23204,7.86127,214
24092,9.27625,1.97018,14.14819,343
24093,9.43469,2.12960,13.08420,338
24094,9.45276,2.01134,13.66434,333
24095,9.65568,1.99166,6.31228,156
24096,9.41614,1.90881,4.77348,112
24097,9.93896,2.50018,0.99978,30
24098,9.10327,1.93263,14.36301,340
24099,9.40393,2.17875,14.09496,371
24100,9.59664,1.77006,13.14159,284
24101,9.41959,2.09204,12.92587,333
24103,9.68854,2.07163,9.36050,232
24104,9.63076,1.86093,20.89834,473
24110,9.51007,1.94877,11.53375,276
24111,9.64241,2.29273,10.01498,278
24112,9.56094,2.17782,12.66750,333
24113,9.39273,2.09642,7.92085,202
24116,9.66893,1.95531,10.02822,237
24117,9.35248,2.06025,10.45545,263
24120,9.48778,2.00301,16.07711,391
24121,9.34571,2.17173,14.50070,383
24122,9.32822,2.14326,14.60477,381
24123,9.40257,1.87068,15.79535,368
24125,8.99600,1.49272,7.97018,147
24126,9.44666,1.91640,13.44153,316
24127,9.58157,1.99473,11.78546,285
24128,9.41329,2.12128,13.17120,338
24129,9.65142,2.21264,11.54592,309
24130,9.53161,2.25594,13.16977,362
24131,9.46590,2.07171,12.43147,318
24132,9.41904,1.86079,10.95677,248
24133,9.26333,2.14902,13.19742,341
24134,9.11698,1.76362,9.69366,212
24135,9.58760,1.97926,3.24178,78
24138,9.79270,2.22072,17.71214,471
24139,9.40608,1.96406,20.54221,493
24140,9.42337,2.02436,21.96565,539
24141,9.13487,1.94612,20.24568,487
24144,9.37294,2.10572,13.54936,344
24145,9.68753,2.20914,11.02024,291
24146,9.24470,2.05546,10.68461,268
24147,9.41022,1.85327,14.40884,330
24150,9.42057,1.82318,15.71747,352
24151,9.38568,1.98436,14.14748,344
24153,9.41525,2.04961,13.29428,334
24155,9.48558,1.74127,15.69285,341
24156,9.81021,2.14033,8.73829,225
24157,9.64648,2.00501,3.66661,89
24158,9.42641,2.15593,12.70831,333
24159,9.37665,2.06848,12.85270,324
24160,9.02896,1.81537,15.54466,356
24161,9.31111,2.12715,12.27625,318
24162,9.35844,2.03735,13.37731,337
24163,9.16869,2.01258,13.46952,331
24164,9.16415,1.99006,14.27508,348
24165,9.32706,1.89382,16.14739,378
24166,9.31882,2.21669,5.44415,145
24167,9.59163,2.03778,11.06312,275
24168,9.14118,1.90334,13.54855,322
24169,9.43392,2.15241,12.36829,323
24170,9.30820,1.97164,12.11761,288
24171,9.58787,2.10525,8.16261,205
24172,9.39534,2.23845,9.87997,269
24173,9.30238,1.84821,11.30864,256
24174,9.08026,1.84726,13.93449,320
