run,mean,std_dev,amplitude,nevents,chi2,ndf,chi2_ndf
23861,8.913994330019115,1.8418754938698545,15.830436917116206,500,37.94792416533457,26,1.4595355448205605
23862,8.862684689054907,1.6768072460371661,18.148267481220344,551,41.793755512399876,26,1.607452135092303
23864,8.659092893229897,1.7475406703091543,16.64254602035755,494,39.946565442936276,26,1.5364063631898568
23865,9.472961335843282,1.6594466982498606,9.587758909701758,287,25.644043351237354,25,1.0257617340494942
23866,8.822122568771428,1.819733742105832,6.142560952474492,200,23.551901624359033,27,0.8722926527540382
23867,9.116844999464256,1.6820674551145511,13.982463658940802,409,30.147222821508844,25,1.2058889128603538
23868,8.946508588629207,1.5800007423699212,15.34036387466462,436,38.97733257704082,24,1.6240555240433674
23876,8.910901321933851,1.5015660003368436,11.58534272503677,313,51.55024271753564,24,2.1479267798973183
23878,9.112067075261916,1.391933201377389,8.803843580276894,233,22.06774029100765,22,1.0030791041367113
23879,9.155838157960646,1.9967921428189428,6.437623327894197,222,37.67207813900916,30,1.255735937966972
23880,9.03114287756378,1.865040648741002,5.65586104765353,181,22.96087619694471,28,0.8200312927480253
23881,9.15373427028058,1.9297492648419092,5.728143416198908,193,44.45058467996892,25,1.7780233871987567
23882,9.262740808414485,1.7868975520159893,6.697665863259247,215,31.15030042120157,25,1.2460120168480628
23883,8.863801792501688,1.5821937154443364,8.317368354723836,224,21.073704568716572,24,0.8780710236965238
23884,8.774799915153412,1.6354610598858872,8.36192932186648,251,79.75989557168681,26,3.0676882912187233
23885,8.609027392755348,1.86146863814036,3.1478651486835534,103,14.567694234167108,21,0.6936997254365289
23886,8.714809885072345,1.82629849274046,7.347971346880592,222,29.578557234092006,26,1.1376368166958464
23887,9.257025275428962,1.9879883043599997,8.093780279513606,266,39.60735840142523,27,1.4669392000527863
23888,8.784982563899865,1.796308042854695,6.945933948744788,211,35.944834238518055,25,1.4377933695407221
23889,9.020740617131679,1.5949882460072358,7.153437224358135,207,16.777942448965135,24,0.6990809353735473
23890,9.642019606003895,2.189452858260492,3.7755562708578725,129,43.2114039084369,30,1.44038013028123
23891,8.899754349159416,2.351041695973398,2.4636574791422556,88,23.71306956348278,27,0.8782618356845474
23892,8.8897612528077,1.8925917715620535,12.925305131410775,408,44.232200193016325,27,1.6382296367783824
23893,8.750603830504145,2.0969745458170572,10.752645040998187,361,35.83561189236822,30,1.194520396412274
23894,8.790143804135278,2.0260507937495826,11.357425547857575,386,42.442379593839945,29,1.463530330822067
23895,9.011516766524112,1.9045598999574525,11.363921815086048,369,50.67149054863233,28,1.8096960910225832
23896,9.168578935008275,1.5910143861931978,7.185506216874186,200,22.943221494826222,25,0.9177288597930489
23897,9.165095137155829,2.112678957854784,9.518175274409742,339,32.357659051430325,30,1.0785886350476774
23898,8.498262254673355,1.9202464343587884,12.012161936805263,390,47.44681871215956,29,1.6360971969710194
23899,9.229919797388236,1.812077502114463,13.211524443670186,404,52.871315186602686,26,2.0335121225616417
23900,9.205838905399562,1.7866309830255165,16.44120441709218,494,45.52046020382558,26,1.7507869309163684
23901,8.979850536620644,2.38965785189973,2.2202475575867786,81,13.972617483865655,28,0.49902205299520197
23902,8.56761157258463,1.6784727752151538,8.878939152934677,268,57.418415100734435,27,2.126607966693868
23903,9.335024125208479,1.55897584986046,1.4036222458462024,40,6.391688078634997,15,0.4261125385756665
23904,8.912933334352697,1.8143268345662384,12.945815374924022,410,36.72548753793047,27,1.360203242145573
23905,9.092970997843217,1.9011623364047099,10.80243564520509,354,32.63928582416617,27,1.2088624379320805
23906,8.305516110948577,1.719701203510781,10.864055802349597,333,21.62509558402778,26,0.8317344455395299
23907,9.133231264174938,1.8183319010378842,11.117033288924567,346,39.763840774458444,26,1.5293784913253248
23908,9.129047044564008,2.1232263973961296,3.08405277632123,112,18.567143877780055,29,0.6402463406131054
