run,mean,std_dev,amplitude,nevents
23861,9.35538,2.04948,38.55699,963
23862,9.30039,2.00671,41.54549,1023
23864,9.19619,1.94105,37.44002,888
23865,9.68262,1.97773,22.35028,535
23866,9.46917,1.96652,15.89440,382
23867,9.45185,1.89318,32.06816,744
23868,9.37279,1.89771,36.40893,845
23876,9.42446,1.96098,26.63058,635
23878,9.44286,1.96424,21.94052,528
23879,9.42718,2.03590,16.89160,420
23880,9.60329,2.27913,14.34495,396
23881,9.61358,2.14826,17.44398,450
23882,9.57360,2.05970,19.72333,494
23883,9.26705,1.98220,21.16154,513
23884,9.46824,2.19563,20.18625,536
23885,9.52026,1.94814,9.68959,235
23886,9.08652,1.89299,21.50436,502
23887,9.45156,2.03882,22.88168,569
23888,9.50940,2.15977,17.04104,449
23889,9.62718,2.08460,18.30163,465
23890,9.64024,2.23543,10.17027,272
23891,9.35208,2.00208,7.53134,184
23892,9.19754,1.97966,36.78195,896
23893,9.61465,2.16506,30.11913,782
23894,9.45142,2.00477,32.52708,801
23895,9.47082,2.01242,32.79379,811
23896,9.48139,1.96245,18.14152,438
23897,9.45216,2.16621,26.66811,702
23898,9.37365,2.15700,33.68026,885
23899,9.44118,2.03524,34.53252,855
23900,9.48444,1.97170,43.78597,1050
23901,9.50368,2.16807,6.34639,165
23902,9.38223,2.00279,23.73682,579
23903,9.36348,2.10793,3.19033,82
23904,9.56101,2.07628,30.27998,764
23905,9.29999,2.04919,28.40194,709
23906,9.28967,1.97265,26.96935,657
23907,9.51717,1.91882,29.69350,697
23908,9.50109,2.10700,11.45461,296
23942,9.25671,1.84616,12.85543,295
23943,9.65480,1.97002,3.78585,90
23944,9.41765,1.91029,28.98279,686
23945,9.56102,2.23290,16.05173,435
23946,9.54808,2.05510,27.60519,692
23947,9.58844,2.03173,27.46078,678
23948,9.39938,2.01240,25.44989,622
23949,9.39539,1.42731,3.86169,77
23950,9.38666,2.06621,33.46836,837
23951,9.46226,1.98041,36.20810,885
23952,9.48964,1.81510,32.68501,735
23953,9.48306,1.90902,30.71353,718
23954,9.19575,1.71989,14.03151,302
23955,9.27240,1.94197,18.73715,446
23956,9.64208,2.08994,5.10798,130
23957,9.87160,1.72490,2.91988,61
23960,9.47121,2.31832,6.74798,191
23961,8.98358,2.16614,2.50016,66
23962,8.78264,2.10587,1.01405,27
23964,9.61094,1.97609,12.50898,300
23965,9.50728,1.97443,10.99914,265
23966,9.39252,1.91256,13.55492,322
23967,9.91672,2.12017,5.87823,149
23969,9.50313,1.94362,11.58926,272
23970,9.26690,1.75337,11.82671,261
23972,9.24651,1.98272,6.26872,150
23973,9.30234,1.85823,2.21399,51
23974,9.60324,1.94506,6.34032,150
23975,9.13821,1.86734,2.32824,52
23977,9.49280,1.92419,20.88929,496
23979,9.42228,1.89344,14.63518,343
23980,9.66931,2.22849,9.56091,258
23981,9.28834,2.09058,16.83253,425
23982,9.49141,1.79015,7.22777,161
23983,9.51444,2.05066,22.74537,570
23984,9.60333,2.28955,12.10891,333
23985,9.36945,2.01709,22.10864,549
23986,9.36197,1.88923,23.64672,547
23987,9.69597,2.02267,18.71157,460
23988,9.25917,1.85164,21.21741,489
23989,9.62661,1.89579,29.87212,686
23990,9.48186,1.83256,15.11351,348
23991,9.16403,2.11490,6.59410,172
23992,9.49547,2.07687,28.58394,723
23993,9.54649,2.00113,36.17757,884
23994,9.50624,1.90434,40.98335,956
23995,9.40059,1.97019,27.07088,648
23996,9.62681,2.01311,23.52616,579
23998,9.43058,1.97946,15.54258,375
23999,9.38568,1.91403,18.17300,425
24001,9.45154,1.90879,30.60864,717
24002,9.26035,1.84679,30.62896,696
24003,9.55923,2.08725,28.59246,722
24004,9.25702,1.84153,17.09387,389
24005,9.32675,2.10068,19.47800,496
24006,9.46631,2.16650,19.54974,507
24007,9.45464,1.87404,22.25281,513
24008,9.58852,2.11866,5.16140,130
24009,9.47417,2.09041,27.92184,717
24010,9.32021,1.96433,26.01306,626
24011,9.53413,1.95084,27.50564,660
24012,9.42164,2.03565,25.41615,630
24013,9.26237,1.94561,29.34330,696
24014,9.51251,2.01526,26.36394,643
24015,9.46295,1.88586,20.56288,476
24016,9.54498,1.77226,10.48923,228
24019,9.40774,2.02191,31.19195,769
24020,9.17321,1.86174,32.17883,745
24021,9.35685,2.01808,33.04522,808
24022,9.33563,2.14315,31.39589,816
24023,9.71788,2.35914,4.58550,129
24024,9.14835,1.83522,23.22425,532
24026,9.22073,2.09717,14.89557,380
24032,9.28011,1.84542,19.26502,435
24039,9.72813,1.93208,3.52050,81
24040,9.58469,1.91703,19.52867,459
24041,9.45622,2.05283,26.19534,656
24042,9.50659,1.99456,24.34054,590
24043,9.26402,1.93011,14.83868,353
24047,9.49521,2.07705,19.89041,498
24048,9.48428,2.03568,19.23315,478
24049,9.33549,2.14399,21.08634,549
24050,9.48065,1.91636,24.95044,581
24051,9.45063,2.10410,18.85638,483
24054,9.38215,1.79847,30.35221,671
24055,9.33748,1.99364,27.06649,660
24056,9.42269,2.02409,28.84419,718
24057,9.50444,2.03738,23.81818,584
24058,9.45121,1.96776,16.97512,405
24059,9.46482,2.02456,8.84366,216
24060,9.58213,2.02518,28.50488,702
24061,9.32143,1.98207,36.21817,879
24062,9.32414,1.85861,36.36732,827
24063,9.42808,1.91128,31.40107,739
24064,9.15918,1.87653,23.32745,542
24065,9.36511,2.03138,14.82939,371
24066,9.53689,2.10510,13.26193,337
24067,9.35819,1.95000,24.91671,594
24068,9.21052,1.90402,26.23187,625
24069,9.38126,1.89530,34.12368,798
24070,9.64211,1.84957,15.27404,353
24071,9.46583,2.05037,24.37654,609
24072,9.55874,2.18673,20.13126,533
24073,9.34058,2.01115,22.18629,542
24074,9.46338,2.00083,22.78372,555
24075,9.36019,1.99232,18.74376,461
24076,9.32312,1.91461,21.54903,507
24079,9.57816,2.04163,20.28578,498
24080,9.27897,1.98582,23.90627,581
24081,9.26074,1.91148,29.34358,686
24082,9.45131,1.97164,26.44280,635
24084,9.26233,1.96514,17.09876,414
24085,9.34113,2.02468,16.77355,415
24086,9.53032,2.06460,16.81020,419
24087,9.37318,2.01754,36.31545,896
24089,9.33500,2.10580,29.28427,749
24091,9.43171,2.21371,21.00480,573
24092,9.34768,1.94380,37.56681,896
24093,9.49287,2.05521,37.22778,930
24094,9.40493,2.03656,34.85788,862
24095,9.55233,1.97519,19.59660,476
24096,9.16616,1.93712,12.49450,299
24097,9.53184,1.86882,3.22001,75
24098,9.27198,1.90073,38.30281,892
24099,9.44528,2.16911,37.68529,992
24100,9.53252,1.94400,33.41912,787
24101,9.40601,2.09209,37.08649,943
24103,9.57648,2.03628,25.67661,635
24104,9.42330,2.00116,50.57713,1230
24110,9.51820,1.96886,33.45458,806
24111,9.60769,2.23911,29.68981,799
24112,9.40450,2.11144,35.65258,916
24113,9.40618,2.01904,22.00578,548
24116,9.57174,2.06735,23.96114,605
24117,9.23516,2.05969,25.56221,645
24120,9.41380,2.05243,43.87503,1101
24121,9.39965,1.95064,41.73933,1008
24122,9.40923,2.06791,36.67005,923
24123,9.38618,1.93579,38.01264,906
24125,9.12429,1.61245,19.06879,382
24126,9.37721,1.90542,31.80305,744
24127,9.49387,2.05595,27.07615,675
24128,9.39743,2.14343,31.94051,831
24129,9.53519,2.08569,29.21530,737
24130,9.41329,2.12920,38.14368,991
24131,9.49385,2.09100,34.64214,881
24132,9.45101,1.96911,27.19829,656
24133,9.42618,2.10404,35.55247,908
24134,9.27246,1.74758,28.96353,625
24135,9.46088,2.18061,8.33551,223
24138,9.49582,2.17003,45.92090,1203
24139,9.28180,1.95915,52.00263,1252
24140,9.34929,2.07041,53.05069,1334
24141,9.27412,1.92297,53.27396,1259
24144,9.48209,2.01165,32.62183,797
24145,9.37811,2.09863,29.72392,756
24146,9.27101,1.98696,29.53555,722
24147,9.43334,1.99562,32.86804,806
24150,9.49134,1.86538,42.98397,984
24151,9.53677,2.00351,38.88373,948
24153,9.47020,2.16279,33.96254,888
24155,9.52664,1.95661,38.65037,922
24156,9.57751,2.00359,24.35767,593
24157,9.55216,1.85206,10.59467,238
24158,9.45997,2.18841,35.09788,930
24159,9.36327,1.99610,37.79124,922
24160,9.27775,1.99957,38.35853,940
24161,9.35655,2.08050,34.90514,883
24162,9.54063,2.13419,32.14807,842
24163,9.29726,1.95683,35.74601,852
24164,9.28318,1.98586,35.40511,858
24165,9.36999,1.89616,43.04804,1002
24166,9.33676,2.13765,15.84870,411
24167,9.43217,1.97746,28.13928,675
24168,9.39488,2.01650,31.18465,769
24169,9.40637,2.17537,29.09617,769
24170,9.31467,1.98003,29.23191,700
24171,9.38343,2.06843,21.96877,548
24172,9.23927,2.06998,26.67475,683
24173,9.39664,1.97620,25.99296,621
24174,9.10836,1.90813,32.14705,765
24175,9.26427,2.10252,27.86866,722
24176,9.21515,2.00867,31.95178,785
24177,9.34799,1.93627,28.21562,679
24178,9.57938,1.86677,32.97775,759
24179,9.52000,2.03555,38.81064,969
24185,9.31092,2.12884,33.68448,869
24187,9.46504,1.97831,46.37180,1115
24188,9.27479,1.93656,49.69570,1183
24189,9.32602,2.03005,42.14034,1041
24190,9.39057,2.05997,47.22420,1184
24191,9.40057,2.02744,41.26332,1031
24192,9.30190,1.99636,48.21122,1167
24193,9.38555,2.01028,41.38945,1010
24194,9.21459,1.81226,49.35161,1122
24195,9.19934,1.96000,48.69114,1176
24196,9.22025,1.71660,31.92883,693
24197,9.26944,1.91534,18.35580,425
24200,9.35974,1.96662,14.74819,352
24201,9.41405,1.92476,59.98286,1423
24203,9.42650,2.05177,86.24394,2145
24204,9.31359,1.87643,39.58245,905
24206,9.23569,1.99349,18.17428,439
24207,9.45473,1.97808,43.64438,1042
24208,9.40478,2.05920,44.43684,1110
24210,9.35125,1.90017,25.63939,603
24211,9.41907,2.00927,25.37937,621
24213,9.35227,1.99662,145.01976,3527
24214,9.36984,1.98337,119.06544,2883
24215,9.36141,1.94722,155.88990,3747
24216,9.30942,2.00850,162.05200,3976
24217,9.34196,2.03382,150.08178,3734
24218,9.32481,1.98076,148.77224,3603
24219,9.28965,1.97562,107.54994,2591
24220,9.29653,1.98062,46.73792,1140
24222,9.44631,1.99523,109.65191,2681
24223,9.31589,2.08379,57.50393,1462
24224,9.43431,2.01148,111.41447,2728
24225,9.36671,2.14490,38.20291,994
24226,9.38774,2.06985,114.75976,2888
24227,9.31857,1.95445,144.48146,3482
24228,9.31148,2.02441,105.34154,2598
24229,9.38068,2.03070,72.70232,1796
24230,9.19339,1.96651,43.05430,1034
24232,9.28329,1.90196,54.55035,1286
24233,9.33532,2.09097,46.15107,1173
24234,9.28693,1.95000,50.52400,1200
24236,9.43393,2.06714,116.93514,2927
24237,9.35288,1.95740,111.07941,2669
24238,9.35616,2.03543,122.39273,3024
24239,9.24120,2.00916,119.46978,2971
24240,9.37726,2.02917,127.82058,3157
24241,9.51149,2.00401,64.67770,1578
24243,9.39421,2.06307,61.11890,1541
24244,9.21873,1.99956,76.40996,1859
24245,9.41172,2.04557,72.61929,1802
24246,9.32564,1.99468,72.30084,1761
24247,9.36012,2.03680,65.90431,1642
24248,9.30424,2.02305,71.33817,1761
24250,9.33966,2.05014,142.15926,3555
24251,9.35189,2.03056,149.76384,3718
24252,9.32483,2.01276,151.51525,3724
24253,9.37602,2.05363,155.27254,3881
24254,9.42365,2.06337,155.82255,3908
24255,9.33931,2.06000,146.09992,3663
24257,9.44941,2.04414,111.24500,2772
24258,9.35355,1.99035,106.66819,2591
24259,9.36678,1.94866,111.42860,2647
24260,9.39978,1.99148,101.27914,2462
24261,9.27741,1.87461,87.49486,2021
24262,9.38052,2.00207,93.55834,2288
24263,9.45896,2.05290,73.23205,1838
24264,9.60766,1.98599,41.09182,989
24266,9.39532,2.06722,98.90717,2482
24267,9.39367,2.11240,48.37055,1240
24268,9.52140,2.05396,47.25772,1175
24269,9.18562,1.86460,44.11404,1021
24270,9.30925,1.99738,117.86151,2886
24271,9.43961,2.08929,112.90840,2868
24273,9.31563,2.01624,132.51571,3272
24274,9.38271,2.00371,129.49442,3183
24275,9.32875,2.04180,124.11694,3097
24276,9.32274,1.95003,67.73482,1625
24277,9.30801,1.97935,78.51690,1923
24278,9.38239,2.05803,79.28808,1978
24279,9.26447,1.98289,79.51333,1926
24280,9.35715,2.01223,77.23918,1897
24281,9.34976,2.02376,84.16517,2076
24282,9.19576,1.94187,92.13737,2201
24283,9.37800,2.03216,81.21874,2032
24310,9.35439,2.09096,67.48380,1712
24311,9.24206,2.02974,72.82325,1793
24312,9.34070,2.04613,78.47626,1961
24313,9.27172,2.02900,102.57794,2552
24314,9.33544,2.19501,61.79813,1641
24315,9.31915,2.10795,56.36017,1448
24316,9.24542,2.03005,65.65130,1626
24317,9.34318,2.09591,68.88985,1758
24318,9.45946,2.24862,9.88501,270
24322,9.48772,1.95936,82.50905,1981
24323,9.16553,2.17898,47.65578,1252
24324,9.35291,1.98807,79.82200,1946
24325,9.29721,1.95697,82.48365,1974
24326,9.43577,2.03821,70.04936,1733
24327,9.30620,2.01855,72.78040,1802
24328,9.61604,2.09480,73.91609,1888
24329,9.44116,2.05572,74.09077,1854
24330,9.18839,2.08387,59.64391,1518
24331,9.37646,1.99310,32.05215,771
24332,9.21192,1.91502,24.77143,582
24335,10.15406,2.06273,6.53514,163
24336,9.33350,1.97057,55.38728,1333
24337,9.30832,1.96647,64.42402,1548
24338,9.35723,2.05359,66.86816,1680
24339,9.43511,2.00636,61.93294,1517
24342,9.25903,2.03479,83.00117,2054
24343,9.44098,1.97796,73.20076,1775
24344,9.52624,2.01820,78.01609,1927
24345,9.36178,1.96083,84.83125,2043
24346,9.28934,2.03779,82.15945,2035
24347,9.30596,2.08773,79.85617,2030
24348,9.36787,2.01194,79.06802,1951
24349,9.40641,2.16554,25.71911,676
24352,9.34767,2.02414,54.22280,1338
24353,9.34284,2.16076,55.07860,1439
24354,9.41086,2.07194,52.42662,1319
24355,9.21144,1.92179,56.66416,1343
24356,9.29388,2.03707,47.89915,1193
24357,9.42787,2.03207,46.22527,1138
24359,9.46277,2.05163,43.47396,1085
24360,9.17080,1.99539,51.85967,1268
24363,9.33510,2.01451,31.68498,780
24364,9.56401,2.19896,32.30467,859
24365,9.22459,2.02770,38.80319,956
24366,9.32959,1.88411,41.29144,948
24367,9.40580,1.95028,33.88235,799
24368,9.53092,1.96996,39.56257,956
24369,9.32730,1.91782,36.83437,867
24370,9.25080,1.88656,37.74591,876
24371,9.40951,2.05697,38.63470,966
24372,9.28594,1.96177,31.68041,757
24376,9.26119,1.96096,45.88397,1106
24377,9.33305,2.03428,66.54550,1656
24378,9.34890,2.17696,53.77509,1416
24379,9.32300,2.07777,67.08981,1701
24380,9.27940,1.94263,72.01630,1720
24381,9.26408,2.08277,68.59151,1751
24382,9.39174,2.09223,71.11386,1808
24383,9.40467,1.99918,75.04771,1833
24384,9.39729,2.01497,34.12569,834
24385,9.47189,2.15672,28.00726,734
24386,9.39012,2.11460,89.72170,2306
24387,9.41897,2.07565,77.75067,1961
24388,9.37592,2.01887,92.05389,2275
24389,9.29653,2.10354,65.76658,1680
24390,9.35406,2.04358,70.92475,1771
24396,9.50675,2.13733,77.72857,2011
24397,9.41702,2.03379,78.23788,1941
24398,9.32957,2.00995,50.22768,1233
24399,9.36798,2.05975,21.44128,542
24400,9.36536,2.01800,45.04675,1101
24401,9.46692,2.10709,46.59265,1181
24402,9.39090,2.10632,61.40762,1595
24404,9.48954,2.04925,77.45772,1939
24405,9.38446,1.99805,34.37771,842
24406,9.37327,2.02620,58.55464,1464
24407,9.31313,2.04846,58.26904,1444
24408,9.35652,2.05142,59.34857,1472
24409,9.36385,2.11622,54.23239,1397
24410,9.43024,2.02297,55.66556,1365
24411,9.27115,2.11924,27.27541,701
24412,9.43764,2.11170,33.86180,867
24413,9.39837,1.97470,36.04170,868
24414,9.43464,2.01310,39.88086,982
24415,9.38358,2.02852,9.19268,227
24416,9.27543,2.03202,61.08554,1520
24417,9.33877,2.13186,73.10450,1897
24418,9.43549,2.12277,72.50593,1875
24419,9.36926,2.06888,68.45802,1722
24421,9.53925,1.76986,12.10501,259
24422,9.43685,2.03142,44.33412,1101
24423,9.45765,2.02037,32.71212,810
24424,9.33746,1.96590,78.78076,1894
24425,9.38446,2.01702,82.10921,2013
24426,9.35985,2.17391,46.72728,1226
24427,9.25247,1.82153,25.92068,585
24428,9.18023,1.98967,34.92372,853
24429,9.30778,2.06120,36.27561,915
24430,9.44782,2.17690,31.45165,833
24431,9.22182,2.16401,33.62820,889
24432,9.38477,1.92785,35.22264,840
24433,9.40616,2.09160,40.60167,1043
24434,9.52633,2.11702,35.74315,917
24435,9.33712,2.05433,36.21514,913
24436,9.13629,1.98494,39.31700,952
24437,9.48202,2.04903,38.65908,958
24442,9.42053,2.14751,38.82626,1016
24443,9.21030,2.14688,37.83211,989
24444,9.26290,2.07080,36.67251,924
24445,9.23556,1.97491,6.35134,154
