run,mean,std_dev,amplitude,nevents
23861,9.20638,2.21525,129.61305,3489
23862,9.01512,2.37087,124.99401,3596
23864,9.17375,2.28625,133.99472,3705
23865,9.01598,2.25074,99.07911,2724
23866,9.01061,2.39083,42.03178,1215
23867,9.12194,2.23406,95.09820,2576
23868,9.11985,2.17357,114.50012,3028
23876,9.44406,2.32531,50.71395,1432
23878,9.13390,2.01480,2.50183,62
23879,9.24139,2.49012,1.39371,42
23880,8.47671,2.65111,1.62455,54
23881,8.83019,1.61315,1.82987,38
23882,10.08041,2.51632,2.10609,63
23883,9.45113,1.83214,2.59000,59
23884,9.79681,1.89744,2.02888,47
23885,11.44438,1.98869,0.38189,10
23886,9.07523,2.40219,1.93032,56
23887,8.76169,1.92816,2.12719,50
23888,9.15353,2.13996,1.52291,41
23889,9.59018,2.39055,1.36506,39
23890,8.31584,1.22468,1.75583,29
23892,9.59890,2.16088,6.34407,165
23893,9.37283,2.53239,5.05881,153
23894,9.18831,1.83951,6.62285,153
23895,9.41697,2.21231,5.37590,148
23896,7.67630,1.43765,1.09968,23
23897,9.08211,2.06268,5.82915,144
23898,9.23011,2.19864,6.05199,166
23899,8.40652,2.23837,5.87325,162
23900,9.12776,2.32420,8.39335,237
23901,9.37071,1.75487,0.31272,7
23902,9.06739,2.63945,2.55978,84
23903,9.24673,0.47769,0.87300,7
23904,9.28565,2.13563,78.79119,2049
23905,9.14159,2.18011,72.04678,1920
23906,9.02636,2.13648,74.99779,1966
23907,9.11675,2.01893,85.73899,2133
23908,9.14798,2.19046,21.98336,587
23942,9.28904,2.47536,16.25073,485
23943,9.24069,1.82280,6.58035,153
23944,9.31797,2.25061,72.83411,1987
23945,9.37625,2.26302,47.41457,1302
23946,9.22355,2.20113,80.26080,2145
23947,9.22577,2.10537,81.36690,2084
23948,9.12695,2.33277,61.43501,1727
23949,9.15079,2.25550,5.03967,139
23950,9.28888,2.24001,90.73732,2467
23951,9.25628,2.21657,99.73971,2684
23952,9.17691,2.22969,78.98314,2143
23953,9.24657,2.17579,80.08936,2116
23954,9.06855,2.28156,20.53788,573
23955,9.08541,2.21367,46.29861,1245
23956,9.03262,2.28443,8.34989,236
23957,9.23816,2.26430,142.32864,3914
23960,9.21511,2.24813,420.33874,11474
23961,9.19081,2.13249,102.00165,2657
23962,8.81499,2.42675,20.89217,617
23964,9.03360,2.38769,598.16640,17397
23965,9.00092,2.40652,543.48305,15923
23966,9.03412,2.40618,639.92100,18704
23967,9.10314,2.30603,333.70285,9355
23969,9.13791,2.33426,636.62859,18071
23970,9.12390,2.30844,612.92601,17194
23972,9.07168,2.26676,429.92925,11868
23973,9.03867,2.34700,135.26358,3858
23974,9.12778,2.32186,390.65143,11047
23975,9.14419,2.28325,68.00527,1893
23977,9.17040,2.21002,262.69710,7072
23979,8.88621,2.45145,188.01658,5730
23980,9.11102,2.36071,131.78695,3800
23981,9.07986,2.31834,274.40950,7736
23982,9.09919,2.33486,86.31770,2447
23983,9.11332,2.33548,361.74788,10253
23984,9.06848,2.33288,237.76760,6756
23985,9.17589,2.21037,306.33582,8231
23986,9.17602,2.19947,295.83735,7924
23987,9.16906,2.23535,258.57880,7017
23988,9.18748,2.23423,278.96883,7570
23989,9.21864,2.23767,426.22630,11583
23990,9.17298,2.26625,126.23543,3480
23991,8.84524,2.22739,35.01777,947
23992,9.08511,2.35916,376.50069,10811
23993,9.02346,2.42132,434.09226,12776
23994,9.00492,2.40891,511.54651,14992
23995,8.96150,2.41539,333.97912,9825
23996,8.98184,2.43218,232.85997,6898
23998,9.03089,2.43774,103.68354,3079
23999,9.06147,2.41991,243.37694,7131
24001,9.05920,2.35338,489.91818,13990
24002,9.05665,2.33185,512.03843,14527
24003,9.03405,2.31763,495.41044,13977
24004,8.98327,2.32084,156.22296,4390
24005,9.05680,2.31156,499.67160,14047
24006,9.02409,2.33191,441.88197,12527
24007,8.97478,2.30177,445.38382,12497
24008,8.97200,2.35545,119.33244,3435
24009,9.01472,2.32199,618.38340,17478
24010,9.02589,2.31845,556.85486,15712
24011,9.09841,2.19742,419.16125,11222
24012,9.09327,2.21473,426.30305,11468
24013,9.12080,2.21508,464.05710,12497
24014,9.04232,2.27656,431.44139,11914
