run,mean,std_dev,amplitude,nevents
23861,9.42404,3.55317,28.75442,1284
23862,9.44544,3.40602,31.65438,1389
23864,9.44526,3.44635,28.53775,1239
23865,9.71428,3.37949,17.41555,744
23866,9.11245,3.47840,11.52384,496
23867,9.10407,3.51548,22.75933,1005
23868,9.36193,3.57535,25.08630,1119
23876,9.47446,3.82462,18.43807,873
23878,9.45002,3.64122,14.32137,650
23879,8.74837,3.29425,12.02111,510
23880,9.14745,3.58549,11.01331,507
23881,8.70393,3.11544,13.02320,539
23882,8.93633,3.27929,14.52437,615
23883,9.11327,3.43861,13.73615,607
23884,9.20630,3.57531,13.78669,638
23885,8.50716,3.47290,6.34074,276
23886,8.67304,3.01201,15.61438,627
23887,9.37131,3.55457,14.89824,685
23888,8.82347,3.29987,13.23367,553
23889,9.16515,3.53555,12.23797,555
23890,9.57116,3.65337,7.32365,335
23891,8.95829,3.20830,5.60755,222
23892,9.37170,3.79664,21.49039,1036
23893,9.28813,3.77156,19.48474,927
23894,8.93200,3.47161,19.69391,906
23895,9.34818,3.55538,21.48358,987
23896,8.89471,3.44443,12.10348,525
23897,9.28218,3.89149,16.82911,832
23898,9.18858,3.79476,21.87168,1059
23899,9.24824,3.66581,22.00457,1033
23900,9.25242,3.83758,25.01507,1228
23901,8.67357,3.28281,4.73188,199
23902,9.03471,3.71373,14.76850,699
23903,10.01313,4.63146,1.80012,100
23904,8.87900,3.46435,23.43423,1039
23905,8.50177,3.41390,21.84357,973
23906,8.72055,3.38241,20.94132,912
23907,8.88794,3.50427,21.14666,950
23908,8.20623,3.12338,10.68166,412
23942,8.30019,3.15241,9.82265,395
23943,8.58167,2.83143,3.41404,128
23944,8.95133,3.57124,20.82409,949
23945,8.84445,3.49503,14.25426,650
23946,9.18169,3.62057,21.47152,997
23947,8.61044,3.41574,20.91702,942
23948,8.71928,3.25317,20.84864,888
23949,8.83818,3.57409,2.60373,112
23950,8.80398,3.22410,26.47040,1133
23951,8.71006,3.33502,28.82068,1258
23952,9.19439,3.60033,21.66401,1003
23953,8.77316,3.32003,22.44380,972
23954,8.45181,2.91589,11.43008,418
23955,8.96214,3.57487,13.81271,629
23956,8.15906,3.42846,4.11568,171
23957,10.01065,4.62840,1.39833,78
23960,9.58371,3.58399,4.94780,227
23961,8.93177,1.84445,2.81251,79
23962,9.83134,2.94887,0.81331,31
23964,10.04393,3.59877,8.10968,382
23965,9.14117,3.22855,7.69214,336
23966,9.71249,3.85070,8.40026,411
23967,9.04680,3.08491,4.46413,190
23969,9.49134,3.52310,7.29539,339
23970,10.02487,3.74725,6.77591,317
23972,10.20538,3.61897,3.96693,178
23973,9.40904,2.49125,1.68301,60
23974,9.92568,4.64297,3.34910,189
23975,7.57906,1.33653,2.67511,60
23977,9.37377,3.38879,14.42088,646
23979,9.08199,3.04371,10.89582,453
23980,9.39829,3.73165,7.19827,344
23981,9.76672,3.37041,13.01240,569
23982,8.80168,3.00345,4.80454,198
23983,9.40078,3.36702,16.66114,726
23984,9.65464,3.71141,8.70299,413
23985,9.30745,3.58971,15.62355,723
23986,9.52675,3.68926,14.99586,709
23987,9.37370,3.38424,13.43528,588
23988,8.94203,3.07064,14.67950,616
23989,9.61105,3.74384,18.54880,874
23990,9.21354,3.25139,11.82757,498
23991,8.43254,2.53744,6.61239,230
23992,9.45335,3.50350,20.75854,941
23993,9.38072,3.35293,25.05723,1099
23994,9.59475,3.78096,25.74224,1231
23995,8.86604,3.13102,19.32941,822
23996,8.96013,3.50603,17.14714,778
23998,8.84739,3.02279,12.44219,500
23999,9.66612,3.59412,11.23239,521
24001,9.29520,3.13192,21.08176,887
24002,9.38548,3.50867,20.00646,907
24003,9.46145,3.41228,19.93022,874
24004,8.84272,3.30947,12.15408,522
24005,9.52892,3.84591,12.96458,638
24006,9.87063,3.54698,13.49549,615
24007,9.99692,3.32070,14.21276,612
24008,9.37015,3.09923,3.87205,158
24009,9.74723,3.85723,18.11266,884
24010,9.28212,3.66498,16.80180,788
24011,9.60690,3.71225,17.90931,843
24012,9.10823,3.62755,16.76106,786
24013,9.76196,3.45333,18.66983,829
24014,9.36360,3.59629,17.30186,806
24015,9.07202,3.51340,13.36501,609
24016,9.14732,3.43222,6.98391,300
24019,9.90817,3.84821,21.04475,1016
24020,9.31519,3.57956,20.21365,937
24021,9.57859,3.65499,21.62141,1011
24022,9.57128,3.65284,22.39879,1035
24023,9.74182,3.39341,3.86141,164
24024,8.50394,3.12931,16.86222,705
24026,8.97613,3.47047,11.42768,513
24032,9.03614,3.32222,12.58851,559
24039,9.22118,3.04131,2.21499,92
24040,9.39465,3.19173,13.60140,572
24041,9.70547,3.41820,17.93525,797
24042,9.38598,3.49864,16.00437,729
24043,8.63388,2.99729,11.85082,475
24047,9.67258,3.74427,12.87138,613
24048,9.63739,3.30938,14.01122,609
24049,9.74390,3.85963,14.41136,705
24050,10.06436,4.07997,13.73985,698
24051,9.56311,3.60012,12.86002,588
24054,9.63077,4.24833,15.18043,794
24055,9.37082,3.61095,17.13235,802
24056,9.33304,3.58053,18.35580,858
24057,9.61510,3.47018,16.24729,721
24058,9.73125,3.83901,10.69728,515
24059,8.65233,3.07584,7.34572,289
24060,8.95797,3.35621,19.97996,886
24061,9.12336,3.15217,26.54238,1103
24062,9.44679,3.32759,23.42016,1018
24063,9.18860,3.62267,19.82077,926
24064,8.94623,3.30491,16.68168,719
24065,8.86140,3.32925,11.13900,478
24066,9.22056,3.51393,9.95915,455
24067,9.36045,3.57345,16.08754,737
24068,9.24788,3.45641,17.83605,802
24069,9.34130,3.58931,21.07642,976
24070,9.00480,3.27932,10.99463,477
24071,9.40585,3.44440,16.89996,764
24072,9.72975,3.44346,14.60582,645
24073,9.63291,3.73677,13.43813,637
24074,9.52971,3.43407,15.18994,677
24075,9.71424,3.66177,12.52705,591
24076,9.70453,3.76899,12.92611,613
24079,9.74748,3.53594,13.74721,620
24080,9.64710,3.86138,14.38133,703
24081,8.91991,3.15729,19.92794,860
24082,9.64980,3.77130,16.81066,804
24084,9.12559,3.37204,11.56035,515
24085,9.45813,3.55589,12.07964,547
24086,8.84865,3.33772,12.76302,561
24087,9.47204,3.66841,22.76703,1071
24089,8.87448,3.22575,22.40532,956
24091,9.43245,3.66051,16.27568,764
24092,9.09761,3.42410,25.98347,1167
24093,8.85074,3.39668,25.78609,1159
24094,8.98760,3.33335,24.51344,1084
24095,8.48206,3.14753,15.38483,631
24096,8.05224,2.81159,10.59492,391
24097,7.99141,2.86421,2.37264,98
24098,8.94554,3.41173,25.43999,1148
24099,8.68313,3.28631,28.07321,1215
24100,8.80540,3.29914,24.48494,1056
24101,8.70164,3.16937,28.57777,1221
24103,8.93309,3.57825,17.97538,826
24104,8.74077,3.23737,38.26350,1645
24110,8.73337,3.19976,25.57569,1077
24111,8.80373,3.31110,23.72438,1033
24112,8.98660,3.05973,28.49047,1168
24113,8.60730,3.43295,16.80724,736
24116,8.89224,3.27099,18.28646,794
24117,9.23261,3.48715,18.24863,829
24120,8.90918,3.46546,31.89831,1451
24121,9.23174,3.49792,29.11394,1315
24122,9.04474,3.44252,27.32672,1220
24123,8.87954,3.39110,25.71880,1142
24125,7.99814,2.90627,12.27851,501
24126,9.29706,3.64714,20.95972,980
24127,9.14035,3.55224,19.10864,871
24128,8.77592,3.41685,23.78119,1070
24129,9.32189,3.50858,20.41126,945
24130,9.16381,3.65573,27.76007,1298
24131,9.12316,3.36354,25.23885,1116
24132,9.05863,3.44332,18.75344,848
24133,8.94460,3.55395,25.95336,1184
24134,8.77273,3.42603,17.72834,788
24135,8.11348,2.77204,8.45723,301
24138,9.07112,3.59522,32.25327,1505
24139,9.21369,3.51722,34.89305,1593
24140,9.18213,3.52486,37.10898,1702
24141,9.25606,3.66289,33.44557,1571
24144,8.84309,3.57328,21.60141,1006
24145,9.38840,3.44904,20.97064,947
24146,9.00023,3.33879,21.15859,937
24147,9.34712,3.53931,22.79502,1030
24150,8.97409,3.20606,29.71287,1244
24151,9.06326,3.34282,27.84080,1227
24153,8.80026,3.34453,27.37273,1204
24155,8.91536,3.23657,26.82886,1152
24156,8.43994,2.96536,19.74438,754
24157,7.84210,2.79985,8.83463,311
24158,8.72867,3.30333,28.49996,1255
24159,8.38937,3.03610,29.44861,1206
24160,8.88606,3.53234,27.43398,1259
24161,8.65773,3.11434,27.91327,1177
24162,8.82510,3.18631,26.06922,1105
24163,9.10709,3.49448,24.53229,1107
24164,8.98031,3.26616,25.67100,1109
24165,8.83769,3.27488,30.53835,1325
24166,8.45489,3.09770,13.67215,542
24167,9.00413,3.51721,19.11250,882
24168,8.93920,3.26441,23.64518,1007
24169,8.66796,3.31987,22.52727,990
24170,8.90786,3.42124,20.51833,925
24171,9.07783,3.35242,15.83714,696
24172,8.68423,3.00672,20.54671,852
24173,9.03213,3.74650,17.21528,826
24174,9.22015,3.51925,21.42861,976
24175,8.84896,3.29272,20.42488,895
24176,9.03398,3.71105,20.71960,998
24177,9.13989,3.50184,19.37859,872
24178,8.99643,3.38346,21.44486,958
24179,8.76915,3.11483,28.93003,1201
24185,8.91718,3.53668,24.42557,1127
24187,8.30059,3.23956,35.01970,1464
24188,8.42410,3.48559,34.82308,1573
24189,8.30142,3.09398,32.43222,1333
24190,8.18431,3.15947,36.38580,1518
24191,8.57605,3.54492,29.74207,1350
24192,8.37658,3.05173,37.80102,1504
24193,8.37636,3.17225,31.41294,1312
24194,8.57907,3.45848,33.41508,1452
24195,8.42013,3.00259,38.05555,1516
24196,8.33147,3.30033,21.22799,889
24197,8.12946,2.89611,15.31551,559
24200,8.03233,3.25296,10.42195,451
24201,8.81660,3.28613,42.88345,1841
24203,8.56721,3.44880,60.68904,2723
24204,8.15171,3.04787,29.74739,1175
24206,8.54417,3.37939,12.62870,529
24207,8.27706,3.18968,31.82172,1324
24208,8.44634,3.25861,34.24101,1433
24210,8.18791,3.09733,18.87421,792
24211,8.32031,3.15714,18.43568,797
24213,8.16073,4.30091,85.30054,4565
24214,8.21419,4.03480,74.03742,3787
24215,8.23399,4.14994,91.86273,4799
24216,8.21271,4.18113,97.29384,5098
24217,8.02772,4.16306,92.67103,4839
24218,8.03912,3.91114,92.54087,4658
24219,7.72505,3.88316,68.81580,3330
24220,7.38227,3.62989,33.91511,1501
24222,8.01367,3.80698,70.01119,3372
24223,7.77951,3.73143,40.80781,1986
24224,8.00593,3.92175,70.13133,3473
24225,8.18347,3.79654,26.70858,1288
24226,7.96099,4.03665,73.55919,3682
24227,8.04929,3.97570,89.43702,4441
24228,7.88178,3.88278,66.54463,3303
24229,8.01470,3.82210,47.98701,2266
24230,7.49003,3.36710,31.08294,1281
24232,7.19998,4.14868,31.74844,1587
24233,7.18097,3.69998,32.15231,1452
24234,7.31609,4.19736,29.16112,1473
24236,7.87924,4.15642,72.62417,3771
24237,7.67486,4.17587,66.71214,3439
24238,7.75367,4.23777,73.73315,3890
24239,7.66034,4.03257,75.60970,3811
24240,7.80735,4.22849,78.14053,4098
24241,7.26693,3.75981,42.98982,1967
24243,7.38406,4.00682,37.90878,1922
24244,7.83115,4.35833,43.83325,2358
24245,7.69849,4.27698,43.24360,2279
24246,7.59449,4.11335,44.23921,2268
24247,7.73203,4.25350,40.23467,2121
24248,7.55088,4.41846,42.14799,2259
24250,7.93087,3.97481,90.33368,4587
24251,7.90086,4.00199,94.56734,4805
24252,8.11291,4.26144,89.92103,4777
24253,8.20937,4.14517,94.49753,4927
24254,8.15648,4.05293,97.99218,5050
24255,8.02796,3.93582,92.68140,4660
24257,7.79524,3.90974,71.23410,3501
24258,7.85558,3.90138,65.64039,3248
24259,7.83986,3.90967,66.91449,3319
24260,7.90257,3.99007,61.06666,3067
24261,7.98769,3.92677,50.86710,2548
24262,7.77973,3.75183,59.90499,2884
24263,7.53464,3.63016,51.27457,2319
24264,7.14148,3.56241,28.48037,1230
24266,7.66325,4.00282,63.63144,3147
24267,7.25714,3.73786,34.02192,1544
24268,7.09678,3.76873,31.61349,1451
24269,7.59199,3.80387,27.78842,1288
24270,7.75696,4.01075,72.80433,3651
24271,7.85435,4.03175,72.16809,3644
24273,7.62217,4.11573,81.60936,4162
24274,7.88690,4.03505,79.99835,4031
24275,7.79666,4.26752,75.21790,3968
24276,7.45730,3.69262,43.78595,1997
24277,7.73537,4.21081,47.38481,2485
24278,7.81952,4.07157,50.02095,2544
24279,7.65979,4.27785,45.88677,2424
24280,7.90470,4.23074,45.44384,2386
24281,7.85101,4.28206,48.99805,2604
24282,7.66755,3.99475,54.51161,2754
24283,7.81213,4.31935,47.49469,2544
24310,7.65625,3.85256,47.42366,2247
24311,7.56548,3.84274,49.10694,2338
24312,7.76501,3.86838,54.15509,2575
24313,7.70878,3.77334,69.52415,3269
24314,7.94453,4.01345,42.62512,2121
24315,7.68245,4.00497,37.64313,1862
24316,7.60598,3.65385,47.43739,2125
24317,7.60271,4.03947,45.87298,2270
24318,7.27320,2.88985,9.72897,353
24322,7.89992,3.85897,52.51884,2542
24323,7.69102,3.86854,35.51824,1711
24324,7.76638,3.95498,50.89280,2489
24325,7.54115,3.56244,55.32131,2484
24326,7.72483,3.73822,47.78956,2240
24327,7.80023,3.83528,47.50918,2307
24328,7.53629,3.76565,50.45958,2411
24329,7.80853,3.76097,49.11530,2324
24330,7.60823,3.99841,39.02829,1949
24331,7.45316,3.48298,22.76626,983
24332,7.11469,3.43107,17.06485,735
24335,7.68965,4.02828,4.32292,213
24336,7.66324,4.09895,33.43196,1694
24337,7.70528,3.90457,40.26798,1981
24338,7.73034,3.88745,44.29333,2137
24339,7.65577,3.94685,39.66847,1958
24342,7.50857,4.05154,52.53055,2652
24343,7.66481,3.74850,50.59661,2389
24344,7.68616,4.01282,51.09170,2535
24345,7.69109,3.96064,53.18816,2648
24346,7.69006,3.90059,54.60230,2657
24347,7.63758,3.91884,53.22893,2619
24348,7.66602,4.09582,49.24692,2508
24349,7.48442,3.74091,19.08743,868
24352,7.59755,4.19844,33.53850,1736
24353,7.75436,4.24139,35.64809,1835
24354,7.56341,3.76356,34.85759,1674
24355,7.65239,4.02407,35.94390,1774
24356,7.45289,4.04600,31.53479,1588
24357,7.53061,4.21855,27.62951,1451
24359,7.65427,4.13846,28.17509,1424
24360,7.71425,4.12607,32.04397,1637
24363,7.32906,3.83443,21.14436,980
24364,7.42629,3.65873,23.84931,1070
24365,7.05890,3.69429,26.09478,1171
24366,7.10965,3.61972,26.23855,1170
24367,7.19036,3.53073,24.09176,1043
24368,7.33501,3.67181,26.47101,1183
24369,7.53410,3.39151,26.52972,1107
24370,7.27903,3.70600,24.99335,1121
24371,7.26042,3.72763,27.05583,1213
24372,7.20257,3.60700,21.47321,935
24376,7.59063,3.92729,29.74756,1454
24377,7.68099,3.84213,45.51428,2177
24378,7.82829,3.88554,38.58896,1856
24379,7.54791,3.55623,48.54004,2198
24380,7.60386,3.87641,46.57980,2246
24381,7.67154,3.69955,49.23562,2299
24382,7.78557,3.89964,49.84944,2386
24383,7.76113,3.63518,50.57521,2341
24384,7.36402,3.42630,25.34419,1074
24385,8.04661,3.96561,18.69877,930
24386,7.58700,3.89677,60.73198,2954
24387,7.72529,3.70199,54.06682,2547
24388,7.85410,3.99002,57.82631,2872
24389,7.79282,3.65664,47.35898,2191
24390,7.63365,3.51323,50.73604,2257
24396,7.96947,3.85092,52.71574,2550
24397,7.88227,4.06651,50.14155,2532
24398,7.87961,3.80359,34.04388,1616
24399,7.04065,2.88572,18.79909,686
24400,7.58480,4.00992,28.48140,1442
24401,7.58851,4.27424,28.90717,1543
24402,7.84100,4.18299,39.82436,2060
24404,7.92592,4.14247,48.65621,2499
24405,7.29486,3.72548,23.39801,1066
24406,7.53584,4.43115,35.77284,1920
24407,7.60788,4.30085,35.56360,1888
24408,7.66517,4.25203,37.03874,1964
24409,7.89667,4.28683,34.47090,1823
24410,7.77171,4.18368,34.92011,1828
24411,7.36946,3.69969,20.47123,919
24412,7.27203,3.60627,25.06679,1115
24413,7.10737,3.68093,24.06831,1076
24414,7.55950,3.64562,27.98447,1260
24415,7.33372,3.54176,6.61253,301
24416,8.18684,4.00041,41.04485,2010
24417,7.95088,3.91394,50.99516,2491
24418,7.85250,4.04626,49.74937,2495
24419,7.89558,3.91032,46.20375,2268
24421,8.01353,3.47883,7.63927,332
24422,7.72781,3.55245,32.00017,1460
24423,7.38706,3.24610,24.69089,1016
24424,7.90814,3.89696,50.69151,2465
24425,8.00749,3.88597,51.63377,2558
24426,7.55000,3.58423,34.87667,1565
24427,7.54734,3.31748,17.97737,727
24428,7.55263,3.65046,25.86251,1198
24429,7.89288,3.66930,27.34459,1246
24430,7.36558,3.39317,27.20636,1183
24431,7.54698,3.48661,27.83944,1236
24432,7.82945,3.79418,23.75254,1139
24433,7.63386,3.63352,31.38613,1424
24434,7.56746,3.68472,29.10062,1337
24435,7.72768,3.39808,30.02689,1305
24436,7.65208,3.41251,30.65815,1317
24437,7.49278,3.58675,28.20032,1295
24442,7.76389,3.32242,33.12347,1413
24443,7.82700,3.84958,31.86708,1514
24444,7.67523,3.45144,28.37799,1235
24445,7.66650,3.08118,6.01319,230
24446,7.53395,3.32656,15.98524,688
24447,7.46522,3.61575,25.49532,1158
24448,7.65651,3.62412,10.89299,493
24449,7.74290,3.68050,28.82815,1327
24450,7.80416,3.95699,27.70459,1361
24451,7.78982,3.49736,29.50689,1286
24452,7.60773,3.61416,30.47713,1393
24453,7.74378,3.72516,29.65822,1359
24454,7.60493,2.86564,17.62285,645
24460,7.53958,3.73565,21.54113,1004
24461,7.65856,3.50649,6.50061,299
24463,7.63909,3.65930,16.83004,773
24464,8.01062,3.77027,22.01692,1042
24469,7.73362,3.39187,27.31088,1189
24470,7.85810,3.73949,23.64879,1107
24471,7.69388,3.46178,28.03636,1207
24472,7.90858,3.92303,14.96180,720
24473,7.39048,2.89147,8.99239,346
24474,7.34586,3.34608,31.79529,1343
24475,7.66961,3.50572,28.35939,1240
24476,7.44560,3.50027,26.95164,1179
24477,7.53261,3.32248,26.57407,1142
24478,7.94350,3.87800,28.11476,1332
24479,7.67640,3.52367,24.61695,1081
24480,7.47044,3.05833,13.06950,495
24485,7.51717,3.57213,14.02127,625
24486,7.89818,3.60109,18.01617,804
24487,7.92717,3.65209,17.35907,791
24488,7.66944,3.63378,15.71055,722
24489,7.66757,3.44715,14.92443,636
24490,7.38252,3.39344,18.02364,774
