run,mean,std_dev,amplitude,nevents
23861,9.31053,3.73015,19.26602,907
23862,9.62931,3.67237,20.69406,964
23864,9.54151,3.44908,19.07001,837
23865,9.70635,3.53511,11.27411,501
23866,8.89225,3.26330,8.71276,364
23867,9.22750,3.58992,15.70507,717
23868,9.36425,3.65069,17.48960,810
23876,9.39630,3.74292,12.61957,591
23878,9.55653,3.58173,10.85103,484
23879,8.60774,3.16800,9.55873,401
23880,8.91102,3.48671,8.28241,376
23881,8.53957,3.01690,10.20867,417
23882,8.90361,3.22478,10.68916,449
23883,9.33087,3.48109,10.85165,482
23884,9.26195,3.49274,11.01210,501
23885,8.34755,3.48798,5.14748,231
23886,8.65444,2.97390,11.92706,472
23887,9.43595,3.66655,11.33308,531
23888,8.62796,3.21592,10.35555,424
23889,8.98978,3.34032,9.89414,433
23890,9.72836,3.78830,5.32267,253
23891,8.92718,3.27739,4.28719,179
23892,9.21399,3.60933,17.57326,816
23893,9.08105,3.69057,15.20574,716
23894,8.99685,3.56227,15.27092,714
23895,9.26538,3.52957,16.43360,756
23896,8.87497,3.34947,9.69398,422
23897,9.27763,3.87273,12.88624,638
23898,9.40409,3.97241,16.18299,810
23899,9.36637,3.71583,16.87802,798
23900,9.16005,3.84801,19.43066,957
23901,8.89901,3.14865,3.69037,154
23902,8.94764,3.73233,11.00497,527
23903,10.12886,5.01077,1.30322,77
23904,8.94441,3.40530,16.49489,713
23905,8.25441,3.49861,14.48187,665
23906,8.70230,3.28671,14.06950,597
23907,8.82529,3.62796,13.93814,641
23908,8.17538,3.10059,7.33990,296
23942,8.49560,3.34877,6.61762,283
23943,8.69156,2.84861,2.32515,89
23944,9.15958,3.58454,13.72176,628
23945,8.76748,3.27637,8.93408,391
23946,8.98497,3.55386,14.19807,655
23947,8.71169,3.31104,14.34756,628
23948,8.83588,3.31962,13.64069,595
23949,9.00341,3.88385,1.66231,77
23950,8.60312,2.93984,19.34125,784
23951,8.90995,3.40702,18.81985,830
23952,9.00738,3.52729,14.95251,686
23953,8.67418,3.31880,15.32976,658
23954,8.34371,2.88999,7.95107,300
23955,9.25186,3.63832,9.02386,416
23956,7.91402,3.81645,2.63407,126
23957,8.08306,1.86869,1.64157,55
23960,9.13192,3.03935,3.59517,150
23961,8.44643,1.72847,1.96728,52
23962,10.02961,2.49013,0.63041,22
23964,10.21273,3.65066,5.31410,252
23965,8.79999,2.76105,5.81101,222
23966,10.17016,4.01129,5.36042,270
23967,9.34623,3.28209,2.68495,122
23969,9.75693,3.99049,4.54564,230
23970,10.12534,3.78663,4.58139,215
23972,10.79059,3.29978,2.82699,117
23973,9.64367,1.62178,1.64969,45
23974,9.01163,4.40892,2.37591,132
23975,7.68311,-1.16122,2.03991,38
23977,9.05224,3.26518,10.20432,450
23979,9.36059,3.21682,6.95829,298
23980,9.38738,3.82924,4.65322,226
23981,9.52727,3.22561,8.91149,379
23982,8.52162,2.60019,3.69829,138
23983,9.13960,3.22307,11.63316,491
23984,10.14519,4.12172,5.57193,284
23985,9.33370,3.62417,10.99666,514
23986,9.17190,3.38353,11.34889,510
23987,9.45399,3.28218,9.19325,389
23988,8.62598,2.64201,10.93548,420
23989,9.51835,3.63671,13.04687,602
23990,8.82274,3.17789,7.87457,334
23991,8.35609,2.42808,4.68721,156
23992,9.69696,3.66619,13.59920,636
23993,9.34674,3.39449,17.31842,767
23994,9.59313,3.82071,16.94568,810
23995,8.70678,2.90337,13.96606,565
23996,8.97032,3.41948,11.83260,523
23998,9.02643,2.94455,8.92472,358
23999,9.79590,3.65197,7.98227,372
24001,9.10881,3.19213,13.96144,607
24002,9.68446,3.79608,12.41611,596
24003,9.17949,3.32846,13.61251,592
24004,8.85084,3.11912,8.80851,361
24005,9.34361,3.65774,8.92588,424
24006,10.13419,3.70471,9.08275,424
24007,9.88047,3.21159,10.26426,434
24008,9.70822,3.18726,2.62973,107
24009,9.87581,4.04447,12.06279,608
24010,9.33583,3.75864,11.24957,537
24011,9.50890,3.50790,12.58614,570
24012,8.96380,3.45444,11.89538,539
24013,9.72868,3.66918,12.21009,574
24014,9.33005,3.39421,12.27997,545
24015,9.00349,3.44103,9.37740,422
24016,9.31545,3.72058,4.67045,219
24019,9.70219,3.80687,14.19801,677
24020,9.11803,3.41972,14.44918,649
24021,9.53667,3.47594,15.58900,697
24022,9.46743,3.69120,15.16943,709
24023,9.92288,3.69048,2.67500,120
24024,8.63026,3.25248,11.23642,482
24026,9.04751,3.69861,7.46601,355
24032,8.92964,3.32554,8.45257,380
24039,9.11292,3.05628,1.70053,70
24040,9.17913,2.95912,9.81331,391
24041,9.76421,3.49344,12.72548,575
24042,9.49548,3.50365,10.80573,489
24043,8.56012,3.08952,8.02688,330
24047,9.80521,3.98129,8.64285,431
24048,9.72373,3.63103,8.98718,415
24049,9.37791,3.59037,10.18816,479
24050,9.90960,3.87663,9.99667,491
24051,9.69117,3.46865,9.38352,414
24054,9.81865,4.51358,10.18570,557
24055,9.46152,3.74016,11.96622,573
24056,9.62571,3.70270,12.58020,596
24057,9.67434,3.50024,11.09447,497
24058,9.41172,3.71752,7.96792,375
24059,8.67976,3.23678,4.86032,207
24060,9.02519,3.61649,12.99745,612
24061,9.26869,3.16838,18.75072,770
24062,9.45826,3.43970,16.11263,720
24063,9.21973,3.73784,13.24937,635
24064,8.71863,2.95116,12.82446,507
24065,8.81347,3.19044,8.33618,349
24066,9.61200,3.64626,6.71402,314
24067,9.48478,3.51097,11.14461,503
24068,9.06756,3.29083,13.06258,566
24069,9.32558,3.54344,14.37467,668
24070,9.04061,3.18664,7.50402,319
24071,9.29344,3.33278,12.07277,531
24072,9.81409,3.65609,9.58766,443
24073,9.57073,3.54398,9.67151,443
24074,9.59029,3.30409,11.20268,483
24075,9.57658,3.45023,8.60224,392
24076,9.60083,3.65918,9.24550,429
24079,9.64293,3.65346,8.98941,417
24080,9.47474,3.76324,10.03271,481
24081,8.96398,3.24175,13.72613,603
24082,9.59821,3.94742,11.25235,562
24084,9.08019,3.32265,8.50331,375
24085,9.42829,3.56787,8.22092,370
24086,8.87083,3.32237,8.73737,385
24087,9.44061,3.57683,15.92634,740
24089,9.06257,3.31859,15.40985,671
24091,9.42107,3.73582,10.88344,520
24092,9.24557,3.57489,17.40392,807
24093,9.01642,3.63272,17.23505,815
24094,8.97042,3.32459,17.33248,763
24095,8.59302,3.06332,10.96781,442
24096,8.26011,3.05901,7.18128,290
24097,6.77196,1.80953,2.26942,69
24098,8.74410,3.28103,18.54252,815
24099,8.64106,3.30547,20.13255,883
24100,8.77786,3.44067,15.97233,712
24101,8.56113,3.10088,20.64584,865
24103,8.84055,3.51559,13.14113,592
24104,8.86860,3.41565,25.54131,1134
24110,8.76967,3.22049,17.28974,729
24111,8.73521,3.25406,16.78442,727
24112,8.78979,2.96269,20.54896,831
24113,8.46227,3.48422,11.55016,519
24116,8.70246,3.23792,12.76542,558
24117,9.26017,3.45142,13.06672,590
24120,9.03265,3.63717,21.34957,1005
24121,9.34347,3.60349,19.81454,912
24122,9.13381,3.51652,18.40354,833
24123,8.86613,3.38996,18.65004,816
24125,8.01777,2.87081,8.86446,358
24126,9.09187,3.64169,14.07890,667
24127,9.09095,3.39738,13.34319,586
24128,8.53392,3.16896,17.39656,744
24129,9.01404,3.28495,15.07252,659
24130,9.05211,3.76709,18.91990,911
24131,9.02597,3.32752,17.75310,780
24132,8.92907,3.39404,13.39637,604
24133,9.01893,3.64810,17.44666,819
24134,8.61408,3.33704,13.52827,586
24135,7.80474,2.75675,5.83040,216
24138,8.98818,3.58129,22.67019,1051
24139,9.22199,3.60109,23.56215,1097
24140,9.29473,3.75250,24.49431,1175
24141,9.24452,3.64379,23.46639,1098
24144,8.93971,3.64232,14.70773,695
24145,9.30386,3.42187,14.59693,654
24146,9.03383,3.28263,14.78284,637
24147,9.53719,3.62679,15.88673,727
24150,8.98652,3.35337,20.37238,882
24151,8.81536,3.15267,20.16084,848
24153,8.97897,3.48954,18.27599,826
24155,9.03832,3.29592,19.60515,845
24156,8.28796,2.87920,14.67841,576
24157,7.86516,2.70151,6.44989,232
24158,8.66088,3.16052,19.73972,840
24159,8.23312,3.04569,20.52511,844
24160,8.71371,3.31694,19.40607,856
24161,8.52311,2.86656,20.54934,818
24162,8.78944,3.11387,18.55520,776
24163,9.17002,3.55812,16.76198,763
24164,9.04106,3.39459,17.48744,780
24165,8.64421,3.13895,21.45575,900
24166,8.44681,2.99844,9.77635,392
24167,8.78020,3.35631,13.78260,613
24168,8.79541,3.27483,16.17726,690
24169,8.37087,3.03443,16.55286,683
24170,8.89169,3.47070,13.82704,626
24171,8.92753,3.31747,11.50649,501
24172,8.77812,2.97814,15.09225,615
24173,8.97291,3.51892,12.62516,574
24174,9.16197,3.44615,15.31176,688
24175,8.68972,3.17780,14.62978,629
24176,8.75482,3.67313,14.80838,706
24177,8.98554,3.67246,12.93981,610
24178,9.01903,3.43135,15.10593,687
24179,8.74603,3.15570,21.35311,891
24185,8.77290,3.52228,17.20994,794
24187,8.35068,3.47614,23.89856,1082
24188,8.42198,3.49804,24.61480,1119
24189,8.34531,3.13674,23.58999,980
24190,8.29735,3.27921,26.00226,1123
24191,8.61914,3.50738,21.65430,986
24192,8.27827,3.06508,26.98656,1096
24193,8.43617,3.28763,22.02854,955
24194,8.49285,3.52725,23.88228,1072
24195,8.54830,3.08571,27.16326,1127
24196,8.12830,3.15195,15.85202,659
24197,8.23674,3.01421,10.77466,425
24200,7.71269,2.96674,7.74769,324
24201,8.71750,3.28657,30.74751,1316
24203,8.46855,3.36008,44.95511,1973
24204,8.13828,3.11205,21.35920,891
24206,8.49957,3.52832,9.44559,424
24207,8.31727,3.23396,23.20773,1003
24208,8.42818,3.36667,24.16906,1051
24210,8.09787,3.15256,13.26845,562
24211,8.22970,3.06394,13.67552,580
24213,7.91955,4.43303,59.75746,3268
24214,8.06582,4.06291,51.88928,2669
24215,8.11324,4.25517,65.48613,3485
24216,8.04469,4.45099,67.17205,3677
24217,7.91160,4.22282,66.29652,3496
24218,7.92464,4.02789,65.51362,3358
24219,7.66405,4.08661,48.18026,2465
24220,7.26141,3.81988,23.56490,1136
