run,mean,std_dev,amplitude,nevents
23861,10.62324,3.48360,67.55400,2963
23862,10.58198,3.50676,68.53881,3039
23864,10.52881,3.50649,69.42831,3105
23865,10.39972,3.34791,53.42250,2315
23866,10.06990,3.30097,24.84303,1065
23867,10.46597,3.47035,49.84881,2184
23868,10.61072,3.47949,58.43180,2582
23876,10.74077,3.62731,26.05415,1183
23878,7.20014,2.59909,1.33502,52
23879,8.84817,2.73750,1.12486,39
23880,7.83496,2.31808,1.21891,49
23881,8.91652,4.75355,0.64940,36
23882,8.90829,3.09399,1.42437,58
23883,9.12110,3.75060,1.17324,56
23884,7.80195,4.08133,0.86061,43
23885,9.78746,8.42341,0.12380,10
23886,10.30121,3.68601,1.08782,48
23887,8.87883,4.42477,0.80548,43
23888,9.92140,4.09636,0.73136,36
23889,9.48138,2.84620,1.04450,39
23890,9.94602,3.58861,0.61700,29
23892,9.07079,3.93613,2.82474,141
23893,8.54954,2.66057,3.67554,133
23894,9.72560,3.72672,2.99055,144
23895,8.21518,4.25880,2.64754,141
23896,10.64762,3.11947,0.52545,21
23897,9.90943,4.40042,2.33610,124
23898,9.13567,3.58370,3.15861,145
23899,9.16408,3.57280,3.22954,150
23900,8.93560,3.30749,5.14831,218
23901,8.35869,0.28181,0.62099,5
23902,11.05609,3.56286,1.66894,74
23903,9.72209,0.89758,0.34588,6
23904,10.22537,3.59794,36.85267,1680
23905,10.40972,3.57468,34.78351,1586
23906,10.17687,3.30464,37.53118,1622
23907,10.40102,3.77461,37.32647,1774
23908,9.95388,3.70706,11.39859,530
23942,9.97905,3.51074,9.92319,444
23943,9.70188,4.10390,2.60868,134
23944,10.40282,3.71199,34.91148,1639
23945,10.47350,3.61378,24.03944,1093
23946,10.34854,3.46848,40.16926,1778
23947,10.22192,3.76251,36.21221,1734
23948,10.14977,3.45244,32.76648,1469
23949,9.15069,2.92654,3.29978,126
23950,10.57814,3.84833,42.86534,2054
23951,10.55296,3.82117,47.07897,2237
