run,mean,std_dev,amplitude,nevents
23861,12.47701,5.28275,38.38890,1284
23862,13.35322,5.49910,39.76841,1389
23864,12.65782,4.99785,36.88855,1239
23865,12.92894,5.53058,21.63434,744
23866,12.36287,5.22119,14.99398,496
23867,12.94264,5.45042,29.37269,1005
23868,12.21652,5.15536,34.32383,1119
23876,-0.83008,7.83690,29.36406,642
23878,-53.59928,24.36557,243.61443,509
23879,-21.15352,15.97101,40.58588,373
23880,-28.89950,19.75165,45.05327,392
23881,-2.31649,9.50017,17.64343,424
23882,-16.84412,14.83017,41.27470,483
23883,-1.87317,9.16298,18.60960,459
23884,-39.34491,20.60787,140.14168,502
23885,1.70328,5.70081,9.41113,219
23886,-10.41833,13.38456,26.68252,486
23887,-8.00310,11.82294,29.60252,541
23888,-6.59628,12.19217,18.77829,419
23889,-7.56048,11.57811,23.75587,443
23891,-4.75302,10.27150,7.35588,149
23892,-24.51781,19.73605,69.68660,902
23895,-37.41040,21.63837,139.18931,781
23896,-3.79902,9.98423,17.01456,374
23897,-51.09066,23.90782,288.48317,694
23900,-24.98650,18.56024,97.95219,1008
23901,-4.25436,10.31288,6.61608,142
23902,-54.59257,22.21471,568.69389,551
23904,-9.32667,12.60250,45.42543,807
23905,-1.81554,8.52337,34.21124,745
23906,-4.31522,9.99072,34.25134,704
23907,-20.23969,14.20218,112.43371,751
23908,1.68541,5.74307,13.54025,292
23942,1.89209,5.83483,11.99047,265
23943,1.43583,4.15774,5.46504,91
23944,-3.41078,9.65501,34.62320,749
23945,0.67287,7.02261,21.29008,510
23946,-2.77126,9.09666,34.56657,749
23947,-8.90524,10.80261,54.01295,735
23948,-6.44437,9.43110,45.22298,647
23949,2.75342,3.67352,4.53437,80
23950,-16.40893,14.12543,82.68113,878
23951,-6.43004,10.70997,55.02285,983
23952,-5.78425,9.67453,48.50847,799
23953,-5.39219,10.66284,37.10344,747
23954,3.06027,4.36498,14.05206,289
23955,0.28228,7.04349,20.43595,456
23956,0.77532,5.45801,6.13280,117
23957,21.43543,7.86230,1.55978,75
23960,21.34550,8.87907,3.82282,205
23961,19.10067,9.29072,1.61266,90
23962,14.58862,6.55662,0.84162,33
23964,26.05275,8.83206,6.10686,310
23965,26.03560,8.46789,5.60821,275
23966,23.35610,7.64415,7.44184,345
23967,23.58006,7.66048,3.94571,184
23969,24.93056,8.66526,5.61550,287
23970,23.69841,7.44127,6.19704,283
23972,22.52652,7.63195,3.97283,188
23973,20.22769,7.80974,1.13372,57
23974,21.99346,8.11500,3.60988,179
23975,20.00515,5.83681,1.83777,67
23977,22.08295,8.32002,10.44667,526
23979,22.78658,9.29339,6.62511,365
23980,25.05952,8.87890,5.13852,266
23981,23.84721,9.43689,8.75670,480
23982,21.50643,7.58972,3.62909,169
23983,23.15931,8.94523,11.06349,589
23984,21.55264,7.90644,7.67541,375
23985,22.44626,8.79704,11.50772,606
23986,21.72281,7.59112,12.13297,576
23987,22.01420,8.66316,9.69810,510
23988,22.42243,8.06953,10.71966,525
23989,25.98285,10.44119,11.46406,658
