run,mean,std_dev,amplitude,nevents
23861,12.27788,5.42455,26.27812,962
23862,13.13193,5.53975,26.69322,1001
23864,12.91117,5.42915,23.40985,875
23865,13.57896,6.00643,13.62460,534
23866,12.41202,4.99684,11.14733,382
23867,13.11375,5.89266,19.26307,744
23868,12.16849,4.88941,25.28267,845
23876,-8.32751,11.44940,29.14818,484
23880,-160.10171,41.60213,19728.81763,299
23881,-10.47979,13.81223,18.13780,357
23883,-36.33724,20.79621,74.40179,394
23885,-0.29412,7.43990,7.70355,186
23886,-43.56670,22.85503,97.63192,394
23887,-36.17214,21.05541,81.81846,462
23888,-18.36105,17.01162,22.53373,343
23889,-20.29499,16.20431,34.64735,383
23891,-2.44208,10.04885,4.81162,127
23896,-48.58401,23.10332,123.39613,314
23901,-14.06255,15.24095,7.65713,130
23904,-134.92508,36.11824,28763.20828,601
23905,-8.67932,11.48161,35.01065,578
23906,-29.72431,18.65952,80.53377,528
23908,0.61153,6.80995,9.64795,225
23942,1.89781,6.67345,8.15433,212
23943,-1.58324,7.34821,3.45310,65
23944,-4.60277,11.11132,22.52002,552
23945,-20.24500,15.74784,35.62239,356
23946,-9.44180,12.87051,27.55142,529
23948,-46.87618,20.27448,361.99069,473
23949,2.98836,3.65518,2.97457,58
23951,-35.48043,19.33625,182.45092,726
23952,-12.92924,12.78800,46.35005,596
23953,-14.74269,14.32641,39.84913,554
23954,2.41763,5.42341,8.83069,213
23955,-7.08792,11.45944,17.30023,336
23956,-0.21292,6.59253,4.39500,94
23957,21.77999,7.64198,1.09654,51
23960,22.82416,9.28088,2.50790,137
23961,17.65905,7.57010,1.29222,64
23962,15.31511,6.44763,0.69305,27
23964,25.52699,8.26116,4.28191,208
23965,25.40782,8.52401,3.62388,179
23966,23.76776,7.54865,5.07563,232
23967,23.30431,8.01252,2.51054,122
23969,24.48428,7.89738,4.01583,192
23970,23.40985,6.47398,4.63170,191
23972,23.05249,7.62753,2.54086,121
23973,20.90535,6.27534,0.97905,42
23974,21.13659,8.15446,2.40706,120
23975,21.05974,6.07981,1.15507,44
23977,21.78031,7.95822,7.54438,366
23979,22.43487,8.80252,4.79834,254
23980,24.86256,7.80694,3.74817,177
23981,24.20256,10.24696,5.40170,314
23982,22.69868,7.91155,2.40617,115
23983,22.50766,9.05694,7.33212,396
23984,21.01314,7.92579,5.22918,256
23985,22.44525,8.97098,8.07498,431
23986,22.46910,8.20482,8.11154,406
23987,22.29833,8.74115,6.54756,346
23988,22.40710,8.18877,7.27105,359
23989,25.60312,10.60359,7.66650,448
23990,18.94356,7.34679,6.54128,312
23991,17.75826,5.95112,4.04415,162
23992,25.24453,10.06025,8.70294,492
23993,24.45367,9.29244,11.25205,606
23994,23.42945,9.06111,11.70335,624
23995,24.44067,9.35261,8.09075,440
23996,22.51563,8.35397,9.52014,481
23998,19.41421,6.35618,8.24823,334
23999,22.59751,9.82237,5.77985,331
24001,23.77347,8.65761,9.12251,467
24002,25.30860,9.30986,8.64953,461
24003,25.71542,10.10811,8.66096,488
24004,20.05242,7.09799,7.79971,346
24005,23.66563,8.86953,6.86263,361
24006,22.63143,8.46013,7.07245,361
24007,22.76521,8.87142,7.27359,389
24008,18.68876,4.82997,2.52625,99
24009,23.49313,8.37546,10.15651,512
24010,22.36598,8.48294,8.73506,448
24011,24.83174,9.70293,7.80499,432
24012,23.29203,9.16955,8.06340,438
24013,24.17078,9.19095,8.36226,448
24014,23.57847,9.44772,7.91226,436
24015,20.19909,7.96096,8.23858,408
24016,17.01584,6.14762,5.47348,216
24019,23.98919,8.43139,10.69058,540
24020,24.19913,9.30563,9.49518,514
24021,24.41994,10.13517,9.54278,550
24022,23.68463,9.13150,10.34721,556
24023,22.34275,8.53427,2.03447,106
24024,20.95305,8.75023,8.60319,460
24026,18.05801,6.07260,8.27038,342
24032,21.40437,9.16139,6.41807,352
24039,24.18273,12.40694,0.93355,62
24040,23.32023,9.10230,6.06003,328
24041,22.74648,8.91467,8.40833,448
24042,24.59549,8.10954,7.92952,383
24043,18.43295,6.70470,7.47654,324
24047,22.55053,8.13665,7.93449,392
24048,22.80778,9.83088,6.43639,369
24049,22.02307,8.64145,7.57595,398
24050,21.96291,7.86727,9.05129,442
24051,23.93171,10.15830,6.25752,364
24054,24.95809,10.64971,8.16235,483
24055,23.36352,9.90672,8.46546,486
24056,25.35581,10.17948,8.73071,496
24057,24.03720,10.18552,7.15194,415
24058,19.44307,7.98783,6.83400,343
24059,16.93886,5.66031,5.64752,211
24060,23.73676,8.72740,9.44475,492
24061,24.38022,9.51805,10.69226,587
24062,23.40021,8.95106,11.03555,584
24063,24.00581,9.42453,9.52807,521
24064,20.78909,7.56071,10.14774,477
24065,19.65575,6.84816,7.63064,335
24066,19.68899,7.45385,6.02911,284
24067,23.72661,8.77320,7.57956,395
24068,22.03685,8.73820,8.57646,458
24069,23.19580,9.13767,10.12954,550
24070,18.47880,6.44342,7.93585,329
24071,21.37250,8.92158,8.65168,466
24072,21.66836,7.77253,8.67013,423
24073,20.27599,6.90239,9.56500,432
24074,20.83584,8.03831,8.69004,435
24075,20.32241,8.24226,6.94367,361
24076,20.49233,7.46201,8.03579,376
24079,21.88951,8.51771,7.31530,381
24080,22.50259,9.10753,8.14643,444
24081,23.39299,9.49489,9.30732,518
24082,22.21491,9.00650,8.53877,462
24084,20.59703,8.26626,6.91125,353
24085,19.91700,7.90702,7.24936,362
24086,21.30205,8.05237,7.11171,358
24087,25.07628,9.49415,10.16038,551
24089,14.11645,6.10504,16.38640,686
24091,13.74148,5.85955,13.18210,548
24092,14.09861,5.80105,19.96061,817
24093,15.49319,7.35700,16.99800,839
24094,14.52133,6.35031,17.66676,782
24095,12.22655,4.72061,13.51278,465
24096,11.18476,4.72067,9.36392,299
24097,12.78853,3.35084,2.37569,75
24098,13.72104,5.69972,20.14084,814
24099,14.43182,6.04608,21.67714,924
24100,14.10362,6.01272,17.88725,744
24101,13.74895,6.43055,19.75733,871
24103,12.32464,5.11557,16.81910,625
24104,13.56623,5.68719,27.78993,1145
24110,13.51954,5.92660,18.09681,759
24111,13.90751,5.63432,18.41128,723
24112,14.27179,5.80076,20.43144,843
24113,12.86196,4.87343,16.05281,538
24116,12.74741,5.28700,15.57539,574
24117,13.05244,5.83788,14.89177,615
24120,14.04807,6.14137,23.93851,1022
24121,14.30839,6.10992,21.94297,937
24122,13.53864,5.95910,20.52630,861
24123,12.86617,4.61996,23.15875,829
24125,12.01127,5.54099,10.20034,382
24126,13.59015,5.33194,17.32082,673
24127,13.71918,5.39326,15.68655,614
24128,14.12272,6.38537,17.76814,768
24129,13.31374,5.38848,17.31483,690
24130,13.59066,5.51912,22.57383,928
24131,14.45228,6.58873,18.03711,820
24132,13.60716,6.41758,13.87758,624
24133,13.45111,5.41414,21.68677,856
24134,11.96319,4.48708,18.64022,613
24135,11.55070,4.39032,7.82521,223
24138,14.87891,6.70733,22.64723,1066
24139,15.28888,6.73619,23.76891,1093
24140,14.88625,6.85920,24.75248,1181
24141,15.06154,6.68792,23.98796,1107
24144,13.97185,6.07441,17.37416,748
24145,12.86638,4.75520,18.62698,688
24146,14.42584,6.46523,15.20649,670
24147,13.04012,5.20107,18.43683,734
24150,13.89090,5.99587,21.99155,925
24151,14.02635,6.09231,20.48877,864
24153,13.79820,5.93008,20.17844,837
24155,13.69304,6.47791,18.88683,849
24156,12.88291,5.15456,16.07111,582
