run,mean,std_dev,amplitude,nevents
23861,26.97398,8.29374,60.22582,2871
23862,27.41321,8.14081,60.61159,2828
23864,26.73900,7.99610,65.90705,3069
23865,26.51417,8.44682,47.95943,2334
23866,25.47983,8.19705,22.00876,1058
23867,26.49818,8.10264,45.44686,2145
23868,26.25416,8.07794,53.49342,2527
23876,25.95595,9.78549,21.97530,1225
23884,-14.46509,14.91668,2.32965,37
23886,-25.74623,18.61291,3.87260,38
23888,-4.91696,18.25751,0.71208,31
23890,0.99348,0.46984,2.70219,19
23896,6.15558,2.96919,0.78842,19
23901,4.48900,0.10239,6.67274,4
23902,-69.29790,35.67255,13.47941,74
23904,25.23096,10.61672,27.46624,1639
23905,26.25193,11.82655,24.84293,1581
23906,25.52355,11.17144,25.65623,1580
23907,25.56426,11.05422,27.95313,1707
23908,24.59846,10.96340,8.40017,523
23942,23.75262,9.44133,7.80195,435
23943,23.06467,11.71067,2.18231,143
23944,25.35177,10.80493,26.88019,1624
23945,24.73249,10.35797,17.93861,1068
23946,24.79871,11.49832,27.60224,1762
23947,24.97900,10.85524,28.08423,1715
23948,24.49593,10.85436,24.08915,1495
23949,25.49508,21.61405,1.49989,128
23950,25.72636,11.41739,32.78657,2049
23951,25.08029,11.16111,35.44667,2202
23952,25.68534,10.66078,29.51120,1768
23953,24.86808,11.20014,28.41388,1782
23954,24.50603,8.44615,10.27373,524
23955,23.89777,11.55131,16.48651,1078
23956,24.53480,9.62729,3.90113,223
23957,30.81400,8.01589,54.17055,2307
23960,30.90033,7.91299,157.46436,6622
23961,28.05397,7.95296,43.83089,1985
23962,25.81529,7.37205,12.22773,539
23964,32.06652,7.77041,218.14686,8713
23965,32.15166,7.80666,196.21895,7836
23966,32.16976,7.90492,230.30265,9258
23967,30.29907,8.14241,134.10534,5857
23969,31.34221,8.00396,238.66141,9986
23970,31.31276,7.78909,231.11373,9495
23972,29.06642,7.85951,182.71322,8017
23973,28.81810,7.50807,59.39372,2533
23974,29.11344,8.08594,168.24989,7541
23975,26.14886,7.63942,35.80296,1612
23977,31.94312,7.42651,79.51237,3081
23979,31.90596,7.54144,69.52558,2731
23980,32.59590,7.09805,35.77806,1306
23981,31.27834,7.70505,90.84980,3698
23982,31.42280,7.47182,26.40949,1045
23983,32.43012,7.54917,104.84029,4032
23984,30.55937,8.01442,89.23056,3822
23985,32.00247,7.97416,88.90999,3609
23986,32.11638,8.08162,88.62140,3617
23987,32.03455,7.94366,78.96647,3194
23988,31.18726,7.59642,84.62234,3417
23989,32.75943,7.23011,100.75010,3702
23990,29.11988,7.75393,54.53799,2365
23991,26.57343,7.37108,17.82959,776
23992,33.03821,7.45271,100.71998,3739
23993,33.12567,7.40165,116.97272,4314
23994,32.91865,7.45773,145.32987,5425
23995,33.07835,7.49332,94.94731,3533
23996,30.70212,8.15443,92.48304,3987
23998,28.28320,7.49459,51.04086,2196
23999,31.86728,8.52051,84.64048,3622
24001,33.13493,7.08794,127.24106,4547
24002,32.75126,7.18214,133.35207,4888
24003,33.09583,7.26853,129.01663,4697
24004,28.56952,8.00470,67.41725,3028
24005,31.98862,7.94145,153.72390,6229
