polarity,ebeam,x,Q2,z,thpq,H_cer_mean,H_cer_std,H_cer_err,P_hgcer_mean,P_hgcer_std,P_hgcer_err,P_aero_mean,P_aero_std,P_aero_err
-1,8.5831,0.25,3.3,0.36,2.0,9.228983735777573,0.4276750818155501,0.08851443641330708,8.052819334866262,0.0,0.3637965757017406,7.959249433604345,8.881784197001252e-16,0.3263719555434884
-1,8.5831,0.25,3.3,0.5,2.0,8.884064875103775,0.16547299285050282,0.008442537417424158,13.263506653789806,0.8996353556925873,0.03465206109068785,8.24680454815023,0.36415905426867995,0.01726922403059928
-1,8.5831,0.25,3.3,0.67,2.0,8.893723870181551,0.16457149149214276,0.007982504385387564,23.13879676694469,1.6984937785294214,0.044720437849968236,8.794349142384046,0.38978872017491045,0.017910840771945276
-1,8.5831,0.25,3.3,0.9,2.0,8.865595454416635,0.20643450158782328,0.02522455667702194,28.51608105827379,1.097491850061422,0.14890973278612057,9.348210756163239,0.3024310970083127,0.05685385584027591
-1,8.5831,0.25,3.3,0.5,5.2,8.928445859639561,0.14602735360972566,0.011214029841227735,10.42572950345157,0.7863461384398285,0.026533795490361386,7.872136598330408,0.4359611501872689,0.019804724435253176
-1,8.5831,0.25,3.3,0.5,8.5,8.967272796986515,0.23165361076206273,0.01936274534410377,9.562250802377172,0.48255692494340513,0.03603333128596034,7.5301638473236885,0.3080738540962143,0.03214171899056779
1,8.5831,0.25,3.3,0.36,2.0,8.957378492999723,0.42539640982492066,0.024647818898511406,6.690403730276639,0.4856368985602211,0.044889810448715615,7.097045392163169,0.778359506317266,0.07491859609595633
1,8.5831,0.25,3.3,0.5,2.0,8.885411396491318,0.15221301073675708,0.006373561182777789,10.15323368941414,0.37101164250793894,0.017975689839811997,7.091772203411804,0.27756681090109875,0.013473708250332972
1,8.5831,0.25,3.3,0.67,2.0,8.893894815085982,0.10209497003512949,0.005854020071977081,15.8574131850321,0.5407622370916725,0.023273906089642665,6.962833979555153,0.4061480330239524,0.014176015363836038
1,8.5831,0.25,3.3,0.9,2.0,8.949261153111387,0.19282313392079248,0.015327783453419258,17.14062309130863,0.4254374225464768,0.0503501078578081,7.657843248114872,0.32097931084189896,0.028833339170792904
1,8.5831,0.25,3.3,0.5,5.2,8.882114924969088,0.12764908370065242,0.006346099398245243,9.695424053113385,0.2564523745649229,0.015661397891273247,6.9171424178786785,0.2654305444875069,0.01322206831525315
1,8.5831,0.25,3.3,0.5,8.5,8.913841242953485,0.15588891679339734,0.01289830797103842,8.905170578982453,0.3477207528138143,0.028828926297888267,6.472081141259271,0.3231512940664485,0.024738571161899304
-1,10.6716,0.25,3.3,0.5,-0.8,9.002401402285797,0.0638945815602946,0.005248001052645263,10.7845763747852,0.5329262949741705,0.014352236512163519,7.728226605712542,0.2265878820436606,0.010289045462848303
-1,10.6716,0.25,3.3,0.67,-0.8,8.988739756996148,0.07214570261736174,0.005037760095221919,18.378287557767898,1.1513195015293272,0.020832305602740953,8.196488565844424,0.2446479170363459,0.011010514565753768
