polarity,ebeam,x,Q2,z,thpq,hmscer_mean,hmscer_err,hgcer_mean,hgcer_err,aero_mean,aero_err
-1,8.5831,0.25,3.3,0.36,2.0,8.849,0.111,2.400,0.199,8.666,0.281
-1,8.5831,0.25,3.3,0.5,2.0,8.774,0.104,13.558,0.972,8.807,0.270
-1,8.5831,0.25,3.3,0.67,2.0,8.870,0.120,23.018,2.930,9.327,0.374
-1,8.5831,0.25,3.3,0.9,2.0,8.938,0.140,25.970,1.398,9.845,0.277
-1,8.5831,0.25,3.3,0.5,5.2,8.875,0.108,9.911,0.474,8.133,0.220
-1,8.5831,0.25,3.3,0.5,8.5,8.875,0.108,9.911,0.474,8.133,0.220
+1,8.5831,0.25,3.3,0.36,2.0,8.657,0.117,1.540,0.119,7.283,0.147
+1,8.5831,0.25,3.3,0.5,2.0,8.684,0.101,8.902,0.393,7.247,0.221
+1,8.5831,0.25,3.3,0.67,2.0,8.735,0.077,12.449,0.816,7.460,0.304
+1,8.5831,0.25,3.3,0.9,2.0,8.880,0.054,13.245,0.594,8.143,0.180
+1,8.5831,0.25,3.3,0.5,5.2,8.629,0.115,8.378,0.380,7.258,0.168
+1,8.5831,0.25,3.3,0.5,8.5,8.746,0.087,7.046,0.177,6.538,0.175
-1,10.6716,0.25,3.3,0.5,-0.8,9.019,0.036,10.647,0.677,8.294,0.323
-1,10.6716,0.25,3.3,0.67,-0.8,9.045,0.036,17.491,1.642,8.903,0.367
-1,10.6716,0.25,3.3,0.9,-0.8,9.099,0.049,18.616,2.455,9.405,0.414
-1,10.6716,0.25,3.3,0.36,2.0,8.993,0.041,1.567,0.042,7.821,0.222
-1,10.6716,0.25,3.3,0.5,2.0,9.030,0.033,10.003,0.611,8.262,0.285
-1,10.6716,0.25,3.3,0.67,2.0,9.072,0.035,13.712,0.785,8.292,0.250
-1,10.6716,0.25,3.3,0.9,2.0,9.102,0.044,13.852,0.458,8.337,0.137
-1,10.6716,0.25,3.3,0.5,5.2,9.039,0.029,8.610,0.121,7.804,0.134
-1,10.6716,0.25,3.3,0.5,8.5,9.024,0.049,8.125,0.062,7.571,0.065
+1,10.6716,0.25,3.3,0.36,2.0,9.001,0.056,1.412,0.073,6.938,0.139
+1,10.6716,0.25,3.3,0.5,2.0,8.997,0.037,8.116,0.309,7.188,0.200
+1,10.6716,0.25,3.3,0.67,2.0,9.027,0.034,10.740,0.500,7.085,0.224
+1,10.6716,0.25,3.3,0.9,2.0,9.044,0.045,11.225,0.300,7.665,0.169
+1,10.6716,0.25,3.3,0.5,5.2,9.034,0.034,7.509,0.218,6.995,0.132
+1,10.6716,0.25,3.3,0.5,8.5,9.003,0.027,7.144,0.066,6.844,0.093
