polarity,ebeam,x,Q2,z,thpq,hmscer_mean,hmscer_err,hgcer_mean,hgcer_err,aero_mean,aero_err
-1,8.5831,0.25,3.3,0.36,2.0,9.215,0.100,25.222,0.544,10.320,0.234
-1,8.5831,0.25,3.3,0.5,2.0,9.025,0.076,26.911,1.048,10.272,0.221
-1,8.5831,0.25,3.3,0.67,2.0,9.046,0.067,31.383,1.462,10.505,0.231
-1,8.5831,0.25,3.3,0.9,2.0,9.095,0.069,30.738,1.462,10.500,0.152
-1,8.5831,0.25,3.3,0.5,5.2,9.042,0.072,21.315,0.517,9.569,0.234
-1,8.5831,0.25,3.3,0.5,8.5,9.042,0.072,21.315,0.517,9.569,0.234
+1,8.5831,0.25,3.3,0.36,2.0,9.097,0.139,2.771,0.268,8.873,0.291
+1,8.5831,0.25,3.3,0.5,2.0,8.684,9.009,11.943,0.373,9.306,0.287
+1,8.5831,0.25,3.3,0.67,2.0,9.047,16.661,16.661,0.782,9.449,0.251
+1,8.5831,0.25,3.3,0.9,2.0,9.211,0.237,16.876,0.941,9.486,0.319
+1,8.5831,0.25,3.3,0.5,5.2,8.983,0.096,10.230,0.472,8.864,0.333
+1,8.5831,0.25,3.3,0.5,8.5,9.067,0.196,8.877,0.342,8.033,0.353
-1,10.6716,0.25,3.3,0.5,-0.8,9.396,0.037,20.423,1.000,9.668,0.346
-1,10.6716,0.25,3.3,0.67,-0.8,9.408,0.033,25.135,1.420,10.135,0.259
-1,10.6716,0.25,3.3,0.9,-0.8,9.434,0.028,26.692,2.019,10.353 ± 0.311
-1,10.6716,0.25,3.3,0.36,2.0,9.379,0.055,0,0,9.253,0.284
-1,10.6716,0.25,3.3,0.5,2.0,9.416,0.040,19.367,0.791,9.667,0.307
-1,10.6716,0.25,3.3,0.67,2.0,9.417,0.041,20.438,1.043,9.534,0.269
-1,10.6716,0.25,3.3,0.9,2.0,9.415,0.052,19.560,0.427,9.302,0.141
-1,10.6716,0.25,3.3,0.5,5.2,9.371,0.028,17.600,0.257,9.064,0.156
-1,10.6716,0.25,3.3,0.5,8.5,9.376,0.064,17.308,0.222,8.801,0.121
+1,10.6716,0.25,3.3,0.36,2.0,9.423,0.083,1.592,0.000,8.374,0.239
+1,10.6716,0.25,3.3,0.5,2.0,9.428,0.051,10.094,0.402,8.716,0.293
+1,10.6716,0.25,3.3,0.67,2.0,9.429,0.057,13.987,0.521,8.633,0.290
+1,10.6716,0.25,3.3,0.9,2.0,9.460,0.097,14.492,0.385,8.423,0.301
+1,10.6716,0.25,3.3,0.5,5.2,9.034,0.034,7.509,0.218,6.995,0.132
+1,10.6716,0.25,3.3,0.5,8.5,9.003,0.027,7.144,0.066,6.844,0.093
