polarity,ebeam,x,Q2,z,thpq,H_cer_mean,H_cer_std,P_hgcer_mean,P_hgcer_std,P_aero_mean,P_aero_std
-1,8.5831,0.25,3.3,0.36,2.0,8.9345552363539,0.25677033736319227,1.0442934332705678,1.738238916400296,8.026449380492233,0.4467044817345135
-1,8.5831,0.25,3.3,0.5,2.0,8.934307717874685,0.19990776400611313,11.931848763369652,0.6041211429028701,7.954093762577741,0.430470585583088
-1,8.5831,0.25,3.3,0.67,2.0,8.977240056976274,0.2730308209212971,19.844072887578438,1.6023165218170512,8.374726600326687,0.498992563822929
-1,8.5831,0.25,3.3,0.9,2.0,9.136485981973593,0.5516759361150063,23.14890258840417,1.8039931680040882,9.47712249865954,0.5314710154473337
-1,8.5831,0.25,3.3,0.5,5.2,8.925103302577552,0.18359026583082483,9.9829817266759,0.7360320592546702,7.6803928215189705,0.4960279785535359
-1,8.5831,0.25,3.3,0.5,8.5,9.029828890050972,0.3159397338883653,9.250045537260725,0.471482008994137,7.496419134414765,0.3684547874376322
1,8.5831,0.25,3.3,0.36,2.0,8.887399613589688,0.21422918438143002,-0.7332731908085105,8.040310126827201,6.810486393989795,0.5097825566979357
1,8.5831,0.25,3.3,0.5,2.0,8.898373044400051,0.15919187944501761,10.02743891828803,0.3696951095778643,6.866626740903656,0.3465222901225013
1,8.5831,0.25,3.3,0.67,2.0,8.898394103172304,0.10263607747441474,15.59507028739704,0.5094181129451358,6.476207430197093,0.6320567441116378
1,8.5831,0.25,3.3,0.9,2.0,8.917270189315573,0.193233706707267,17.102899938105633,0.42203039742397674,7.556970267561508,0.30129979339505303
1,8.5831,0.25,3.3,0.5,5.2,8.870578895692946,0.14480889193844432,9.588710982838894,0.2595399116613062,6.640973538166887,0.3323215402573914
1,8.5831,0.25,3.3,0.5,8.5,8.88176715298061,0.17976229941680774,8.968672028857464,0.5318606586911746,6.248217246087603,0.4203469122678945
-1,10.6716,0.25,3.3,0.5,-0.8,9.020685662036522,0.07593434754868642,10.334148429403928,0.41276532902893553,7.585091425170455,0.22354722693274637
-1,10.6716,0.25,3.3,0.67,-0.8,9.00045516134718,0.07337438058625445,17.290531080056518,0.8551448175641334,7.991366239363551,0.21702075670185622
-1,10.6716,0.25,3.3,0.9,-0.8,9.05767515974823,0.11772655309490039,20.117443497826986,1.4952488122997243,8.380908716012966,0.27031799385383326
-1,10.6716,0.25,3.3,0.36,2.0,8.942004878968117,0.06438508610944545,-5.460224483793755,7.09400531699525,7.20614165917283,0.1465745775394329
-1,10.6716,0.25,3.3,0.5,2.0,8.972090286184429,0.06192230738260965,10.019639882357842,0.4045084978056518,7.5590148354031905,0.1737545583435402
-1,10.6716,0.25,3.3,0.67,2.0,9.008678252824334,0.07498130881582266,14.901214278364323,0.5874233244256359,7.671631882262832,0.16533751836316365
-1,10.6716,0.25,3.3,0.9,2.0,9.023018124569376,0.13567264213602623,16.700787114092392,0.41143012544389623,7.773030105535431,0.2183858991937392
-1,10.6716,0.25,3.3,0.5,5.2,9.008780385269823,0.07821516050647806,9.087250882086815,0.1357478339863005,7.3921858205985185,0.12229402687834537
-1,10.6716,0.25,3.3,0.5,8.5,8.939641925651024,0.06125553780536295,8.709322801139995,0.14770116581181245,7.268714943737081,0.09390090788538946
1,10.6716,0.25,3.3,0.36,2.0,8.990722025506512,0.09524017776435825,-2.9430056342041566,8.214334212897931,6.565317406499665,0.14947947246116183
1,10.6716,0.25,3.3,0.5,2.0,8.98074052131972,0.05747275997516077,9.316330406308381,0.18453455337933217,6.609075270935751,0.22991253641686166
1,10.6716,0.25,3.3,0.67,2.0,8.986890422773756,0.06041664344097346,14.199809697206776,0.23834435502109844,6.47659675998049,0.21033164734259352
1,10.6716,0.25,3.3,0.9,2.0,8.982246136683338,0.08040748473957465,15.57554190092696,0.16889606063454107,7.116321568464799,0.11925533719790732
1,10.6716,0.25,3.3,0.5,5.2,9.003753939707531,0.060570207927186634,8.968425507076018,0.12690423726897507,6.52994930686723,0.19803762591295987
1,10.6716,0.25,3.3,0.5,8.5,8.939527011931796,0.0447761161977726,8.501025909702427,0.13661848459955014,6.605596544964642,0.12981590131672133
