polarity,ebeam,x,Q2,z,thpq
-1,8.5831,0.25,3.3,0.36,2.0
-1,8.5831,0.25,3.3,0.5,2.0
-1,8.5831,0.25,3.3,0.67,2.0
-1,8.5831,0.25,3.3,0.9,2.0
-1,8.5831,0.25,3.3,0.5,5.2
-1,8.5831,0.25,3.3,0.5,8.5
+1,8.5831,0.25,3.3,0.36,2.0
+1,8.5831,0.25,3.3,0.5,2.0
+1,8.5831,0.25,3.3,0.67,2.0
+1,8.5831,0.25,3.3,0.9,2.0
+1,8.5831,0.25,3.3,0.5,5.2
+1,8.5831,0.25,3.3,0.5,8.5
-1,10.6716,0.25,3.3,0.5,-0.8
-1,10.6716,0.25,3.3,0.67,-0.8
-1,10.6716,0.25,3.3,0.9,-0.8
-1,10.6716,0.25,3.3,0.36,2.0
-1,10.6716,0.25,3.3,0.5,2.0
-1,10.6716,0.25,3.3,0.67,2.0
-1,10.6716,0.25,3.3,0.9,2.0
-1,10.6716,0.25,3.3,0.5,5.2
-1,10.6716,0.25,3.3,0.5,8.5
+1,10.6716,0.25,3.3,0.36,2.0
+1,10.6716,0.25,3.3,0.5,2.0
+1,10.6716,0.25,3.3,0.67,2.0
+1,10.6716,0.25,3.3,0.9,2.0
+1,10.6716,0.25,3.3,0.5,5.2
+1,10.6716,0.25,3.3,0.5,8.5
