run,target,ebeam,x,Q2,z,thpq,sigma,run_length,BCM2_I
23880,LH2,8.5831,0.25,3.3,0.36,2.0,3.0427376182169072,30.466666666666665,14.918
23887,LD2,8.5831,0.25,3.3,0.36,2.0,3.980433821328752,30.933333333333334,6.811
24091,LH2,8.5831,0.25,3.3,0.5,2.0,3.8826674878799956,30.2,27.623
24096,LH2,8.5831,0.25,3.3,0.5,2.0,3.160519928838349,35.333333333333336,9.429
24699,LH2,8.5831,0.25,3.3,0.5,5.2,-5.992298446913066,35.6,50.824
24443,LH2,8.5831,0.25,3.3,0.36,2.0,3.9107692200156956,30.833333333333332,15.95
24223,LH2,8.5831,0.25,3.3,0.67,2.0,4.534988631466891,25.7,50.928
24236,C,8.5831,0.25,3.3,0.67,2.0,-3.0776059870449872,32.733333333333334,44.493
24619,LD2,8.5831,0.25,3.3,0.5,5.2,-5.957975236592882,15.716666666666667,25.56
25086,LH2,10.6716,0.25,3.3,0.5,-0.8,6.231568477065388,34.8,18.072
25051,LH2,10.6716,0.25,3.3,0.67,-0.8,5.296993846153546,34.0,36.245
25073,LH2,10.6716,0.25,3.3,0.67,-0.8,3.3144139632073384,33.166666666666664,12.049
25208,LH2,10.6716,0.25,3.3,0.36,2.0,7.2004312137302415,31.333333333333332,32.074
25218,LH2,10.6716,0.25,3.3,0.36,2.0,-3.3733183675675296,37.166666666666664,30.8
25183,LH2,10.6716,0.25,3.3,0.5,2.0,5.995341116131541,33.78333333333333,47.043
25184,LH2,10.6716,0.25,3.3,0.5,2.0,4.4774822231442855,32.483333333333334,25.059
25446,LD2,10.6716,0.25,3.3,0.5,2.0,3.1532691384561082,30.633333333333333,14.76
25485,LD2,10.6716,0.25,3.3,0.5,2.0,-3.979677809929208,30.4,30.159
25141,LD2,10.6716,0.25,3.3,0.67,2.0,3.6605886205214473,30.9,24.177
25122,LD2,10.6716,0.25,3.3,0.9,2.0,21.579308676447816,31.333333333333332,33.778
25123,LD2,10.6716,0.25,3.3,0.9,2.0,-24.433217848760663,31.233333333333334,38.641
25124,LD2,10.6716,0.25,3.3,0.9,2.0,19.885238802263537,31.316666666666666,20.018
25330,LH2,10.6716,0.25,3.3,0.36,2.0,-3.8768307642986133,30.666666666666668,19.211
25331,LH2,10.6716,0.25,3.3,0.36,2.0,4.707077070848057,32.86666666666667,19.968
25322,LD2,10.6716,0.25,3.3,0.36,2.0,3.157381407417336,30.866666666666667,5.032
25288,LH2,10.6716,0.25,3.3,0.5,2.0,7.2980708968874834,30.233333333333334,40.283
25315,LH2,10.6716,0.25,3.3,0.5,2.0,-3.4398871993732185,31.1,39.731
25280,LD2,10.6716,0.25,3.3,0.5,2.0,-3.4966835742142797,31.05,20.201
25264,LH2,10.6716,0.25,3.3,0.67,2.0,4.286928985827896,39.11666666666667,52.625
25358,LH2,10.6716,0.25,3.3,0.5,5.2,3.8109060729997446,31.366666666666667,54.308
25370,C,10.6716,0.25,3.3,0.5,5.2,-4.290943751839891,19.716666666666665,32.299
