pt_bin,z_bin,M0,M0_err,A,A_err,B,B_err
0.05,0.36,0.15964,0.04458,-0.53246,0.56696,-0.30626,0.23734
0.05,0.50,0.36602,0.00367,0.01946,0.01370,-0.03855,0.01369
0.05,0.67,0.69856,0.00938,0.03983,0.01950,-0.04670,0.01884
0.15,0.36,0.26761,0.02587,0.39010,0.10847,0.06099,0.04960
0.15,0.50,0.38805,0.00354,0.17198,0.01246,0.00175,0.01085
0.15,0.67,0.77073,0.00758,0.01300,0.01394,0.03280,0.01401
0.25,0.36,0.17128,0.13075,-0.16856,1.24040,-0.34872,0.63606
0.25,0.50,0.42262,0.01756,0.28099,0.05267,0.05127,0.02751
0.25,0.67,0.80425,0.01503,0.10113,0.03034,0.02832,0.02439
0.35,0.50,0.93039,0.21742,0.82618,0.14785,0.21171,0.06640
0.35,0.67,1.11524,0.26735,0.49230,0.23771,0.17421,0.08603
