Pdp_bin,Wpeak_mean,Wpeak_stddev,Wpeak_err
-4.5,0.97871,0.0384463,5.36168e-03
-4,0.96824,4.25023e-02,4.66087e-03
-3.5,0.95932,4.24043e-02,3.72404e-03
-3,0.95748,4.29201e-02,4.94753e-03
-2.5,0.95141,4.84911e-02,3.20887e-03
-2,0.94233,4.03795e-02,3.09910e-03
-1.5,0.93605,3.68585e-02,2.26491e-03
-1,0.93856,3.89159e-02,1.96276e-03
-0.5,0.94094,3.89359e-02,2.70220e-03
0,0.94331,4.08885e-02,2.41792e-03
0.5,0.94646,4.07087e-02,2.42004e-03
1,0.94820,3.37463e-02,2.91097e-03
1.5,0.94811,2.91836e-02,1.59116e-03
2,0.95243,3.36559e-02,1.52620e-03
2.5,0.95596,3.31952e-02,1.58031e-03
3,0.96122,2.48190e-02,1.35122e-03
3.5,0.96341,2.47614e-02,1.43467e-03
4,0.96196,2.49301e-02,1.96535e-03
4.5,0.96040,2.25963e-02,1.33315e-03
