run,run_type,filename,BCM2_Q,ps5,ps6,h_esing_Eff,p_esing_Eff,hDead,pDead
25550,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25550_-1.root,5938.22,-1,-1,0.9732,-999,1,1
25551,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25551_-1.root,4689.27,-1,-1,0.9743,-999,1,1
25552,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25552_-1.root,4800.83,-1,-1,0.9841,-999,1,1
25554,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25554_-1.root,4715.37,-1,-1,0.9934,-999,1,1
25555,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25555_-1.root,4308.33,-1,-1,0.997,-999,1,1
25556,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25556_-1.root,5185.85,-1,-1,0.9976,-999,1,1
25557,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25557_-1.root,4691.6,-1,-1,0.9981,-999,1,1
25558,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25558_-1.root,4422.36,-1,-1,0.9984,-999,1,1
25562,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25562_-1.root,3135.51,-1,-1,0.9984,-999,1,1
25563,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25563_-1.root,4955.46,-1,-1,0.9984,-999,1,1
