run,run_type,filename,BCM2_Q,ps5,ps6,h_esing_Eff,p_esing_Eff,hDead,pDead
23839,HEEP,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_23839_-1.root,14.548,1,-1,0,0.9936,1,1
23840,HEEP,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_23840_-1.root,46.284,1,-1,0.9999,0.9921,1,1
23841,HEEP,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_23841_-1.root,11.835,1,-1,0,0.9923,1,1
23842,HEEP,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_23842_-1.root,20.217,1,-1,0,0.991,1,1
23844,HEEP,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_23844_-1.root,38.681,1,-1,0,0.9917,1,1
23845,HEEP,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_23845_-1.root,34.612,1,-1,0,0.9914,1,1
23846,HEEP,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_23846_-1.root,45.847,1,-1,0,0.9909,1,1
23847,HEEP,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_23847_-1.root,35.553,1,-1,0,0.9906,1,1
23848,HEEP,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_23848_-1.root,28.122,1,-1,0,0.9908,1,1
23849,HEEP,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_23849_-1.root,45.003,1,-1,0,0.9935,1,1
23850,HEEP,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_23850_-1.root,51.928,1,-1,0,0.9933,1,1
23851,HEEP,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_23851_-1.root,57.027,1,-1,0,0.9918,1,1
23853,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_23853_-1.root,22823,-1,-1,0.9979,-999,1,1
23855,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_23855_-1.root,18009.5,-1,-1,0.9981,-999,1,1
23856,SHMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_23856_-1.root,55706,-1,-1,-999,0.9887,1,1
23857,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_23857_-1.root,31095.2,-1,-1,0.9981,-999,1,1
23858,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_23858_-1.root,40057.7,-1,-1,0.9979,-999,1,1
23859,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_23859_-1.root,33127.3,-1,-1,0.998,-999,1,1
24833,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24833_-1.root,2909.75,-1,-1,-999,0.9922,1,1
24834,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24834_-1.root,14687.8,-1,-1,-999,0.9922,1,1
24837,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24837_-1.root,13092.3,-1,-1,-999,0.9926,1,1
24838,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24838_-1.root,12757.5,-1,-1,-999,0.9924,1,1
24839,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24839_-1.root,12409.1,-1,-1,-999,0.9925,1,1
24840,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24840_-1.root,12112,-1,-1,-999,0.9926,1,1
24841,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24841_-1.root,11912.2,-1,-1,-999,0.9926,1,1
24842,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24842_-1.root,11704.3,-1,-1,-999,0.9925,1,1
24844,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24844_-1.root,11491.8,-1,-1,-999,0.9927,1,1
24845,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24845_-1.root,11343,-1,-1,-999,0.9925,1,1
24846,HEE,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24846_-1.root,10676.3,-1,-1,-999,0.9923,1,1
