run,run_type,filename,BCM2_Q,ps5,ps6,h_esing_Eff,p_esing_Eff,hDead,pDead
24322,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24322_-1.root,51.264,-1,1,0.9985,0.9339,1,1
24323,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24323_-1.root,30.527,1,-1,0.9986,0.9336,1,1
24324,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24324_-1.root,50.521,-1,1,0.9988,0.933,1,1
24325,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24325_-1.root,49.748,-1,1,0.9984,0.9333,1,1
24326,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24326_-1.root,46.157,-1,1,0.9987,0.9347,1,1
24327,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24327_-1.root,46.112,-1,1,0.9989,0.9315,1,1
24328,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24328_-1.root,49.925,-1,1,0.9985,0.9365,1,1
24329,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24329_-1.root,48.646,-1,1,0.9986,0.9375,1,1
24330,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24330_-1.root,39.234,-1,1,0.9982,0.9339,1,1
24331,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24331_-1.root,20.542,-1,1,0.9986,0.9524,1,1
24332,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24332_-1.root,17.252,-1,1,0.9983,0.9663,1,1
24385,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24385_-1.root,18.753,-1,1,0.9985,0.9354,1,1
24386,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24386_-1.root,58.827,-1,1,0.9985,0.9297,1,1
24387,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24387_-1.root,52.836,-1,1,0.9987,0.9333,1,1
24388,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24388_-1.root,58.987,-1,1,0.9986,0.9354,1,1
24389,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24389_-1.root,43.071,-1,1,0.9986,0.9368,1,1
24390,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24390_-1.root,46.496,-1,1,0.9983,0.9329,1,1
24396,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24396_-1.root,48.73,-1,1,0.9985,0.9891,1,1
24397,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24397_-1.root,49.002,-1,1,0.9984,0.9872,1,1
24398,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24398_-1.root,32.658,-1,1,0.9986,0.9898,1,1
24399,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24399_-1.root,15.143,-1,1,0.9991,0.9927,1,1
24424,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24424_-1.root,48.952,-1,1,0.9991,0.9892,1,1
24425,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24425_-1.root,49.803,-1,1,0.999,0.9895,1,1
24426,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24426_-1.root,32.944,-1,1,0.9984,0.9905,1,1
24427,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24427_-1.root,16.777,-1,1,0.9985,0.9934,1,1
24559,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24559_-1.root,63.78,-1,1,0.9954,0.9857,1,1
24603,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24603_-1.root,74.129,-1,1,0.9955,0.9841,1,1
