run,run_type,filename,BCM2_Q,ps5,ps6,h_esing_Eff,p_esing_Eff,hDead,pDead
24779,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24779_-1.root,97.751,-1,1,0.998,0.9867,1,1
24780,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24780_-1.root,60.61,1,-1,0.9986,0.9886,1,1
24781,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24781_-1.root,92.57,-1,1,0.9987,0.991,1,1
24782,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24782_-1.root,98.896,-1,1,0.9984,0.9918,1,1
24783,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24783_-1.root,78.708,-1,1,0.9984,0.9913,1,1
24784,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24784_-1.root,92.435,-1,1,0.9985,0.9894,1,1
24785,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24785_-1.root,78.869,-1,1,0.9987,0.9878,1,1
24786,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24786_-1.root,70.654,-1,1,0.9984,0.9894,1,1
24787,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24787_-1.root,90.742,-1,1,0.9986,0.9868,1,1
24788,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24788_-1.root,74.419,-1,1,0.9985,0.9903,1,1
24789,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24789_-1.root,79.316,-1,1,0.9987,0.9876,1,1
24790,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24790_-1.root,62.624,-1,1,0.9991,0.9891,1,1
24791,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24791_-1.root,31.356,-1,1,0.9988,0.9905,1,1
24803,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24803_-1.root,75.258,-1,1,0.9988,0.9923,1,1
24804,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24804_-1.root,85.72,-1,1,0.999,0.9872,1,1
24805,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24805_-1.root,103.75,-1,1,0.9987,0.9888,1,1
24806,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24806_-1.root,88.068,-1,1,0.9988,0.9863,1,1
24807,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24807_-1.root,93.517,-1,1,0.9982,0.9927,1,1
24808,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24808_-1.root,97.671,-1,1,0.9983,0.9897,1,1
24809,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24809_-1.root,87.987,-1,1,0.9984,0.9888,1,1
24810,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24810_-1.root,84.979,-1,1,0.9986,0.9903,1,1
24811,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24811_-1.root,71.722,-1,1,0.9985,0.9908,1,1
24812,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24812_-1.root,71.383,-1,1,0.9983,0.9918,1,1
24813,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24813_-1.root,19.174,-1,1,0.9986,0.9968,1,1
24821,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24821_-1.root,91.136,-1,1,0.996,0.9893,1,1
24822,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24822_-1.root,90.586,-1,1,0.9989,0.9901,1,1
24823,PI+SIDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24823_-1.root,100.11,-1,1,0.9935,0.989,1,1
