run,run_type,filename,BCM2_Q,ps5,ps6,h_esing_Eff,p_esing_Eff,hDead,pDead
25391,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25391_-1.root,26371.5,-1,-1,0.9984,-999,1,1
25396,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25396_-1.root,9465.08,-1,-1,0.9984,-999,1,1
25397,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25397_-1.root,6426.36,-1,-1,0.9984,-999,1,1
25399,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25399_-1.root,8049.56,-1,-1,0.9985,-999,1,1
25400,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25400_-1.root,12347.3,-1,-1,0.9984,-999,1,1
25401,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25401_-1.root,12407.2,-1,-1,0.9983,-999,1,1
25402,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25402_-1.root,14320.6,-1,-1,0.9983,-999,1,1
25403,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25403_-1.root,10442.6,-1,-1,0.9985,-999,1,1
25404,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25404_-1.root,11001.8,-1,-1,0.9984,-999,1,1
25405,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25405_-1.root,5227.6,-1,-1,0.9985,-999,1,1
25406,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25406_-1.root,3143.12,-1,-1,0.9985,-999,1,1
25407,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25407_-1.root,3486.87,-1,-1,0.9986,-999,1,1
25408,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25408_-1.root,3258.29,-1,-1,0.9985,-999,1,1
25409,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25409_-1.root,7524.82,-1,-1,0.9983,-999,1,1
25410,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25410_-1.root,11402.2,-1,-1,0.9982,-999,1,1
25411,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25411_-1.root,15911.5,-1,-1,0.9983,-999,1,1
25412,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25412_-1.root,16272.2,-1,-1,0.9984,-999,1,1
25413,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25413_-1.root,13136.3,-1,-1,0.9984,-999,1,1
25414,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25414_-1.root,9920.07,-1,-1,0.9985,-999,1,1
25415,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25415_-1.root,5893.38,-1,-1,0.9985,-999,1,1
25416,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25416_-1.root,2424.51,-1,-1,0.9985,-999,1,1
25417,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25417_-1.root,2790.9,-1,-1,0.9984,-999,1,1
25418,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25418_-1.root,5110.75,-1,-1,0.9985,-999,1,1
25420,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25420_-1.root,7703.39,-1,-1,0.9983,-999,1,1
25421,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25421_-1.root,12732.9,-1,-1,0.9982,-999,1,1
25422,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25422_-1.root,15831.1,-1,-1,0.9983,-999,1,1
25431,HMSDIS,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25431_-1.root,25313.8,-1,-1,0.9984,-999,1,1
